Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
,Mean,,,,,0,0,15,4255,,G5,,,0.02,4.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
513,Omega Sigma 447,21,35.6,41,16,21h38m58.3217s,+41d43m06.8154s,41,4224,8.1,K0,,-0.004,-0.001,8.0,20.0,2.5,14,*,5226.00,A,21 35 30.1,+41 16 26,7.56,G9   d,,0.014,274,0.0032,6.5,G,21 39 28.5,+41 43 35
,,,,,,,,,,,,,,,,,,,*,5226.00,E,21 35 31.9,+41 16 47,8.53,G7   d,BD +41 4224,0.011,308,,,,21 39 30.4,+41 43 57
514,Omega Sigma 447,21,35.6,41,16,21h38m58.3217s,+41d43m06.8154s,41,4225,8.7,K0,,0.004,-0.002,5.0,12.0,2.4,13,*,5226.00,A,21 35 30.1,+41 16 26,7.56,G9   d,,0.014,274,0.0032,6.5,G,21 39 28.5,+41 43 35
,,,,,,,,,,,,,,,,,,,*,5226.00,E,21 35 31.9,+41 16 47,8.53,G7   d,BD +41 4224,0.011,308,,,,21 39 30.4,+41 43 57
,Mean,,,,,0,0,,,,,,,-0.001,4.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
515,Omega Sigma (App.) 226,21,50.8,67,38,21h52m12.1647s,+68d06m15.8516s,67,1370,9.6,A,,-0.009,-0.005,9.0,23.0,2.6,15,,5297.00,B,21 50 42.9,+67 37 36,9.60,A3   V,BDS 11361B,0.011,281,,,,21 52 55.9,+68 05 55
516,Omega Sigma (App.) 226,21,51.0,67,39,21h53m13.2394s,+68d07m20.5405s,67,1372,7.6,K0,,-0.012,-0.019,7.0,17.0,2.6,15,,5297.00,B,21 50 42.9,+67 37 36,9.60,A3   V,BDS 11361B,0.011,281,,,,21 52 55.9,+68 05 55
,Mean,,,,,0,0,,,,,,,-0.014,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
517,Lal 43751,22,19.5,38,4,22h23m23.2518s,+38d34m21.1681s,37,4560,6.2,F8,+ .253*,0.261,-0.013,6.0,15.0,2.4,14,,5417.00,,22 19 28.5,+38 03 49,6.22,F5   IV:,,0.289,63,-0.0030,8.7,F,22 23 54.2,+38 34 25
518,Fed 4220,22,33.6,72,22,22h35m31.3031s,+72d53m05.9711s,72,1050,7.5,F5,,0.081,0.034,10.0,25.0,2.4,14,*,5478.00,M,22 33 34.3,+72 21 39,7.56,F6   d,,0.101,57,0.0375,10.3,G,22 36 08.7,+72 52 52
,,,,,,,,,,,,,,,,,,,*,5478.00,A,22 33 34.3,+72 21 39,8.20,,,0.101,57,0.0375,10.3,G,22 36 08.7,+72 52 52
,,,,,,,,,,,,,,,,,,,*,5478.00,B,22 33 40.7,+72 21 08,8.20,,,0.095,58,,,,22 36 15.2,+72 52 21
,,,,,,,,,,,,,,,,,,,*,5478.00,D,22 33 36.0,+72 22 00,8.40,F7   d,,,,,,,22 36 08.4,+72 53 07
519,Fed 4221,22,33.7,72,21,22h35m31.4646s,+72d52m05.9753s,72,1051,8.3,G,,0.091,0.032,9.0,21.0,2.3,12,*,5478.00,M,22 33 34.3,+72 21 39,7.56,F6   d,,0.101,57,0.0375,10.3,G,22 36 08.7,+72 52 52
,,,,,,,,,,,,,,,,,,,*,5478.00,A,22 33 34.3,+72 21 39,8.20,,,0.101,57,0.0375,10.3,G,22 36 08.7,+72 52 52
,,,,,,,,,,,,,,,,,,,*,5478.00,B,22 33 40.7,+72 21 08,8.20,,,0.095,58,,,,22 36 15.2,+72 52 21
,,,,,,,,,,,,,,,,,,,*,5478.00,D,22 33 36.0,+72 22 00,8.40,F7   d,,,,,,,22 36 08.4,+72 53 07
,Mean,,,,,0,0,,,,,,,0.033,7.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
520,Omega Sigma 478,22,39.6,38,56,22h43m30.6776s,+39d27m27.4274s,38,4855,6.1,K5,-0.004,-0.013,0.003,6.0,18.0,2.7,15,,5507.00,A,22 39 34.2,+38 56 29,5.95,"K5+K2III,*",OSIG 478A,0.017,169,0.0059,7.8,G,22 44 05.2,+39 27 56
,,,,,,,,,,,,,,,,,,,,5507.00,B,22 39 36.0,+38 56 00,9.50,K2   III,,,,,,,22 44 07.0,+39 27 29
521,Omicron Pegasi,22,47.3,9,18,22h52m00.5689s,+09d49m50.5025s,9,5122,5.3,F5,0.517,0.516,0.028,9.0,23.0,2.6,15,*,5539.00,A,22 47 19.9,+09 18 12,5.16,F7   IV,SIG Peg,0.523,85,0.0447,7.6,F,22 52 24.1,+09 50 08
522,Pi Cephei,23,4.7,74,51,23h07m09.0674s,+75d23m28.3469s,74,1006,4.6,G5,0.013,-0.016,0.003,8.0,25.0,2.8,15,,5607.00,,23 04 43.0,+74 50 48,4.41,G2   III,PI Cep,0.021,166,0.0051,8.0,G,23 07 53.9,+75 23 15
523,70 Pegasi,23,24.1,12,13,23h29m03.0782s,+12d46m03.2389s,11,5009,4.7,K0,0.059,0.046,-0.011,9.0,26.0,2.8,15,,5686.00,,23 24 05.7,+12 12 31,4.55,G7+  III,70 Peg,0.071,63,0.0167,10.2,P,23 29 09.3,+12 45 37
524,72 Pegasi,23,29.0,30,46,23h33m57.4036s,+31d19m09.0796s,30,4978,5.2,K2,0.055,0.059,0.003,11.0,28.0,2.7,13,,5698.00,,23 28 59.3,+30 46 23,4.98,K4   IIIb,72 Peg,0.062,102,0.0062,16.8,,23 33 57.2,+31 19 30
525,Lamda Piscium,23,36.9,1,14,23h41m07.0578s,+01d47m15.8156s,0,5037,4.6,A5,-0.135,-0.128,0.027,12.0,29.0,2.3,14,,5734.00,,23 36 56.5,+01 13 46,4.50,A7   V,LAM Psc,0.199,221,0.0258,11.0,G,23 42 02.7,+01 46 47
526,Anonymous,23,37.1,1,7,23h42m07.0974s,+01d40m16.6139s,,,10,,,0.194,0.018,9.0,22.0,2.4,15,,5738.00,,23 37 06.0,+01 07 00,10.00,G0,Anonymous,0.160,90,0.0089,9.8,G,23 42 14.2,+01 40 16
527,Lal 7116,3,46.2,22,22,03h51m53.9767s,+22d40m04.7848s,22,583,7.8,G0,+ .193*,0.199,0.031,9.0,24.0,2.7,13,*,846.00,,03 46 10.0,+22 22 47,7.57,G5   d,Berlin-B123,0.372,146,0.0355,10.6,G,03 52 05.5,+22 40 19
528,Lal 8758,4,35.0,38,5,04h41m45.8838s,+38d16m38.8738s,37,954,5.8,F5,+ .225*,0.245,0.02,10.0,32.0,3.3,14,,1035.00,,04 35 02.3,+38 05 19,5.99,G0   V,,0.258,110,0.0226,15.4,,04 41 50.2,+38 16 48
529,Lal 11870,6,8.6,2,51,06h13m14.0027s,+02d49m27.1504s,2,1163,7.9,K0,+ .042*,0.074,0.004,6.0,20.0,3.2,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
530,58 Cancri,8,49.7,28,19,08h54m59.6331s,+27d56m12.8754s,28,1666,5.2,G5,-0.009,0,-0.008,8.0,21.0,2.7,17,,2131.00,,08 49 40.2,+28 18 33,5.22,G8   II-I*,RHO2 Cnc,0.035,196,-0.0050,12.5,,08 55 39.6,+27 55 39
531,Mu Virginis,14,37.8,-5,13,14h42m15.5372s,-05d38m37.6692s,-5,3936,4,F5,0.109,0.131,0.03,5.0,15.0,2.8,16,,3325.00,,14 37 47.3,-05 13 24,3.88,F2   III,MU Vir,0.337,162,0.0446,6.2,F,14 43 03.6,-05 39 29
532,Lal 33251,18,1.2,33,16,18h04m39.7085s,+33d16m24.7824s,33,3019,7.6,G0,.000*,-0.01,0.007,7.0,19.0,2.7,17,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
533,Theta Cass,1,5.0,54,37,01h11m02.9679s,+55d08m56.9245s,54,236,4.5,A5,0.23,0.22,0.003,6.0,22.0,3.4,22,*,241.00,,01 05 00.5,+54 37 05,4.33,A7   V,THE Cas,0.228,94,0.0087,6.4,F,01 11 06.1,+55 09 00
534,33 Arietis,2,34.8,26,38,02h39m50.1712s,+27d03m52.7778s,26,443,5.4,A2,0.073,0.069,-0.007,6.0,22.0,3.7,21,,539.00,,02 34 50.2,+26 37 54,5.30,A3   V,33 Ari,0.070,124,-0.0012,9.8,,02 40 41.0,+27 03 38
535,Rho Tauri,4,28.2,14,38,04h33m39.9165s,+14d50m40.3714s,14,720,4.8,A5,0.103,0.113,0.02,6.0,20.0,3.6,19,,1003.00,,04 28 10.2,+14 38 03,4.65,A8   V,RHO Tau,0.105,104,0.0241,8.2,G,04 33 50.8,+14 50 39
536,Lal 10262,5,23.2,12,28,05h28m36.7046s,+12d32m57.9558s,12,801,6.8,F8,+ .111*,0.088,0.036,6.0,23.0,3.6,19,*,1240.00,A,05 23 14.2,+12 28 28,6.74,G0   V,H II 59,0.234,156,0.0395,9.8,,05 28 51.6,+12 33 02
,,,,,,,,,,,,,,,,,,,*,1240.00,B,05 23 12.0,+12 28 00,13.98,,,0.235,153,,,,05 28 49.4,+12 32 35
537,Gr. 1216,6,38.2,44,20,06h45m15.5792s,+44d13m57.8502s,44,1528,7.8,G0,+ .166*,0.144,0.011,4.0,15.0,3.7,21,,1568.00,,06 38 12.0,+44 20 23,7.80,G0   d,,0.240,141,0.0136,7.2,,06 45 28.9,+44 14 00
538,Rad 1805,6,39.9,55,49,06h47m20.2979s,+55d42m44.6107s,,,6.3,,0.067,0.066,0.028,7.0,23.0,3.4,18,,1574.00,A,06 39 51.4,+55 48 48,6.28,F5   d,Rad 1805,0.117,150,0.0312,8.3,G,06 48 12.2,+55 42 15
,,,,,,,,,,,,,,,,,,,,1574.00,B,06 39 51.7,+55 48 48,6.33,F6   d,Rad 1806,0.121,146,,,,06 48 12.6,+55 42 15
539,Rad 1806,6,39.9,55,49,06h47m20.2979s,+55d42m44.6107s,,,6.3,,0.067,0.068,0.027,8.0,27.0,3.4,18,,1574.00,A,06 39 51.4,+55 48 48,6.28,F5   d,Rad 1805,0.117,150,0.0312,8.3,G,06 48 12.2,+55 42 15
,,,,,,,,,,,,,,,,,,,,1574.00,B,06 39 51.7,+55 48 48,6.33,F6   d,Rad 1806,0.121,146,,,,06 48 12.6,+55 42 15
,Mean Sigma 958,,,,,0,0,55,1122,,F5,,,0.028,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
540,Lal 16469,8,19.5,0,49,08h24m08.6333s,+00d29m38.9609s,0,1987,6.8,G0,+ .081*,0.106,0.038,6.0,20.0,3.3,20,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
541,Sigma 1311,9,1.7,23,23,09h06m47.1621s,+22d58m58.6541s,,,7.1,F4,,-0.155,0.003,7.0,23.0,3.4,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
542,Sigma 1311,9,1.7,23,23,09h06m47.1621s,+22d58m58.6541s,23,2048,6.7,F3,-0.159,-0.145,-0.012,6.0,19.0,3.4,18,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,,,,,0,0,,,6.3,F5,,,0.006,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
543,Lamda Leonis,9,26.0,23,25,09h31m42.4763s,+22d58m35.7627s,23,2107,4.5,K5,-0.02,-0.005,0.014,5.0,20.0,3.8,24,,2264.00,,09 26 00.9,+23 24 32,4.31,K5   III,LAM Leo,0.042,208,0.0195,6.7,G,09 31 43.2,+22 58 04
544,22 Leonis,9,46.2,24,52,09h51m40.5722s,+24d23m54.8199s,25,2169,5.3,A2,0.017,0.027,0.034,6.0,24.0,3.9,24,,2333.00,,09 46 12.4,+24 52 07,5.32,A5   IV,22 Leo,0.186,178,0.0386,9.8,,09 51 53.0,+24 23 43
545,Nu Urs. Maj.,11,13.1,33,38,11h18m24.2867s,+33d05m12.7434s,33,2098,3.7,K0,-0.02,-0.012,0.003,9.0,29.0,3.2,21,,2626.00,,11 13 04.6,+33 38 23,3.48,K3-  IIIB*,NU UMa,0.036,311,0.0173,11.0,G,11 18 28.7,+33 05 38
546,Lambda Drac,11,25.5,69,53,11h30m57.4479s,+69d19m54.9481s,70,665,4.1,Ma,-0.037,-0.041,0.023,8.0,24.0,2.8,16,,2661.00,,11 25 28.2,+69 52 58,3.84,M0   IIIC*,LAM Dra,0.045,243,0.0238,7.8,G,11 31 24.2,+69 19 51
547,Nu Virginis,11,40.7,7,5,11h45m08.5985s,+06d31m41.212s,7,2479,4.2,Ma,-0.015,-0.003,0.003,10.0,23.0,2.4,15,,2720.00,,11 40 43.1,+07 05 23,4.03,M1   IIIab,NU Vir,0.189,186,0.0135,8.7,G,11 45 51.5,+06 31 45
548,Sigma 1678,12,40.4,14,55,12h45m00.9473s,+14d22m09.8051s,15,2503,7,,,0.109,0.011,8.0,24.0,3.1,19,,2937.00,,12 40 25.0,+14 54 42,7.75,F6   V,,0.092,118,0.0164,12.5,,12 45 26.5,+14 21 49
,,,,,,,,,,,,,,,,,,,,2938.00,,12 40 25.6,+14 55 13,7.23,B8   V,,0.054,272,0.0054,15.4,,12 45 26.1,+14 22 24
549,Sigma 1678,12,40.4,14,55,12h45m00.9473s,+14d22m09.8051s,15,2504,6.8,AO,,-0.023,0 .000,10.0,31.0,3.1,19,,2937.00,,12 40 25.0,+14 54 42,7.75,F6   V,,0.092,118,0.0164,12.5,,12 45 26.5,+14 21 49
,,,,,,,,,,,,,,,,,,,,2938.00,,12 40 25.6,+14 55 13,7.23,B8   V,,0.054,272,0.0054,15.4,,12 45 26.1,+14 22 24
550,Sigma 1788,13,49.7,-7,34,13h54m15.9697s,-08d03m31.436s,-7,3728,6.2,F8,-0.161,-0.123,0.017,7.0,19.0,2.8,16,,3173.00,,13 49 43.4,-07 34 00,6.19,F8+G0V,,0.177,259,0.0209,11.1,,13 54 58.3,-08 03 32
551,Beta 1270,13,58.7,8,58,14h02m57.0942s,+08d29m06.0751s,9,2842,7.8,F5,,0.071,0.013,7.0,24.0,3.4,22,,3203.00,,13 58 46.0,+08 58 05,7.58,F5   d,BET 1270,0.031,119,0.0197,5.5,G,14 03 43.3,+08 29 13
552,Beta 1085,14,53.7,-4,35,14h58m15.1432s,-04d59m04.2335s,-4,3783,6,F5,- .369*,-0.338,0.006,5.0,17.0,3.3,23,,3384.00,A,14 53 40.0,-04 35 11,6.09,F8   V,,0.373,254,0.0107,7.5,G,14 58 52.8,-04 59 21
,,,,,,,,,,,,,,,,,,,,3384.00,B,14 53 42.0,-04 35 00,13.30,M1:,,,,,,,14 58 57.2,-04 59 00
553,W1 583,15,33.2,10,35,15h37m47.5446s,+10d15m17.4805s,10,2886,7,F8,+ .139*,0.134,0.011,5.0,16.0,3.0,20,,3532.00,,15 33 10.7,+10 34 40,7.10,F8   V,,0.384,160,0.0142,8.4,,15 37 59.2,+10 14 23
554,L Bo 2294,15,43.1,1,53,15h48m04.0272s,+01d34m30.2108s,2,3001,7.9,G5,- .192*,-0.174,0.031,8.0,24.0,3.0,18,,3574.00,,15 43 06.5,+01 53 03,7.43,G8   V,,0.240,228,0.0336,12.5,,15 48 09.4,+01 34 18
555,Xi 2 Scorpii,15,58.9,-11,6,16h03m30.4276s,-11d22m36.5636s,-10,4237,4.8,F8,-0.072,-0.073,0.041,5.0,16.0,2.9,18,*,3636.00,M,15 58 52.1,-11 05 49,4.16,F5   IV,XI1 Sco,0.072,242,0.0430,4.2,G,16 04 22.2,-11 22 22
,,,,,,,,,,,,,,,,,,,*,3636.00,A,15 58 52.1,-11 05 49,4.77,F5   IV,XI1 Sco,0.072,242,0.0430,4.2,G,16 04 22.2,-11 22 22
,,,,,,,,,,,,,,,,,,,*,3636.00,B,15 58 54.0,-11 06 00,5.07,F5   IV,XI1 Sco,0.071,242,,,,16 04 24.1,-11 22 33
,,,,,,,,,,,,,,,,,,,*,3636.00,C,15 58 52.5,-11 05 46,7.30,G1   V,XI2 Sco,0.070,255,,,,16 04 22.5,-11 22 18
,,,,,,,,,,,,,,,,,,,*,3637.00,M,15 58 55.8,-11 10 26,6.96,"G8+K1V,V",SIG 1999A,0.075,248,0.0450,5.3,G,16 04 26.0,-11 26 58
,,,,,,,,,,,,,,,,,,,*,3637.00,A,15 58 55.8,-11 10 26,7.43,G8   V,SIG 1999A,0.075,248,0.0450,5.3,G,16 04 26.0,-11 26 58
,,,,,,,,,,,,,,,,,,,*,3637.00,B,15 58 56.4,-11 10 28,8.02,K0   V,SIG 1999B,0.070,248,,,,16 04 26.6,-11 27 00
556,Phi Herc,16,5.6,45,12,16h08m09.5018s,+44d56m07.957s,45,2376,4.3,B9p,-0.018,-0.021,0.008,6.0,20.0,3.3,21,,3667.00,,16 05 37.0,+45 11 49,4.26,B9p:M,PHI Her,0.047,320,0.0164,9.8,,16 08 46.1,+44 56 06
557,49 Serp,16,8.6,13,48,16h12m38.5308s,+13d32m36.8934s,,,6.9,G9,,0.217,0.034,6.0,18.0,2.8,17,*,3681.00,M,16 08 38.6,+13 47 39,6.68,"G8+K0V,",49 SER,0.456,157,0.0531,5.2,F,16 13 18.4,+13 31 39
,,,,,,,,,,,,,,,,,,,*,3681.00,A,16 08 38.6,+13 47 39,7.50,G8   V,49 SER,0.456,157,0.0531,5.2,F,16 13 18.4,+13 31 39
,,,,,,,,,,,,,,,,,,,*,3681.00,B,16 08 36.0,+13 48 00,7.60,G8   V,,0.449,157,,,,16 13 15.8,+13 32 01
558,49 Serp,16,8.6,13,48,16h12m38.5308s,+13d32m36.8934s,,,6.7,G9,,0.181,0.048,6.0,17.0,2.9,18,*,3681.00,M,16 08 38.6,+13 47 39,6.68,"G8+K0V,",49 SER,0.456,157,0.0531,5.2,F,16 13 18.4,+13 31 39
,,,,,,,,,,,,,,,,,,,*,3681.00,A,16 08 38.6,+13 47 39,7.50,G8   V,49 SER,0.456,157,0.0531,5.2,F,16 13 18.4,+13 31 39
,,,,,,,,,,,,,,,,,,,*,3681.00,B,16 08 36.0,+13 48 00,7.60,G8   V,,0.449,157,,,,16 13 15.8,+13 32 01
,Mean Sigma 2021,,,,,0,0,13,3091,6.8,K0,0.171,,0.041,4.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
559,Eta Drac,16,22.6,61,44,16h23m21.9963s,+61d30m14.1433s,61,1591,2.9,G5,-0.015,-0.013,0.048,5.0,18.0,3.7,24,*,3740.00,M,16 22 38.1,+61 44 25,2.74,G8-  IIIab,ETA Dra,0.080,339,0.0443,7.3,P,16 23 59.4,+61 30 52
,,,,,,,,,,,,,,,,,,,*,3740.00,B,16 22 36.0,+61 44 00,8.80,K2,,,,,,,16 23 57.8,+61 30 19
560,W1 906,16,50.1,-8,9,16h55m25.8905s,-08d18m40.076s,-8,4352,9.2,K5p,- .858*,-0.819,0.162,9.0,27.0,3.2,20,,3844.00,,16 50 06.0,-08 08 00,11.70,M3.5 d,W 629,1.190,223,0.1698,6.6,G,16 55 26.5,-08 19 07
,,,,,,,,,,,,,,,,,,,*,3845.00,M,16 50 08.1,-08 09 04,9.04,M3   Ve,W 630,1.183,223,0.1548,0.6,G,16 55 28.7,-08 20 10
,,,,,,,,,,,,,,,,,,,*,3845.00,A,16 50 08.1,-08 09 04,9.69,M3   Ve,W 630,1.183,223,0.1548,0.6,G,16 55 28.7,-08 20 10
,,,,,,,,,,,,,,,,,,,*,3845.00,D,16 50 06.0,-08 09 00,16.78,M7e  d,VBs 8,,,,,,16 55 31.9,-08 18 39
561,c Herc,17,4.5,36,4,17h07m32.9918s,+35d56m10.1412s,36,2827,5.4,A5,-0.015,-0.019,0.01,8.0,26.0,3.2,22,*,3894.00,,17 04 29.3,+36 03 54,5.39,A5-F1III/*,Hu 1176,0.037,239,0.0134,6.8,G,17 08 02.1,+35 56 07
562,Gr 2433,17,15.3,60,47,17h16m13.4087s,+60d40m34.1797s,60,1743,var,K0,-0.04,-0.047,-0.002,5.0,17.0,3.1,19,,3937.00,,17 15 16.5,+60 46 36,6.32,K1.5 IIIb,,0.048,284,0.0014,8.4,,17 16 29.4,+60 40 14
563,Lal 32025,17,23.0,73,6,17h20m54.8036s,+73d00m28.7534s,73,767,8.3,K0,+ .052*,0.062,0.02,8.0,25.0,2.9,20,*,3963.00,,17 22 58.2,+73 06 00,8.30,K0   d,Lal 32025,0.206,15,0.0265,8.1,G,17 20 54.2,+73 00 49
564,Lal 31842,17,23.6,26,52,17h27m00.5956s,+26d46m55.1179s,26,3023,8,G5,- .096*,-0.114,0.025,8.0,25.0,3.2,20,*,3966.00,,17 23 34.7,+26 52 14,7.68,K1   IV,Lal 31842,0.287,341,0.0274,12.5,,17 27 34.6,+26 47 41
565,Alpha Ophiuc,17,30.3,12,38,17h34m37.7332s,+12d33m58.4529s,12,3252,2.1,A5,0.121,0.17,0.039,8.0,28.0,3.3,25,,4000.00,,17 30 17.4,+12 37 57,2.08,A5   III,ALP Oph,0.257,153,0.0638,4.4,G,17 34 56.0,+12 33 35
566,Lal 32769,17,43.0,72,27,17h41m06.6563s,+72d24m23.2084s,72,803,8.4,K0,- .099*,-0.117,0.026,6.0,16.0,2.8,20,*,4066.00,,17 43 02.6,+72 27 19,7.61,G6   d,Lal 32769,0.314,340,0.0344,8.3,G,17 41 06.7,+72 25 12
567,Lal 32664,17,47.6,-7,53,17h52m25.9025s,-07d54m29.9003s,-7,4517,7.6,G5,- .071*,-0.067,0.011,9.0,26.0,2.7,20,*,4079.00,,17 47 33.0,-07 53 19,7.64,G0   V,,0.261,191,0.0156,10.2,G,17 52 58.6,-07 55 10
568,Lal 33193,18,0.1,30,23,18h03m49.0287s,+30d23m16.7155s,30,3113,6.7,F5,- .078*,-0.033,0.022,5.0,16.0,3.1,20,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
569,40 Drac,18,7.5,79,59,17h59m30.4414s,+79d59m28.4906s,79,570,6.2,F5,0.057,0.059,0.018,7.0,22.0,3.1,21,,4176.00,A,18 07 37.8,+79 59 27,5.68,F7   V,SIG 2308A,0.142,12,0.0260,5.7,G,18 00 08.7,+80 00 15
,,,,,,,,,,,,,,,,,,,,4176.00,B,18 07 31.4,+79 59 16,6.04,F7   V,SIG 2308B,0.135,22,,,,18 00 03.4,+80 00 02
570,41 Drac,18,7.6,79,59,17h59m30.4414s,+79d59m28.4906s,79,571,5.8,F5,0.05,0.052,0.006,7.0,22.0,3.1,21,,4176.00,A,18 07 37.8,+79 59 27,5.68,F7   V,SIG 2308A,0.142,12,0.0260,5.7,G,18 00 08.7,+80 00 15
,,,,,,,,,,,,,,,,,,,,4176.00,B,18 07 31.4,+79 59 16,6.04,F7   V,SIG 2308B,0.135,22,,,,18 00 03.4,+80 00 02
,Mean Sigma 2308,,,,,0,0,,,,,,,0.012,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
571,36 Drac,18,13.3,64,22,18h13m29.1354s,+64d23m55.794s,64,1252,5,F5,0.35,0.356,0.037,8.0,25.0,3.0,19,,4200.00,,18 13 19.1,+64 21 48,5.03,F5   V,36 Dra,0.344,85,0.0469,1.9,G,18 13 53.7,+64 23 50
572,Lal 34175,18,24.7,-1,53,18h29m11.677s,-01d49m07.8615s,-1,3500,8.2,K5,+ .142*,0.178,0.056,7.0,19.0,2.9,18,,4254.00,,18 24 39.5,-01 52 43,8.05,K3   V,G 021-017,0.256,140,0.0520,7.5,G,18 29 52.3,-01 49 05
573,Beta 971,18,44.9,49,20,18h46m34.5656s,+49d26m33.5753s,49,2871,7.2,F5,,-0.002,0.018,6.0,18.0,2.9,18,*,4347.00,,18 44 54.7,+49 19 15,7.18,F0   III,BET 648,0.016,180,0.0196,7.2,G,18 47 29.5,+49 25 55
574,Beta 648,18,53.3,32,46,18h56m43.6133s,+32d53m55.327s,32,3267,5.2,G0,0.177,0.154,0.055,7.0,24.0,3.3,22,,4399.00,M,18 53 16.6,+32 46 22,5.22,F9.5 V,BET 648,0.224,136,0.0628,3.4,G,18 57 01.5,+32 54 04
,,,,,,,,,,,,,,,,,,,,4399.00,A,18 53 16.6,+32 46 22,5.34,F9   V,BET 648,0.224,136,0.0628,3.4,G,18 57 01.5,+32 54 04
,,,,,,,,,,,,,,,,,,,,4399.00,B,18 53 18.0,+32 46 00,7.70,K1   V,,,,,,,18 57 01.7,+32 53 58
575,17 Lyrae,19,3.6,32,21,19h06m45.8655s,+32d30m19.9779s,32,3326,5,F0,0.124,0.176,0.004,6.0,18.0,3.0,17,,4458.00,,19 03 38.5,+32 20 38,5.23,F0   V,17 Lyr,0.129,80,0.0148,6.9,G,19 07 25.5,+32 30 06
576,Gr 2789,19,9.5,49,40,19h11m36.8913s,+49d50m05.3869s,,,6.8,G4,-0.167,-0.184,0.039,4.0,13.0,3.2,19,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
577,Dorpat 2258,19,9.5,49,40,19h11m36.8913s,+49d50m05.3869s,,,6.6,G6,-0.184,-0.209,0.035,6.0,19.0,3.3,20,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean Sigma 2486,,,,,0,0,49,2959,,G5,,0.037,0.037,3.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
578,Alpha Vulpec,19,24.5,24,28,19h28m10.55s,+24d40m15.4232s,24,3759,4.6,Ma,-0.123,-0.133,0.014,7.0,18.0,2.7,16,,4557.00,,19 24 32.6,+24 27 44,4.44,M1   IIIb,ALP Vul,0.164,231,0.0109,9.2,G,19 28 42.3,+24 39 53
579,8 Vulpec,19,24.8,24,34,19h28m10.2873s,+24d46m15.4054s,24,3761,6,K0,-0.007,0.005,0.002,6.0,17.0,2.7,16,,4558.00,,19 24 46.5,+24 33 43,5.81,K0   III,8 Vul,0.028,44,0.0046,9.8,,19 28 57.1,+24 46 07
580,Pi 182,19,30.9,0,7,19h35m06.9021s,+00d20m07.7634s,0,3788,7.9,G5,- .015*,-0.023,-0.005,8.0,22.0,2.9,17,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
581,15 Sagittae,19,59.6,16,48,20h03m32.2479s,+17d04m51.9104s,16,4121,5.9,G0,-0.401,-0.409,0.069,8.0,21.0,2.8,17,*,4760.00,,19 59 36.6,+16 47 57,5.80,G1   V,15 Sge,0.571,225,0.0594,5.5,G,20 04 06.2,+17 04 13
,,,,,,,,,,,,,,,,,,,*,4761.00,A,19 59 36.5,+16 43 06,8.80,F2   g,,0.012,256,0.0387,18.2,,20 04 09.0,+17 00 02
,,,,,,,,,,,,,,,,,,,*,4761.00,B,19 59 36.4,+16 43 01,9.74,A8   dn,,0.008,311,,,,20 04 08.9,+16 59 58
,,,,,,,,,,,,,,,,,,,*,4761.00,C,19 59 36.0,+16 43 00,11.70,,,,,,,,20 04 08.5,+16 59 56
582,Theta Sagittae,20,5.5,20,37,20h09m24.3259s,+20d54m36.3709s,20,4453,6.3,F2,0.059,0.076,0.04,0.006,0.019,3.0,17,,4785.00,A,20 05 31.8,+20 37 04,6.48,F5   IV,THE Sge,0.114,30,0.0312,6.4,G,20 09 56.6,+20 54 54
