Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
399,27 Pisc,23,53.6,-4,7,23h58m07.5605s,-03d33m35.7956s,-4,5996,5.1,K2,-0.054,-0.047,0.045,8.0,19.0,2.4,13,,5793.00,,23 53 33.1,-04 06 38,4.86,G9   III,27 Psc,0.086,219,0.0265,5.2,F,23 58 40.3,-03 33 21
400,Omega Sigma 18 (Br),0,37.2,3,37,00h42m08.9488s,+04d09m54.765s,3,93,7.6,F5,,0.009,0.009,6.0,19.0,3.0,19,,123.00,M,00 37 14.0,+03 37 08,7.60,F8   V,,0.032,143,0.0137,8.2,G,00 42 23.1,+04 10 00
401,Mu Pisc,1,24.9,5,38,01h29m12.4756s,+06d09m03.1474s,5,194,5.1,A2,0.293,0.278,0.045,10.0,27.0,2.8,14,*,309.00,,01 24 56.6,+05 37 42,4.84,K4   III,MU Psc,0.294,98,0.0158,7.4,F,01 30 11.1,+06 08 38
402,1 Arietis,1,44.6,21,47,01h49m31.6796s,+22d16m50.9692s,21,243,6.2,F5,-0.0111,-0.015,0.017,6.0,17.0,2.8,16,,380.00,A,01 44 36.8,+21 46 42,5.86,K1   III,SIG 174,0.014,244,0.0173,8.0,G,01 50 08.5,+22 16 30
,,,,,,,,,,,,,,,,,,,,380.00,B,01 44 36.0,+21 47 00,7.30,A6   V,,0.009,,,,,01 50 07.8,+22 16 48
403,1 Arietis,1,44.6,21,47,01h49m31.6796s,+22d16m50.9692s,21,243,7.4,A2,-0.0111,-0.009,0.007,9.0,25.0,2.8,16,,380.00,A,01 44 36.8,+21 46 42,5.86,K1   III,SIG 174,0.014,244,0.0173,8.0,G,01 50 08.5,+22 16 30
,,,,,,,,,,,,,,,,,,,,380.00,B,01 44 36.0,+21 47 00,7.30,A6   V,,0.009,,,,,01 50 07.8,+22 16 48
,Mean (Sigma 174),,,,,0,0,,,5.9,,,,0.014,5.0,,,,0,0.00,0,0,0,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
404,Eta Persei (Br),2,43.4,55,29,02h50m17.573s,+55d53m57.5962s,55,714,3.9,K0,0.026,0.026,0.021,9.0,28.0,3.2,17,,573.00,,02 43 23.8,+55 28 50,3.76,K3-  Ib-I*,THE Per,0.021,119,0.0007,10.2,P,02 50 41.8,+55 53 44
405,Kappa Ceti,3,14.1,3,0,03h19m13.0073s,+03d21m51.0912s,2,518,5,G5,0.268,0.268,0.112,8.0,24.0,3.2,17,*,691.00,,03 14 06.8,+03 00 12,4.83,G5   V,KAP1 Cet,0.284,70,0.1082,1.7,G,03 19 21.6,+03 22 12
