No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
1493,Lal 35383,18,50.7,50,35,18h52m28.4852s,+50d42m24.4625s,50,2686.0,5,G5,0.033,0.005,0.011,0.021,4;16,12.2,31,,4382.00,,18 50 44.8,+50 35 00,4.92,0.90,G7   IIIa*,,0.014,197,0.0234,7.2,,18 53 13.4,+50 42 29
1494,12 Lyra,18,51.0,36,46,18h54m29.9413s,+36d53m37.3451s,36,3319.0,4.5,Mb,0.007,-0.004,-0.003,-0.005,5;21,12.1,31,,4385.00,,18 51 00.3,+36 46 18,4.30,1.68,M4   II,DEL2 Lyr,0.023,236,-0.0016,7.3,G,18 54 30.1,+36 53 54
1495,Lal 35421,18,53.8,17,14,18h57m26.9661s,+17d21m58.3946s,17,3799.0,5.4,F5,0.009,0.001,0.005,-0.01,3;13,12.2,31,*,4400.00,,18 53 47.6,+17 13 35,5.38,0.80,F8   Ib,,0.011,188,-0.0067,5.5,G,18 58 14.7,+17 21 39
1496,29 Aqil,19,15.2,11,21,19h19m41.8641s,+11d32m03.7968s,11,3802.0,6,A2,0.041,0.036,0.051,-0.001,6;21,12.3,30,,4517.00,,19 15 10.8,+11 20 57,6.02,0.08,A2   V,OME2 Aql,0.056,53,0.0006,9.8,,19 19 53.0,+11 32 06
1497,Bo 12989,19,23.6,49,14,19h25m42.2502s,+49d26m01.2866s,49,3009.0,8,K0,0.845,0.461,0.47,0.045,5;19,12.4,31,,4554.00,,19 23 38.9,+49 14 37,8.01,0.93,K3   V,G 208-022,0.843,33,0.0453,6.7,F,19 26 25.9,+49 27 55
1498,Rho Drac,20,2.4,67,35,20h02m26.4361s,+67d51m59.1388s,67,1222.0,4.7,K0,0.051,0.02,0.02,0.024,5;20,12.1,31,,4773.00,,20 02 22.1,+67 35 18,4.51,1.32,K3   III,RHO Dra,0.050,15,0.0119,6.6,P,20 02 49.1,+67 52 25
1499,Lal 39176,20,18.2,5,1,20h22m57.4836s,+05d20m13.2333s,4,4434.0,5.4,K0,0.053,-0.027,-0.026,0.0,6;24,12.4,31,,4856.00,,20 18 13.3,+05 01 23,5.31,0.97,G8   III-*,,0.046,219,0.0009,7.7,G,20 23 10.6,+05 20 34
1500,73 Drac,20,32.8,74,37,20h30m39.2223s,+74d57m29.6433s,74,872.0,5.2,A2p,0.019,0.014,-0.001,0.008,5;20,12,32,,4905.00,,20 32 49.7,+74 36 42,5.20,0.07,A0pSrCrEu,73 Dra,0.011,168,0.0097,7.3,G,20 31 30.4,+74 57 16
1501,16 Aqar,21,15.8,-4,59,21h20m14.6462s,-04d33m37.8354s,-5,5524.0,6,K0,0.023,-0.022,-0.016,0.013,6;23,12.4,31,,5137.00,,21 15 49.7,-04 59 04,5.87,0.92,G7   g,16 Aqr,0.018,318,0.0154,9.8,,21 21 04.3,-04 33 36
1502,Lal 41808,21,23.5,52,28,21h26m17.4382s,+52d54m01.4279s,52,2939.0,6,B8,0.028,0.027,0.017,0.015,5;19,12.3,30,,5171.00,,21 23 27.1,+52 27 50,6.03,-0.12,B6   V,,0.013,8,0.0169,8.4,,21 26 44.9,+52 53 55
1503,25 Aqar,21,34.5,1,48,21h39m04.6178s,+02d15m04.5201s,1,4517.0,5.3,K0,0.089,-0.027,-0.05,0.001,5;17,12.1,29,*,5221.00,,21 34 28.7,+01 47 38,5.10,1.04,K0   III,25 Aqr,0.082,200,0.0056,6.8,G,21 39 33.2,+02 14 37
1504,16 Pegs,21,48.5,25,27,21h52m32.9185s,+25d55m11.9501s,25,4635.0,5,B3,0.004,0.004,0.002,-0.003,7;26,12.1,32,,5290.00,,21 48 30.6,+25 27 16,5.08,-0.17,B3   Ve,16 Peg,0.009,74,0.0013,11.1,,21 53 03.7,+25 55 30
1505,Gamma Aqar,22,16.5,-1,53,22h21m09.0173s,-01d22m48.524s,-2,5741.0,4,A0,0.126,0.126,-0.12,0.034,5;19,12.2,29,,5407.00,,22 16 29.4,-01 53 28,3.84,-0.05,A0   V,GAM Aqr,0.130,85,0.0436,6.4,G,22 21 39.3,-01 23 14
1506,RZ Ceph,22,35.7,64,20,22h38m27.3934s,+64d51m13.7316s,64,1694.0,Var,A,0.197,0.083,0.09,-0.005,6;22,12.2,32,,5489.00,,22 35 43.4,+64 19 55,9.19,0.40,A0-F2,,0.214,27,0.0093,7.1,F,22 39 13.2,+64 51 30
1507,Lal 44708,22,46.4,13,26,22h50m57.3862s,+13d57m47.7651s,13,5006.0,8,K0,0.476,0.426,0.399,0.04,6;24,12,30,*,5534.00,,22 46 26.0,+13 26 02,8.30,0.84,K4   d,G 067-027,0.462,63,0.0450,8.2,F,22 51 26.3,+13 58 12
1508,Lal 44920,22,53.5,8,50,22h58m01.4427s,+09d22m05.752s,8,4973.0,6.5,G0,0.425,0.396,0.374,0.04,6;20,12.3,31,*,5569.00,,22 53 30.8,+08 49 32,6.43,0.64,"G2+G4V,V",,0.413,110,0.0334,6.9,G,22 58 35.0,+09 21 25
1509,8 Andr,23,13.1,48,28,23h17m37.8759s,+49d00m46.6048s,48,3991.0,5,Ma,0.04,0.04,0.033,0.01,6;22,12.3,30,*,5637.00,,23 13 06.3,+48 28 07,4.85,1.67,M2+  IIIB*,8 And,0.039,74,0.0119,9.8,,23 17 44.7,+49 00 54
1510,Psi Andr,23,41.1,45,52,23h45m57.3703s,+46d25m19.3747s,45,4321.0,5.1,K0p,0.025,0.015,0.033,-0.001,6;22,12.5,30,*,5753.00,A,23 41 04.5,+45 51 54,4.95,1.11,"G5+A0Ib,V",PSI And,0.009,91,-0.0003,8.2,G,23 46 02.0,+46 25 13
1511,Lal 595,0,22.9,43,50,00h27m21.3111s,+44d23m12.9682s,43,92.0,5.2,A2,0.104,0.102,0.093,0.007,4;14,12.2,30,,74.00,,00 22 51.0,+43 50 29,5.17,0.03,A2   V s,,0.088,97,0.0106,7.2,,00 28 13.6,+44 23 40
1512,45 Andr,1,5.5,37,12,01h10m37.2519s,+37d43m57.4691s,36,201.0,5.75,B8,0.021,-0.02,-0.012,-0.001,4;16,11.9,29,,243.00,,01 05 32.8,+37 11 31,5.81,-0.10,B7   III-*,45 And,0.012,234,0.0021,7.2,,01 11 10.2,+37 43 26
1513,Xi Andr,1,16.4,45,0,01h21m52.9299s,+45d31m26.8332s,44,287.0,5,1C0,0.043,0.043,0.036,0.021,4;16,12.4,30,,279.00,,01 16 26.9,+45 00 17,4.88,1.08,K0-  IIIb,XI And,0.034,67,0.0148,1.9,G,01 22 20.4,+45 31 43
1514,62 Andr,2,12.8,46,55,02h18m27.5412s,+47d22m45.6299s,46,552.0,5.1,A0,0.057,-0.056,-0.059,0.01,4;19,12.1,31,,472.00,,02 12 49.4,+46 55 07,5.30,-0.01,A1   V,62 And,0.059,266,0.0138,7.2,,02 19 16.8,+47 22 48
1515,Lal 6109,3,14.8,48,43,03h21m03.6655s,+49d04m44.9909s,48,893.0,6.2,F5,0.21,0.199,0.18,0.013,5;22,12,30,*,697.00,,03 14 46.7,+48 42 41,5.93,0.43,F6   V,,0.185,109,0.0151,8.4,,03 21 52.4,+49 04 14
1516,Lal 6723,3,37.3,63,2,03h45m44.9345s,+63d20m59.935s,62,604.0,5,F5,0.015,0.004,-0.003,-0.004,6;27,12.2,32,*,772.00,,03 37 17.2,+63 01 45,4.80,0.80,"G0+A3III,V",,0.006,173,-0.0008,9.8,,03 46 02.2,+63 20 42
1517,122 Taur,5,31.3,16,59,05h36m48.0181s,+17d02m47.7728s,16,822.0,5.4,A5,0.066,0.056,0.046,0.026,4;19,12.3,30,,1284.00,,05 31 15.4,+16 58 43,5.54,0.22,F0   V,122 Tau,0.053,134,0.0288,7.2,,05 37 03.7,+17 02 25
1518,55 Auri,6,35.8,44,37,06h42m17.1687s,+44d31m23.5748s,44,1518.0,5.2,K5,0.054,-0.037,-0.042,0.016,4;19,12.4,30,,1561.00,,06 35 48.2,+44 37 14,5.02,1.48,K5   III,PSI4 Aur,0.051,235,0.0182,7.2,,06 43 04.9,+44 31 28
1519,Lal 14028,7,10.9,49,39,07h17m36.1413s,+49d28m25.5524s,49,1612.0,4.8,A2,0.009,-0.005,-0.006,0.007,4;19,12.3,31,,1701.00,,07 10 56.2,+49 38 35,5.05,0.08,A4   IIIn,,0.018,247,0.0110,7.2,,07 18 31.9,+49 27 52
1520,63 Gemi,7,21.8,21,39,07h26m56.6612s,+21d27m01.8236s,21,1602.0,5.3,F5,0.131,-0.051,-0.044,0.028,4;18,12.3,30,*,1754.00,A,07 21 48.2,+21 38 59,5.22,0.39,"F5+F5V,V",63 Gem,0.137,205,0.0308,7.2,,07 27 44.4,+21 26 42
1521,Pi Gemi,7,41.1,33,40,07h47m26.9845s,+33d25m19.4538s,33,1585.0,5.3,K2,0.039,0.006,-0.018,0.01,4;18,12.4,31,,1837.00,,07 41 03.5,+33 39 40,5.14,1.60,M1   IIIa,PI Gem,0.037,209,0.0140,6.5,G,07 47 30.3,+33 24 56
1522,85 Gemi,7,49.8,20,9,07h54m50.3873s,+19d53m19.4994s,20,1946.0,5.4,A0,0.046,-0.008,-0.004,0.004,4;19,12.2,32,,1873.00,,07 49 49.7,+20 08 53,5.35,-0.04,A0   Vs,85 Gem,0.049,200,0.0076,7.2,,07 55 39.9,+19 53 02
1523,19 Pupp,8,6.6,-12,38,08h10m41.702s,-12d55m44.8669s,-12,2385.0,4.7,K0,0.024,-0.021,-0.021,0.026,5;22,12.3,30,,1943.00,,08 06 34.7,-12 37 48,4.72,0.95,G9   III-*,19 Pup,0.032,284,0.0302,7.3,G,08 11 16.2,-12 55 36
1524,20 Canc,8,17.6,18,39,08h22m44.0099s,+18d19m51.1503s,18,1930.0,5.9,F0,0.061,-0.053,-0.052,0.008,4;17,12.8,30,,1992.00,,08 17 38.2,+18 39 12,5.95,0.17,A9   V,20 Cnc,0.061,238,0.0101,7.2,,08 23 21.8,+18 19 56
1525,81 U Maj,13,30.3,55,52,13h33m51.1519s,+55d21m14.5221s,56,1667.0,5.5,A0p,0.017,-0.015,-0.006,0.008,4;15,12.1,30,,3103.00,,13 30 16.5,+55 51 39,5.60,-0.03,A0   V,81 UMa,0.026,245,0.0120,7.2,,13 34 07.2,+55 20 54
1526,86 U Maj,13,50.2,54,13,13h53m41.2342s,+53d43m29.4181s,54,1630.0,5.6,A0,0.022,-0.017,-0.008,0.007,5;20,12.2,30,,3179.00,,13 50 10.2,+54 13 13,5.70,-0.05,A0   V,86 UMa,0.041,267,0.0107,8.4,,13 53 50.9,+53 43 43
1527,13 Boot,14,4.6,49,56,14h07m45.1335s,+49d27m30.2491s,50,2047.0,5.4,Ma,0.067,-0.047,-0.034,0.019,6;22,12.2,30,,3217.00,,14 04 33.0,+49 55 50,5.25,1.65,M1.5 III,13 Boo,0.085,311,0.0221,9.8,,14 08 17.2,+49 27 29
1528,Lal 26031,14,7.2,2,53,14h12m04.0764s,+02d24m47.176s,3,2867.0,4.9,A0p,0.056,-0.028,-0.033,0.007,6;21,12.1,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1529,33 Boot,14,35.1,44,50,14h38m44.0117s,+44d24m06.9331s,45,2204.0,5.4,A0,0.075,-0.07,-0.054,0.006,7;25,12.6,30,,3314.00,,14 35 06.8,+44 50 10,5.39,0.00,A1   V,33 Boo,0.075,255,0.0100,11.1,,14 38 50.1,+44 24 16
1530,47 Boot,15,2.1,48,32,15h05m19.4924s,+48d08m45.379s,48,2262.0,5.6,A0,0.06,-0.058,-0.037,0.021,6;21,12.2,30,,3414.00,,15 02 07.0,+48 32 14,5.57,0.00,A1   V,47 Boo,0.077,292,0.0248,9.8,,15 05 25.8,+48 09 03
1531,Pi 136,15,29.5,64,33,15h30m26.4972s,+64d12m37.7247s,64,1074.0,5.9,G5,0.131,-0.106,-0.094,0.0,5;19,12.1,30,,3514.00,,15 29 31.3,+64 32 41,5.79,0.96,K0   III-*,,0.146,303,0.0028,8.4,,15 30 55.7,+64 12 30
1532,Pi Serp,15,58.0,23,5,16h02m18.3738s,+22d48m18.8817s,23,2886.0,4.8,A2,0.019,0.011,0.027,0.005,5;18,12.1,30,,3631.00,,15 57 59.2,+23 04 54,4.83,0.07,A3   V,PI Ser,0.026,4,0.0100,8.4,,16 02 17.6,+22 48 16
1533,Grb 2328,16,16.5,39,57,16h19m26.8399s,+39d42m34.8337s,40,3005.0,5.5,F2,0.107,-0.106,-0.125,0.038,6;20,12.3,30,,3713.00,A,16 16 29.5,+39 56 52,5.46,0.40,F3   IV-V,,0.137,271,0.0409,9.8,,16 19 55.1,+39 42 31
1534,W B 394,16,23.5,0,53,16h28m05.7374s,+00d39m37.065s,0,3529.0,5.5,K2,0.075,0,0.008,0.004,7;25,12.3,35,,3742.00,,16 23 28.2,+00 53 19,5.39,1.46,K4   IIIp,,0.069,179,0.0063,7.6,G,16 28 34.0,+00 39 53
1535,Grb 2377,16,43.4,56,58,16h44m53.7435s,+56d47m06.9415s,57,1702.0,4.9,F0,0.065,0.031,0.037,0.04,7;25,12.2,30,*,3821.00,,16 43 23.8,+56 57 37,4.85,0.38,F2   V,,0.065,11,0.0441,11.1,,16 45 17.7,+56 46 54
1536,Nu Serp,17,15.2,-12,45,17h20m37.2386s,-12d51m06.9183s,-12,4722.0,4.4,A0,0.04,0.04,0.045,0.021,7;25,11.8,30,,3936.00,,17 15 12.1,-12 44 43,4.33,0.03,A2   V,NU Ser,0.039,89,0.0249,7.8,F,17 20 49.6,-12 50 48
1537,Lal 31568,17,15.9,18,10,17h19m24.4281s,+18d03m47.8654s,18,3351.0,5.2,Ma,0.052,0.011,0.015,0.005,6;24,12.5,31,,3940.00,,17 15 54.3,+18 09 35,5.00,1.62,M2   IIIab,,0.057,173,0.0071,9.8,,17 20 18.8,+18 03 25
1538,Lal 32012,17,29.0,19,20,17h33m20.9608s,+19d15m48.5592s,19,3354.0,5.6,F5,0.094,-0.023,-0.013,0.029,6;21,12.2,32,,3986.00,,17 29 02.0,+19 19 44,5.64,0.48,F6   V,,0.096,199,0.0312,9.8,,17 33 22.8,+19 15 24
1539,Grb 2444,17,29.9,41,19,17h32m11.0241s,+41d14m43.5007s,41,2850.0,5.8,K0,0.104,-0.075,-0.063,0.014,5;21,12.4,31,,3994.00,,17 29 56.8,+41 18 50,5.74,1.09,K1   g,,0.095,231,0.0162,8.4,,17 33 07.2,+41 14 36
1540,82 Herc,17,34.0,48,39,17h36m36.5743s,+48d35m24.4347s,48,2542.0,5.5,K0,0.059,0.027,0.025,0.016,4;18,12.1,32,,4014.00,,17 34 00.6,+48 38 37,5.37,1.15,K1   g,82 Her,0.074,22,0.0166,6.5,G,17 36 37.6,+48 35 09
1541,93 Herc,17,55.6,16,45,17h59m27.1775s,+16d44m35.7633s,16,3335.0,4.7,K0,0.01,-0.003,0.0,0.0,5;18,11.9,30,,4110.00,,17 55 36.2,+16 45 23,4.67,1.26,K0.5 IIb,93 Her,0.014,217,0.0026,7.5,G,18 00 03.4,+16 45 03
1542,98 Herc,18,1.8,22,13,18h05m12.799s,+22d13m27.1941s,22,3273.0,5.3,Ma,0.02,-0.014,-0.014,0.013,5;20,12.1,30,,4143.00,,18 01 49.1,+22 12 34,5.06,1.58,M3-  IIIZ*,98 Her,0.018,245,0.0151,8.4,,18 06 01.9,+22 13 08
1543,Lal 33402,18,4.6,36,23,18h07m28.9249s,+36d23m50.2321s,36,3027.0,5.7,K0,0.211,-0.083,-0.094,0.008,5;19,12.3,31,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1544,108 Herc,18,17.1,29,49,18h20m50.9892s,+29d51m45.3648s,29,3241.0,5.5,A2,0.058,0.011,-0.003,0.009,4;16,12.2,31,,4219.00,,18 17 05.9,+29 48 40,5.63,0.21,A5m,108 Her,0.059,2,0.0114,7.2,,18 20 57.0,+29 51 32
1545,Lal 34817,18,35.9,65,24,18h35m18.3479s,+65d29m06.306s,65,1283.0,6,A3,0.083,0.014,0.023,0.006,4;16,12.1,30,,4304.00,,18 35 54.3,+65 23 56,6.06,0.28,F0   V,,0.084,10,0.0083,7.2,,18 36 13.2,+65 29 18
1546,Lal 34853,18,40.1,31,50,18h43m45.6398s,+31d56m04.3023s,31,3348.0,5.5,F0,0.145,-0.029,-0.031,0.023,5;18,12.2,30,,4321.00,,18 40 06.1,+31 49 42,5.70,0.34,F1   III-*,,0.128,201,0.0249,8.4,,18 43 51.5,+31 55 35
1547,Lal 37334,19,33.5,44,28,19h36m06.7502s,+44d41m23.8168s,44,3185.0,5.2,G5,0.142,-0.088,-0.098,0.016,4;17,11.9,32,,4610.00,,19 33 32.0,+44 28 24,5.17,0.93,G9   IIIb*,Rad 4476,0.152,226,0.0180,7.2,,19 36 37.9,+44 41 41
1548,29 Cygn,20,10.8,36,30,20h13m43.9618s,+36d48m10.8211s,36,3955.0,5,A0,0.096,0.069,0.067,0.031,5;20,12.2,31,*,4812.00,,20 10 47.2,+36 29 59,4.97,0.14,A2   V,29 Cyg,0.091,47,0.0345,8.4,,20 14 32.0,+36 48 22
1549,17 Dlph,20,50.9,13,20,20h54m43.915s,+13d42m49.4815s,13,4572.0,5.4,K0,0.027,0.017,0.015,0.015,4;16,12.4,30,,5008.00,,20 50 52.5,+13 20 23,5.17,1.12,K0   III,17 Del,0.022,119,0.0169,7.2,,20 55 36.7,+13 43 17
1550,Lal 41541,21,17.1,39,56,21h20m54.5411s,+40d21m29.7276s,39,4529.0,6.5,F8,0.21,-0.012,0.004,0.034,4;16,12.4,31,,5147.00,,21 17 06.9,+39 55 34,6.40,0.53,F8   V,,0.225,185,0.0358,7.2,,21 21 01.4,+40 20 42
1551,76 Cygn,21,37.5,40,21,21h41m01.3373s,+40d48m17.1009s,40,4611.0,6,A0,0.049,-0.007,-0.004,0.011,6;21,12.2,32,,5238.00,,21 37 32.8,+40 21 03,6.11,0.07,A2   V,76 Cyg,0.056,212,0.0123,8.6,G,21 41 34.2,+40 48 18
1552,15 Pegs,21,48.0,28,20,21h52m28.3534s,+28d48m11.772s,28,4215.0,5.6,F5,0.094,-0.056,-0.048,0.037,4;17,12.2,32,,5288.00,,21 48 01.9,+28 19 31,5.53,0.42,F6   IV/V*,15 Peg,0.079,223,0.0392,7.2,,21 52 29.9,+28 47 37
1553,27 Pegs,22,4.8,32,41,22h08m26.1628s,+33d10m22.5835s,32,4349.0,5.6,K0,0.092,-0.054,-0.079,0.005,5;18,12.6,30,*,5360.00,,22 04 47.6,+32 41 01,5.58,1.00,G8   IIIb,PI1 Peg,0.088,224,0.0068,8.4,,22 09 13.6,+33 10 20
1554,Grb 3719,22,8.4,69,38,22h10m17.7466s,+70d07m34.677s,69,1228.0,5.5,F2,0.055,-0.053,-0.126,0.034,4;16,12.3,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1555,Omicron Pegs,22,37.1,28,47,22h41m41.8069s,+29d18m21.7418s,28,4436.0,4.8,A0,0.037,-0.004,0.004,0.017,7;27,12.2,30,,5496.00,,22 37 03.5,+28 47 08,4.79,-0.01,A1   IV,OMI Peg,0.022,194,0.0217,11.1,,22 41 45.3,+29 18 27
1556,Grb 3904p,,,,,0,0,,,7.1,,,,0.07,0.026,4;16,,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1557,Grb 3904f,,,,,0,0,,,7.1,,,,0.074,0.002,6;24,,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,Mean,22,45.6,68,2,22h48m21.7928s,+68d33m42.8959s,67,1468.0,6.4,F5,0.126,0.108,,0.014,4,12.4,,,5530.00,A,22 45 36.0,+68 02 21,6.19,0.42,F5   V,Groom 3904A,0.132,56,0.0268,5.1,P,22 49 00.7,+68 34 12
,,,,,,,,,,,,,,,,,,,,5530.00,B,22 45 36.7,+68 02 23,,,F5   V,,0.147,58,,,,22 49 01.7,+68 34 15
1558,15 Lacr,22,47.5,42,47,22h51m29.4585s,+43d18m49.8165s,42,4521.0,5.2,K5,0.109,0.108,0.105,0.02,5;21,12.4,31,*,5542.00,,22 47 31.2,+42 46 50,4.94,1.56,M0   III,15 Lac,0.114,73,0.0220,8.4,,22 52 02.0,+43 18 44
1559,Lal 45193,23,1.3,17,59,23h05m56.6259s,+18d31m23.9187s,17,4866.0,6.1,F2,0.234,0.228,0.225,0.014,5;20,12.3,32,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1560,4 Cass,23,20.4,61,44,23h24m26.1284s,+62d16m57.4076s,61,2444.0,5.2,K5,0.017,0.014,0.011,0.007,5;21,12.4,30,,5669.00,,23 20 23.5,+61 44 01,4.98,1.68,M1   III,4 Cas,0.011,126,0.0089,8.4,,23 24 50.2,+62 16 58
1561,Chi Andr,1,33.3,43,53,01h39m00.133s,+44d23m31.2675s,43,343.0,5.2,G5,0.026,-0.022,-0.028,0.006,6;25,12.6,30,,341.00,,01 33 20.9,+43 52 39,4.98,0.89,G8   III,XI And,0.029,306,0.0082,9.8,,01 39 21.0,+44 23 10
1562,Tau Pers,2,47.2,52,21,02h54m05.5913s,+52d45m34.7011s,52,641.0,4.1,G0,0.004,0.002,0.003,0.008,4;19,12,31,*,597.00,M,02 47 09.7,+52 21 11,3.95,0.74,"G4+A4III,V",TAU Per,0.002,174,0.0190,5.1,G,02 54 15.4,+52 45 44
,,,,,,,,,,,,,,,,,,,*,597.00,A,02 47 09.7,+52 21 11,4.06,,G4   III,TAU Per,0.002,174,0.0190,5.1,G,02 54 15.4,+52 45 44
,,,,,,,,,,,,,,,,,,,*,597.00,B,02 47 12.0,+52 21 00,10.70,,A4   V,,,,,,,02 54 17.7,+52 45 33
1563,Lal 6119,3,14.3,28,41,03h20m03.2005s,+29d02m48.3242s,28,516.0,4.7,K5,0.014,0.001,-0.023,-0.011,5;20,12.5,30,,693.00,,03 14 17.1,+28 41 09,4.47,1.55,K2   II-I*,,0.015,210,-0.0087,8.4,,03 20 20.3,+29 02 54
1564,5 Taur,3,25.4,12,36,03h30m31.2386s,+12d56m35.783s,12,486.0,4.3,K0,0.022,0.022,0.023,-0.017,5;20,12.6,32,,736.00,,03 25 21.0,+12 35 38,4.11,1.12,K0   II-I*,5 Tau,0.018,86,-0.0127,8.4,,03 30 52.4,+12 56 11
1565,Lal 7820,4,8.9,53,22,04h15m48.2327s,+53d37m10.826s,53,750.0,5.1,A2,0.009,-0.009,-0.013,0.006,4;19,12.1,32,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1566,Mu Auri,5,6.6,38,22,05h12m50.8426s,+38d29m18.7754s,38,1063.0,4.8,A3,0.078,-0.016,-0.019,0.017,4;20,12.1,30,,1175.00,,05 06 34.9,+38 21 57,4.86,0.18,A4   Vm,MU Aur,0.077,193,0.0208,7.2,,05 13 25.6,+38 29 03
1567,39 Gemi,6,52.6,26,13,06h58m11.1154s,+26d05m02.7267s,26,1405.0,6.1,F5,0.187,-0.164,-0.163,0.022,5;21,12.1,30,*,1632.00,,06 52 37.5,+26 12 45,6.10,0.46,F7   V,39 Gem,0.186,296,0.0240,8.4,,06 58 47.3,+26 04 51
1568,Beta L Min,10,22.1,37,13,10h27m47.9288s,+36d42m25.5267s,37,2080.0,4.4,K0,0.162,-0.119,-0.103,0.024,7;27,12,30,,2450.00,,10 22 06.1,+37 13 10,4.21,0.90,G9   IIIab,BET LMi,0.160,228,0.0207,7.2,G,10 27 53.0,+36 42 25
1569,Fed 2135,12,39.7,52,19,12h43m36.6761s,+51d46m07.8917s,52,1650.0,7,K0,0.437,-0.391,-0.359,0.06,4;17,12.2,32,,2933.00,,12 39 42.5,+52 18 41,7.04,0.94,K3   V,G 199-036,0.432,246,0.0631,7.2,,12 44 14.5,+51 45 33
1570,Lal 25135,13,30.5,23,0,13h34m45.4114s,+22d29m16.0763s,23,2587.0,7,F5,0.278,-0.257,-0.235,0.029,6;21,12.6,29,,3106.00,,13 30 27.9,+23 00 29,6.91,0.45,F5   V,,0.282,293,0.0319,9.8,,13 35 11.4,+22 29 58
1571,10 Boot,13,54.0,22,11,13h58m41.218s,+21d41m48.2203s,22,2650.0,5.4,A0,0.053,-0.011,0.033,0.008,8;27,12.2,30,,3187.00,,13 53 57.7,+22 11 02,5.76,-0.03,A0   V s,10 Boo,0.050,191,0.0116,12.5,,13 58 38.9,+21 41 46
1572,Cin 1913,14,28.7,9,47,14h32m53.6462s,+09d20m32.052s,10,2703.0,8.9,G5,0.542,0.164,0.161,0.024,5;19,12.3,29,*,3295.00,M,14 28 40.2,+09 47 15,8.82,0.91,K2   V   *,CI 18-1913,0.483,161,0.0199,6.2,G,14 33 34.9,+09 20 05
,,,,,,,,,,,,,,,,,,,*,3295.00,A,14 28 40.2,+09 47 15,8.90,,G5,CI 18-1913,0.483,161,0.0199,6.2,G,14 33 34.9,+09 20 05
,,,,,,,,,,,,,,,,,,,*,3295.00,B,14 28 40.0,+09 47 15,14.20,,M3:,,0.542,162,,,,14 33 34.8,+09 19 59
1573,34 Boot,14,39.0,26,57,14h43m23.8423s,+26d31m31.1704s,27,2413.0,4.9,Ma,0.023,-0.012,-0.009,0.0,7;24,12.5,30,,3331.00,,14 39 01.6,+26 57 10,4.81,1.66,M3-  III,34 Boo,0.025,216,0.0028,11.1,,14 43 25.4,+26 31 40
1574,4 Serp,15,10.7,0,45,15h15m06.4069s,+00d22m42.2859s,0,3327.0,5.6,A3,0.111,-0.111,-0.083,0.016,7;22,12.3,28,,3446.00,,15 10 43.3,+00 44 31,5.63,0.18,A4   V,4 Ser,0.119,275,0.0190,11.1,,15 15 49.0,+00 22 19
1575,50 Boot,15,17.8,33,17,15h21m00.884s,+32d55m24.8492s,33,2581.0,5.4,B9,0.056,-0.055,-0.037,-0.001,7;22,12.3,30,,3474.00,,15 17 48.2,+33 17 29,5.37,-0.07,B9   Vn,50 Boo,0.060,287,0.0033,11.1,,15 21 48.5,+32 56 01
1576,14 Cor B,15,57.4,30,8,16h01m00.7532s,+29d51m10.2024s,30,2738.0,4.9,A0,0.034,-0.031,-0.047,0.003,7;22,12.3,28,,3628.00,,15 57 26.1,+30 07 51,4.99,-0.07,A0p:H,IOT CrB,0.043,255,0.0079,11.1,,16 01 26.5,+29 51 04
1577,Grb 2305,15,1.5,39,26,15h04m49.2349s,+39d02m40.6659s,39,2947.0,6.8,G5,57.2,-0.57,-0.569,0.077,5;20,12.4,31,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
1578,18 Scor,16,10.2,-8,6,16h15m24.6272s,-08d21m04.5461s,-7,4242.0,5.6,G0,0.556,0.227,0.236,0.047,7;24,11.9,30,*,3687.00,,16 10 11.0,-08 06 17,5.50,0.65,G2   Va,18 Sco,0.554,156,0.0629,6.7,G,16 15 37.2,-08 22 10
1579,Pi 182,16,31.3,79,11,16h25m29.7317s,+78d57m58.5485s,79,498.0,5.5,A3,0.156,-0.112,-0.09,0.017,5;19,12.2,30,,3774.00,,16 31 17.3,+79 10 38,5.56,0.26,F0   V,Piazzi XVI1,0.161,314,0.0288,7.6,P,16 25 43.1,+78 57 50
