No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
812,52 Pers,4,8.1,40,14,04h14m48.4512s,+40d29m14.6961s,40,912.0,4.9,G0,0.032,0.017,-0.021,-0.001,6; 27,10.7,28,,931.00,,04 08 04.7,+40 13 49,4.71,1.01,"G5+A2Ib,V",52 Per,0.025,161,0.0032,9.8,,04 14 53.2,+40 29 00
813,Eta Auri,4,59.5,41,6,05h06m00.5949s,+41d14m17.6161s,41,1058.0,3.3,B3,0.082,0.032,0.03,0.01,4; 19,10.6,27,,1139.00,,04 59 29.9,+41 05 57,3.17,-0.18,B3   V,ETA Aur,0.074,155,0.0177,6.5,G,05 06 30.8,+41 14 04
814,133 Taur,5,42.0,13,52,05h47m40.3503s,+13d54m12.5142s,13,979.0,5.2,B5,0.024,0.02,-0.007,-0.008,4; 19,11.4,30,,1322.00,,05 42 02.5,+13 51 47,5.29,-0.17,B2   IV-V,133 Tau,0.012,174,-0.0036,7.2,,05 47 42.8,+13 53 58
815,5 Mono,6,10.0,-6,15,06h14m52.737s,-06d16m48.7728s,-6,1469.0,4.1,K0,0.021,-0.001,-0.004,0.01,5; 21,10.6,29,,1452.00,,06 09 58.6,-06 14 38,3.98,1.32,K1.5 IIIB*,GAM Mon,0.025,214,0.0130,6.6,G,06 14 51.3,-06 16 29
816,RT Auri,6,22.1,30,33,06h28m25.6916s,+30d29m19.8819s,30,1238.0,Var,G0,0.023,-0.004,0.0,0.003,3; 16,11.6,28,,1500.00,,06 22 08.4,+30 33 17,5.55,0.68,F8   Ib,48 Aur,0.012,199,0.0077,4.5,G,06 28 34.1,+30 29 35
817,1 C Min,7,19.4,11,53,07h24m33.5153s,+11d41m19.7643s,11,1578.0,5.3,A2,0.025,-0.018,-0.009,0.009,4; 18,11.4,31,,1743.00,,07 19 24.8,+11 51 55,5.30,0.10,A5   IV,1 CMi,0.029,240,0.0126,7.2,,07 24 58.1,+11 40 10
818,81 Gemi,7,40.3,18,45,07h45m47.9722s,+18d30m29.8834s,18,1733.0,5,K2,0.095,-0.066,-0.073,0.007,4; 19,11.3,30,,1833.00,,07 40 20.0,+18 45 14,4.88,1.45,K4   III-*,81 Gem,0.097,230,0.0153,6.5,F,07 46 07.4,+18 30 35
819,Lal 17161,8,38.6,42,3,08h44m38.6981s,+41d41m22.6118s,42,1922.0,8.2,K0,0.701,-0.266,-0.289,0.051,6; 23,11,30,*,2082.00,,08 38 34.4,+42 03 04,8.58,0.94,K3   V,Lal 17161,0.711,203,0.0383,4.2,G,08 45 10.4,+41 40 18
820,Lal 19229,9,43.5,14,14,09h48m25.8137s,+13d46m09.7696s,14,2151.0,8.1,F0,0.829,0.343,0.379,0.021,5; 23,10.7,32,*,2323.00,,09 43 27.8,+14 13 49,8.31,0.38,G0   VI,CI 18-1163,0.857,155,0.0151,1.5,G,09 48 56.0,+13 44 39
821,Eta Leon,10,1.9,17,15,10h06m27.2456s,+16d45m47.8995s,17,2171.0,3.6,A0p,0.01,0.002,0.04,-0.01,5; 21,11.1,29,,2380.00,,10 01 52.8,+17 15 01,3.52,-0.03,A0   Ib,ETA Leo,0.006,193,-0.0012,8.4,,10 07 19.9,+16 45 45
822,62 Urs. Maj,11,36.4,32,18,11h41m15.1696s,+31d44m44.1292s,32,2179.0,5.7,F5,0.343,-0.343,-0.32,0.018,4; 17,11.7,31,*,2703.00,,11 36 21.9,+32 17 58,5.73,0.43,F4   V,62 UMa,0.353,274,0.0268,6.2,G,11 41 34.2,+31 44 45
823,17 Virg,12,17.4,5,52,12h22m06.2725s,+05d18m42.7127s,6,2599.0,6.5,F8,0.177,-0.167,-0.152,0.017,6; 23,10.5,29,,2849.00,,12 17 26.8,+05 51 42,6.40,0.60,F8   V,17 Vir,0.173,248,0.0280,6.6,G,12 22 32.0,+05 18 19
824,37 Coma,12,55.5,31,19,12h59m47.4491s,+30d46m37.9577s,31,2434.0,5.1,K0,0.033,-0.024,-0.087,0.01,5; 20,11.1,29,,2981.00,,12 55 29.3,+31 19 27,4.90,1.17,G9   IIIC*,BET 1081,0.026,229,0.0156,7.6,G,13 00 16.5,+30 47 05
825,17 H CVen,13,30.3,37,42,13h34m27.3061s,+37d11m15.5577s,37,2426.0,5,F0,0.088,0.086,0.072,0.014,5; 19,10.5,25,,3104.00,,13 30 19.8,+37 41 40,4.98,0.40,F2   IV,,0.084,100,0.0188,8.4,,13 34 47.7,+37 10 56
826,Sigma Boot,14,30.3,30,11,14h34m19.9086s,+29d44m41.2699s,30,2536.0,4.5,F0,0.232,0.197,0.207,0.07,6; 22,12.3,29,*,3300.00,,14 30 19.5,+30 10 46,4.46,0.36,F2   V,SIG Boo,0.227,56,0.0733,5.9,P,14 34 40.8,+29 44 42
827,Omega  Boot,14,57.7,25,24,15h01m23.0714s,+25d00m17.5693s,25,2861.0,4.9,K5,0.056,-0.003,0.017,0.022,5; 21,11.7,31,,3395.00,,14 57 43.6,+25 24 12,4.81,1.50,K4-  IIIa*,OME Boo,0.054,188,0.0254,8.4,,15 02 06.5,+25 00 29
828,Beta Cor B,15,23.7,29,27,15h27m08.9416s,+29d06m05.8032s,29,2670.0,3.7,F0p,0.187,-0.17,-0.171,0.034,8; 32,11.5,28,*,3495.00,M,15 23 42.2,+29 27 01,3.68,0.28,F0p,BET CrB,0.200,295,0.0294,12.8,F,15 27 49.7,+29 06 20
,,,,,,,,,,,,,,,,,,,*,3495.00,A,15 23 42.2,+29 27 01,3.92,0.28,F0p,BET CrB,0.200,295,0.0294,12.8,F,15 27 49.7,+29 06 20
,,,,,,,,,,,,,,,,,,,*,3495.00,B,15 23 42.0,+29 27 00,5.40,,,,,,,,,15 27 50.9,+29 06 11
829,Rho Serp,15,46.9,21,17,15h50m24.0424s,+20d58m49.7088s,21,2829.0,4.9,K5,0.045,-0.045,-0.03,0.006,7; 28,11.4,31,,3590.00,,15 46 52.3,+21 16 42,4.76,1.54,K5-  III,RHO Ser,0.058,274,0.0080,1.9,G,15 51 15.9,+20 58 39
