Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D Number 1,D Number 2,Mag.,Spectral type,Prop. Mot.,Rel. Parallax,Error,Error for one good plate,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
56,18 Monocerotis,6,43,2,31,2,1397,4.7,K0,0.03,0.019,10.0,25.0,,1589.00,,06 42 38.7,+02 31 18,4.47,1.11,K0+  IIIa*,18 Mon,0.025,238,0.0154,9.3,G,06 47 51.6,+02 24 44
57,Tau Geminorum,7,5,30,25,30,1439,4.5,K0,0.05,0.005,10.0,25.0,,1676.00,,07 04 46.4,+30 24 32,4.41,1.26,K2-  III,TAU Gem,0.052,213,0.0078,6.0,G,07 11 08.3,+30 14 42
58,Delta Geminorum,7,14,22,10,22,1645,3.5,F0,0.02,0.055,7.0,19.0,,1718.00,A,07 14 09.0,+22 09 59,3.53,0.34,F2   IV,DEL Gem,0.029,239,0.0579,5.9,G,07 20 07.4,+21 58 56
,,,,,,,,,,,,,,,1718.00,B,07 14 12.0,+22 10 00,8.20,,K3   V,,,,,,,07 20 10.5,+21 58 58
59,6 Canis Minoris,7,24,12,13,12,1567,4.8,K0,0.02,0.019,8.0,19.0,,1770.00,,07 24 13.7,+12 12 48,4.54,1.28,K1+  IIIB*,6 CM1,0.021,181,0.0266,9.6,G,07 29 47.7,+12 00 23
60,Nu Geminorum,7,30,27,7,27,1424,4.2,K5,0.12,0.01,10.0,25.0,*,1788.00,,07 29 45.6,+27 07 05,4.06,1.54,M0   III-*,UPS Gem,0.113,197,0.0134,10.7,G,07 35 55.3,+26 53 44
61,Sigma Geminorum,7,37,29,8,29,1590,4.3,K0,0.24,0.015,6.0,13.0,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
62,Kappa Geminorum,7,30,24,38,24,1759,3.7,G5,0.06,0.025,7.0,20.0,,1824.00,,07 38 24.6,+24 38 16,3.57,0.93,G8   IIIa,KAP Gem,0.063,210,0.0246,7.7,G,07 44 26.8,+24 23 52
63,13 Canis Minoris,7,57,2,37,2,1854,4.5,K0,0.1,-0.017,7.0,20.0,*,1908.00,,07 57 03.7,+02 36 33,4.39,1.25,K2   III,,0.108,341,0.0218,7.6,G,08 02 15.9,+02 20 04
64,27 Lyncis,8,1,51,48,51,1391,4.9,A2,0.05,0.025,11.0,32.0,,1920.00,,08 00 56.1,+51 47 42,4.84,0.05,A2   V,27 Lyn,0.059,263,-0.0116,16.8,,08 08 27.4,+51 30 24
