Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
1055,23 Vulp,20 11 36.00,+27 30 0.00,20 15 46.0,+27 48 51,+27˚3666.0,4.7,K5,2,5; 22,30,6,7.3,4819.0--,
1056,Grb 3319,20 49 48.00,+44 48 0.00,20 53 18.5,+45 10 53,+44˚3617.0,5.6,K0,-10,6; 24,30,-7,9.8,4998.0--,
1057,46 Capr,21 39 42.00,-9 33 0.00,21 45 00.2,-09 04 57,-9˚5829.0,5.3,K0,-2,6; 22,30,1,8.0,5247.0--,
1058,Nu Ceph,21 42 36.00,+60 40 0.00,21 45 26.9,+61 07 15,+60˚2288.0,4.5,A2p,2,6; 24,29,11,8.2,5267.0--,
1059,13 Pegs,21 45 24.00,+16 49 0.00,21 50 08.6,+17 17 08,+16˚4612.0,5.3,F2,9,5; 19,31,27,4.7,5275.0--,
1060,24 Ceph,22 7. 54.00,+71 51 0.00,22 09 48.4,+72 20 28,+71˚1111.0,5,G5,15,4; 16,30,14,6.5,5374.0--,
1061,Pi 22h36,22 9. 36.00,+39 13 0.00,,,+38˚4711.0,4.6,K2,14,6; 22,28,,,0.00,
1062,83 Aqar,22 59 54.00,-8 14 0.00,23 05 09.7,-07 41 37,-8˚6018.0,5.6,F0,9,6; 23,30,20,6.4,5588.0--,
1063,78 Pegs,23 39 0.00,+28 48 0.00,23 43 59.4,+29 21 41,+28˚4627.0,5,K0,15,6; 22,28,16,8.8,5748.0--,
1064,49 Andr,01 24 6.00,+46 29 0.00,01 30 06.0,+47 00 25,+46˚370.0,5.3,G5,12,5; 20,28,14,8.4,306.0--,
1065,31 Arie,02 31 12.00,+12 1 0.00,02 36 37.9,+12 26 51,+11˚360.0,5.7,F5,35,5; 22,30,32,7.3,526.0--,
1066,48 H Ceph,03 7. 36.00,+77 22 0.00,,,+77˚115.0,5.5,F0,9,5; 22,30,,,0.00,
1067,Zeta Erid,04 18 42.00,-3 59 0.00,04 23 40.8,-03 44 43,-4˚818.0,5.2,A2,8,4; 19,32,10,5.6,973.0--,
1068,Theta C Maj,06 49 30.00,-11 55 0.00,06 54 11.3,-12 02 18,-11˚1681.0,4.2,K2,21,4; 20,30,15,2.5,1617.0--,
1069,Chi Gemi,07 57 24.00,+28 4 0.00,08 03 31.0,+27 47 39,+28˚1532.0,5,K0,11,5; 20,28,14,8.4,1912.0--,
1070,Fed 1384A,08 46 0.00,+71 11 0.00,08 55 24.2,+70 47 40,,,,94,5; 19,33,89,3.5,2113.0M,
1071,Fed 1384B,08 46 0.00,+71 11 0.00,08 55 24.2,+70 47 40,,,,85,4;17,33,89,3.5,2113.0M,
,Mean Sigma 1280,,,,,+71˚482.0,8.6,K2,89,3,,,,0.00,
1072,Theta Leon,11 9. 0.00,+15 59 0.00,11 14 14.4,+15 25 46,+16˚2234.0,3.4,A0,17,8; 31,31,22,9.6,2615.0--,
1073,4 Drac,12 25 42.00,+69 45 0.00,12 30 06.7,+69 12 04,+70˚700.0,5.2,Ma,15,7; 26,30,14,9.1,2883.0--,
1074,Mu Cor B,15 31 36.00,+39 21 0.00,15 35 14.8,+39 00 36,+39˚2889.0,5.4,Ma,1,7; 26,30,4,11.1,3526.0--,
1075,Grb 2347,16 22 0.00,+69 20 0.00,16 21 48.7,+69 06 33,+69˚845.0,5.4,K0,-1,6; 22,28,13,7.2,3737.0--,
1076,46 Drac,18 40 42.00,+55 26 0.00,,,+55˚2107.0,5.1,A0,4,6; 25,28,,,0.00,
1077,Eta Scut,18 51 42.00,-5 59 0.00,18 57 03.6,-05 50 46,-6˚4976.0,5,K0,34,5; 20,31,17,1.7,4391.0--,
1078,51 Drac,19 2. 42.00,+53 15 0.00,19 04 55.1,+53 23 48,+53˚2178.0,5.4,A0,17,5; 18,30,21,8.4,4448.0--,
1079,45 Aqil,19 35 36.00,+0 51 0.00,,,+0˚3813.0,5.5,A0,15,7; 26,29,,,0.00,
1080,Delta Cygn,19 41 48.00,+44 53 0.00,19 44 58.5,+45 07 50,+44˚3234.0,3,A0,11,5; 24,33,26,7.0,4647.0M,
1081,21 Vulp,20 10 6.00,+28 23 0.00,20 14 14.5,+28 41 40,+28˚3675.0,5.2,A3,4,6; 22,31,6,9.8,4809.0--,
1082,13 Dlph,20 42 48.00,+5 38 0.00,20 47 48.3,+06 00 29,+5˚4613.0,5.6,A0,-4,7; 27,29,,11.1,4964.0--,
1083,Lal 41348,21 12 54.00,+0 15 0.00,21 18 02.9,+00 09 42,+0˚4195.0,8.5,K2,37,6; 24,30,47,5.4,5124.0--,
1084,18 Ceph,22 0. 54.00,+62 38 0.00,22 03 52.9,+63 07 11,+62˚2028.0,5.5,Mb,-9,6; 23,28,-4,9.8,5334.0--,
1085,Brad 2904,22 4. 12.00,-8 2 0.00,,,-8˚5818.0,6.6,G0,28,7; 26,27,,,0.00,
1086,95 Aqar,23 13 48.00,-10 9 0.00,23 18 57.6,-09 36 38,-10˚6094.0,5.2,A0,3,7; 26,31,10,9.5,5641.0--,
1087,42 Pers,03 43 12.00,+32 47 0.00,03 49 32.7,+33 05 29,+32˚667.0,5.1,A2,-9,5; 23,31,-4,8.4,832.0--,
1088,Sigma 742 Bt,,,,,,7.2,F8,8,6; 27,33,,,0.00,
1089,Sigma 742 Ft,,,,,,7.8,,18,5; 25,31,,,0.00,
,M-Lal 10503,05 30 24.00,+21 56 0.00,05 36 26.2,+21 59 34,+21˚902.0,,,13,4,,17,6.4,1275.0A,
1090,2 Mono,05 54 18.00,-9 34 0.00,05 59 04.2,-09 33 29,-9˚1285.0,5.1,A5,8,5; 23,32,11,7.3,1383.0--,
1091,Delta Hyda,08 32 24.00,+6 3 0.00,08 37 39.4,+05 42 13,+6˚2001.0,4.2,A0,21,4; 19,31,30,6.4,2053.0--,
1092,Lal 19782,10 4. 12.00,+2 52 0.00,,,+3˚2321.0,7.6,G0,14,6; 22,31,,,0.00,
1093,Lal 20494,10 30 48.00,+16 24 0.00,10 36 10.8,+15 52 19,+16˚2138.0,8.7,G0,19,6; 23,30,22,9.8,2479.0--,
1094,Grb 1723,10 54 42.00,+43 27 0.00,11 00 20.6,+42 54 42,+43˚2068.0,6.1,F8,16,7; 28,29,19,11.1,2560.0--,
1095,56 U Maj,11 17 24.00,+44 2 0.00,11 22 49.5,+43 28 58,+44˚2083.0,5.1,G5,-7,6; 21,28,-3,9.8,2635.0--,
1096,Pi Virg,11 55 48.00,+7 10 0.00,12 00 52.3,+06 36 50,+7˚2502.0,4.6,A3,13,6; 22,33,19,9.8,2768.0--,
1097,5 H Drac,12 14 24.00,+75 43 0.00,12 18 49.9,+75 09 37,+75˚470.0,5.4,A2,12,6; 22,29,16,9.8,2837.0--,
3098,14 Coma,12 21 24.00,+27 49 0.00,12 26 24.1,+27 16 06,+28˚2115.0,5.2,A5,6,6; 21,31,11,9.8,2866.0--,
1099,76 Virg,13 27 42.00,-9 39 0.00,13 32 58.1,-10 09 54,-9˚3711.0,5.4,G5,15,7; 24,28,19,9.5,3091.0--,
3100,83 U Maj,13 37 0.00,+55 11 0.00,13 40 44.2,+54 40 53,+55˚1625.0,4.8,Ma,10,5; 20,31,13,8.4,3127.0--,
1101,Nu Boot,13 44 42.00,+16 18 0.00,13 49 28.6,+15 47 52,+16˚2564.0,4.3,K5,13,6; 22,27,10,8.7,3156.0--,
1102,12 Boot,14 5. 48.00,+25 34 0.00,14 10 23.9,+25 05 30,+25˚2737.0,4.8,F5,36,8; 30,32,40,12.5,3221.0--,
1103,9 Serp,15 21 12.00,+15 47 0.00,15 25 47.4,+15 25 40,+15˚2858.0,5.5,Ma,11,5; 19,29,14,8.4,3486.0--,
1104,106 Herc,18 16 6.00,+21 55 0.00,18 20 17.9,+21 57 40,+21˚3390.0,5,K5,13,5; 19,29,15,7.3,4214.0--,
1105,Sigma 2587Bt,19 46 30.00,+3 50 0.00,19 51 26.9,+04 05 18,+3˚4172.0,6.6,K0,-4,6; 24,31,,9.8,4672.0--,
1106,Lal 38442,20 1. 48.00,+7 17 0.00,,,+7˚4367.0,6.9,A0,17,6; 24,29,,,0.00,
1107,Lal 38426,20 1. 48.00,+7 16 0.00,,,+7˚4366.0,7.5,A,5,6; 22,29,,,0.00,
,Mean,,,,,,,,11,4,,,,0.00,
1108,Lal 39934,20 34 54.00,+38 17 0.00,20 38 40.2,+38 38 05,+38˚4172.0,6.8,G0,45,6; 23,30,47,9.8,4921.0A,
1109,Grb 3500,21 31 0.00,+51 15 0.00,21 34 27.5,+51 41 54,+51˚3091.0,6,B9,-9,5; 18,30,-6,8.4,5205.0--,
1110,Grb 3847,22 34 42.00,+56 17 0.00,22 38 37.9,+56 47 44,+56˚2821.0,5.5,Mb,-14,6; 22,31,-11,9.8,5483.0--,
1111,Sigma 3046Bt,,,,,,8,G5,8,7; 25,31,,,0.00,
1112,Sigma 3046Ft,,,,,,8.5,G5,31,6; 23,30,,,0.00,
,M-Lal 46916,23 51 18.00,-10 3 0.00,23 56 21.2,-09 29 57,-10˚6203.0,,,20,5,,25,7.3,5781.0A,
1113,Lal 4718,23 57 42.00,+1 35 0.00,00 02 47.1,+02 07 48,+1˚4820.0,7.7,G0,15,7; 26,31,18,11.1,5811.0--,
1114,Brad 3212,00 1. 24.00,+28 28 0.00,,,+28˚4704.0,6.2,K0,71,5; 22,35,,,0.00,
1115,Nu Andr,01 30 54.00,+40 54 0.00,01 36 47.8,+41 24 19,+40˚332.0,4.2,G0,61,4; 10,14,56,4.1,331.0--,
1116,Lal 3137 A,01 36 48.00,-11 49 0.00,01 41 44.8,-11 19 29,-12˚315.0,5.8,F5,27,7; 29,26,33,7.1,355.0A,
1117,Lal 3137 B,01 36 48.00,-11 49 0.00,01 41 44.8,-11 19 29,-12˚315.0,7.5,F5,25,8; 31,24,33,7.1,355.0A,
1118,30 Arie B,02 31 12.00,+24 13 0.00,02 37 00.5,+24 38 50,+24˚376.0,7.4,F5,9,4;19,30,19,4.2,525.0A,
1119,30 Arie A,02 31 12.00,+24 13 0.00,02 37 00.5,+24 38 50,+24˚375.0,6.6,F5,11,5;21,30,19,4.2,525.0A,
1120,Beta 306,02 38 0.00,+25 13 0.00,02 43 51.2,+25 38 17,+25˚441.0,6.4,A2,-4,6;20,20,,9.8,553.0--,
1121,Rho Arie,02 50 48.00,+17 37 0.00,02 56 26.1,+18 01 23,+17˚458.0,5.6,F5,32,5;19,20,36,8.4,609.0--,
1122,47 Arie,02 52 24.00,+20 16 0.00,02 58 05.2,+20 40 07,+20˚480.0,5.8,F0,27,5;17,23,30,8.4,615.0--,
1123,Algol,03 1. 42.00,+40 34 0.00,03 08 10.1,+40 57 20,+40˚673.0,Var,B8,35,8;35,33,38,3.4,646.0A,
1124,Alpha Pers,03 17 12.00,+49 30 0.00,03 24 19.3,+49 51 40,+49˚917.0,1.9,F5,4,4;22,34,10,4.7,707.0--,
1125,34 Pers,03 22 12.00,+49 10 0.00,03 29 22.0,+49 30 32,+49˚645.0,4.7,B8,9,5;15,13,15,8.4,719.0--,
1126,WB 811,03 44 24.00,+1 4 0.00,03 49 35.6,+01 20 54,+0˚659.0,8.6,G5,19,5;22,29,28,6.2,838.0--,
1127,Grb 745,03 38 24.00,+75 53 0.00,,,+75˚154.0,8.3,K5,43,5;18,21,,,0.00,
1128,46 Taur,03 8. 12.00,+7 28 0.00,04 13 33.1,+07 42 57,+7˚617.0,5.4,F0,16,7;31,28,26,5.4,932.0--,
1129,Alpha Taur,04 30 12.00,+16 18 0.00,04 35 55.2,+16 30 32,+16˚629.0,1.1,K5,37,5;28,39,48,3.0,1014.0A,
1130,Sigma 612 B,04 48 48.00,+7 13 0.00,04 54 16.6,+07 22 21,+7˚754.0,7.9,K0,28,3;17,33,34,3.5,1094.0A,
1131,Sigma 612 A,04 48 48.00,+7 13 0.00,04 54 16.6,+07 22 21,+7˚754.0,7.6,K0,30,3;14,33,34,3.5,1094.0A,
1132,WB 1189,04 55 54.00,-5 52 0.00,05 00 49.0,-05 45 12,-5˚1123.0,6.5,K0,100,4;14,22,114,1.6,1129.0--,
1133,Capella,05 9. 18.00,+45 54 0.00,05 16 41.3,+45 59 53,+45˚1077.0,0.2,G0,67,4;20,35,79,4.6,1187.0M,
1134,Capella H,05 10 0.00,+45 44 0.00,05 17 22.7,+45 50 00,,10.5,M1,79,3;16,35,76,3.6,1193.0A,
1135,Lal 9913,05 13 18.00,+44 2 0.00,,,+19˚893.0,6.2,K0,9,6;19,17,,,0.00,
1136,Beta Auri,05 52 12.00,+11 56 0.00,05 59 31.7,+44 56 50,+44˚1328.0,2.1,A0p,36,4;23,44,43,6.5,1373.0A,
1137,Lal 12494,06 26 12.00,+11 37 0.00,06 31 48.2,+11 32 38,+11˚1209.0,5.1,A2,8,5;20,26,11,8.4,1515.0--,
1138,23 H Caml,06 29 12.00,+79 40 0.00,06 46 14.1,+79 33 53,+79˚212.0,5.6,F8,47,4;18,24,47,6.1,1530.0--,
1139,Sirius,06 40 42.00,-16 35 0.00,06 45 08.8,-16 42 57,-16˚1591.0,-1.6,A0,367,4;20,37,381,2.2,1577.0A,
1140,Lal 13427,06 54 0.00,+48 32 0.00,07 01 38.6,+48 22 43,+48˚1469.0,8.2,K0,35,6;22,20,35,6.8,1640.0--,
1141,Lal 13972,07 7. 48.00,+25 11 0.00,,,+25˚1613.0,8.4,K0,27,6;23,21,,,0.00,
1142,Procyon,07 34 6.00,+5 29 0.00,07 39 18.1,+05 13 29,+5˚1739.0,0.5,F5,293,6;30,34,286,2.1,1805.0A,
1143,Pollux,07 39 12.00,+28 16 0.00,07 45 18.9,+28 01 34,+28˚1463.0,1.2,K0,94,5;25,39,97,4.2,1826.0--,
1144,Lal 15333,07 48 18.00,+34 53 0.00,07 54 48.5,+34 37 11,+34˚1705.0,7.7,G0,20,6;16,15,24,9.8,1862.0--,
1145,WB 181,08 12 0.00,+30 56 0.00,08 18 10.7,+30 36 03,+31˚1781.0,8.5,F5,43,5;18,20,46,6.3,1973.0--,
1146,Grb 1450,08 26 24.00,+38 22 0.00,08 32 54.9,+38 00 58,+38˚1920.0,6,K5,10,6;20,21,13,9.8,2029.0--,
1147,Lal 18522,09 19 30.00,+30 56 0.00,09 25 29.3,+30 29 35,+31˚1978.0,7.8,G0,4,6;20,23,8,9.8,2239.0--,
1148,Epsilon Leon,09 40 12.00,+24 14 0.00,09 45 51.1,+23 46 27,+24˚2129.0,3.1,G0p,-2,7;20,20,6,11.1,2310.0--,
1149,15 L Min,09 42 6.00,+46 29 0.00,09 48 35.3,+46 01 15,+46˚1551.0,5.2,G0,62,5;21,28,73,4.9,2316.0--,
1150,39 Leon,10 11 42.00,+23 36 0.00,10 17 14.5,+23 06 22,+23˚2207.0,5.8,F5,56,5;18,28,57,5.3,2413.0--,
1151,Mu U Maj,10 16 24.00,+42 0 0.00,10 22 19.7,+41 29 58,+42˚2115.0,3.2,K5,29,7;23,22,32,8.2,2430.0--,
1152,Grb 1646,10 21 54.00,+49 19 0.00,10 28 03.8,+48 47 05,+49˚1961.0,6.5,G0,50,4;17,32,50,5.4,2449.0A,
1153,38 L Min,10 33 24.00,+38 26 0.00,10 39 07.5,+37 54 35,+38˚2166.0,5.8,G5p,34,5;19,30,25,4.8,2490.0--,
1154,46 L Min,10 47 42.00,+34 45 0.00,10 53 18.7,+34 12 53,+34˚2172.0,3.9,K0,7,6;17,17,23,7.2,2532.0--,
1155,51 L Min,10 59 54.00,+25 45 0.00,11 05 15.4,+25 12 06,+25˚2335.0,7.5,G0,8,4;15,30,11,7.2,2580.0--,
1156,Delta Leon,11 8. 48.00,+21 4 0.00,11 14 06.5,+20 31 25,+21˚2298.0,2.6,A3,26,5;25,47,46,7.3,2614.0--,
1157,Chi U Maj,11 40 48.00,+48 18 0.00,11 46 03.0,+47 46 46,+48˚1966.0,3.8,K0,8,7;19,18,16,9.4,2721.0--,
1158,Delta U Maj,12 10 30.00,+57 35 0.00,12 15 25.5,+57 01 57,+57˚1363.0,3.4,A2,46,5;24,39,56,7.8,2824.0--,
1159,7 C Ven,12 25 18.00,+52 5 0.00,12 30 02.8,+51 32 08,+52˚1631.0,6.2,F8,33,6;20,20,36,9.8,2882.0--,
1160,Mizar A,13 19 54.00,+55 27 0.00,13 23 55.5,+54 55 31,+55˚1598.0,2.4,A2p,37,6;19,21,41,5.8,3062.0A,
1161,Lal 25087,13 29 12.00,+0 12 0.00,13 34 16.2,-00 18 51,+0˚3075.0,7.4,K0,11,6;24,35,33,6.5,3099.0M,
1162,84 Virg,13 38 0.00,+4 3 0.00,13 43 03.7,+03 32 16,+4˚2775.0,5.6,K0,5,4;19,39,5,5.9,3129.0M,
1163,Eta Boot,13 49 54.00,+18 54 0.00,13 54 41.1,+18 23 51,+19˚2725.0,2.8,G0,87,7;30,39,87,1.8,3175.0--,
1164,Alpha Drac,14 1. 42.00,+64 51 0.00,14 04 23.3,+64 22 32,+65˚975.0,3.6,A0p,6,5;25,41,14,7.5,3209.0--,
1165,Alpha Boot,14 11 6.00,+19 42 0.00,14 15 39.6,+19 10 56,+19˚2777.0,0.2,K0,86,6;26,42,88,1.8,3242.0--,
1166,Lal 26196,14 14 24.00,-4 41 0.00,14 19 34.9,-05 09 04,-4˚3665.0,7.6,K0,44,6;20,24,52,6.4,3255.0A,
1167,Gamma Boot,14 28 6.00,+38 45 0.00,14 32 04.6,+38 18 29,+38˚2565.0,3,F0,9,5;24,42,15,7.7,3294.0A,
1168,Grb 2146,14 39 36.00,+64 41 0.00,,,+61˚1451.0,6.2,F2,14,4;18,33,,,0.00,
1169,Pi 235,14 53 6.00,+50 2 0.00,14 56 23.0,+49 37 42,+50˚2126.0,5.7,F5,21,5;24,37,26,7.3,3382.0--,
1170,Lal 27744,15 8. 48.00,+0 58 0.00,,,+0˚2944.0,6.7,K0,56,4;17,37,,,0.00,
1171,6 Serp,15 15 54.00,+1 5 0.00,15 21 01.9,+00 42 54,+1˚3067.0,5.5,K0,-1,6;15,15,6,7.1,3468.0M,
1172,53 Boot,15 28 12.00,+41 14 0.00,15 31 46.9,+40 53 58,+41˚2611.0,5,A2,12,6;20,23,11,4.9,3508.0--,
1173,Grb 2270,15 40 6.00,+52 41 0.00,15 42 50.7,+52 21 39,+52˚1898.0,5.5,A0p,3,4;16,30,8,7.2,3565.0--,
1174,Theta Drac,16 0. 0.00,+58 50 0.00,16 01 53.2,+58 33 55,+58˚1608.0,4.1,F8,43,5;22,37,48,8.4,3644.0--,
1175,Lal 30338,16 35 54.00,-2 39 0.00,16 41 08.2,-02 51 26,-2˚4230.0,7.1,G0,37,5;16,20,45,6.7,3790.0--,
1176,Lal 30664,16 45 6.00,+37 12 0.00,16 48 35.4,+37 00 48,+37˚2804.0,8.2,K0,42,5;16,16,34,2.8,3827.0--,
1177,52 Herc,16 46 18.00,+46 9 0.00,16 49 14.1,+45 58 59,+46˚2220.0,4.9,A2p,1,5;22,32,4,8.4,3830.0--,
1178,Lal 31055,16 59 48.00,-4 54 0.00,17 05 03.4,-05 03 59,-4˚4225.0,7.9,K5p,95,6;19,20,101,3.3,3878.0A,
1179,Sigma 2146,17 10 54.00,+54 14 0.00,17 13 06.1,+54 08 21,+54˚1869.0,7,F0,1,7;21,16,4,11.1,3915.0--,
1180,Brad 2228,17 37 0.00,+24 34 0.00,17 41 05.5,+24 30 46,+24˚3225.0,6.5,K0,-9,6;19,20,3,7.8,4030.0--,
1180a,Berl 6083,17 37 6.00,+24 30 0.00,17 41 05.5,+24 30 46,+24˚3226.0,8.9,K0,-15,7;20,20,3,7.8,4030.0--,
1181,95 Herc B,17 57 18.00,+21 36 0.00,18 01 30.2,+21 35 44,+21˚3280.0,5.2,G5,1,5;24,38,-1,6.9,4119.0A,
1182,95 Herc A,17 57 18.00,+21 36 0.00,18 01 30.2,+21 35 44,+21˚3280.0,5.1,A3,1,5;24,39,-1,6.9,4119.0A,
1183,Lal 33640,18 10 54.00,+29 11 0.00,18 14 44.0,+29 12 26,+29˚3213.0,6.5,G0,10,6;18,20,12,9.8,4190.0--,
1184,39 Drac,18 22 30.00,+58 45 0.00,18 23 54.6,+58 48 02,+58˚1809.0,4.8,A2,28,7;19,19,32,11.1,4244.0--,
1185,Alpha Scut,18 29 48.00,-8 19 0.00,18 35 12.3,-08 14 38,-8˚4638.0,4.1,K0,6,5;20,29,16,2.2,4275.0--,
1186,Vega,18 33 36.00,+38 41 0.00,18 36 56.4,+38 47 00,+38˚3238.0,0.1,A0,117,5;22,35,129,1.6,4293.0--,
1187,Lal 34968,18 38 30.00,+67 2 0.00,18 38 23.5,+67 07 35,+67˚1087.0,8.1,G5,7,5;18,22,8,7.5,4318.0--,
1188,N3 Aqil,18 43 48.00,+0 28 0.00,18 48 54.2,+00 34 41,,Var,Pec,-1,8;25,24,3,5.7,4341.0--,
1189,19 Aqil,19 4. 6.00,+5 55 0.00,,,+5˚4040.0,5.4,F2,27,7;22,24,,,0.00,
1190,Grb 2781,19 6. 18.00,+55 10 0.00,,,+55˚2152.0,7.3,A3,8,6;16,14,,,0.00,
1191,Fed 3124,19 10 24.00,+57 29 0.00,19 12 11.3,+57 40 19,+57˚1961.0,7,K0,41,7;18,16,39,8.9,4485.0--,
1192,Lal 36546,19 16 0.00,+49 23 0.00,19 18 37.8,+49 34 09,+49˚2977.0,6.3,K0,-1,8;23,19,1,12.5,4527.0--,
1193,RR Lyra,19 22 12.00,+42 36 0.00,19 25 27.9,+42 47 04,+42˚3338.0,Var,F5,8,5;17,26,3,1.9,4550.0--,
1194,Grb 2877,19 31 24.00,+42 12 0.00,19 34 41.2,+42 24 44,+42˚3386.0,5.3,A2,-5,4;13,19,-1,7.2,4597.0--,
1195,Lal 37513,19 38 54.00,+24 22 0.00,19 43 07.0,+24 35 53,+24˚3849.0,6.8,F8,35,6;21,23,37,9.8,4633.0--,
1196,Sigma 2576m,19 41 48.00,+33 22 0.00,19 45 33.5,+33 36 07,+33˚3582.0,8.5,K0,49,6;24,34,44,4.9,4648.0M,
1197,17 Cygn B,19 42 42.00,+33 30 0.00,19 46 25.5,+33 43 39,+33˚3589.0,8.5,K4,42,4;18,35,45,2.8,4654.0A,
1198,N3 Cygn,19 55 54.00,+53 21 0.00,19 58 24.0,+53 37 20,,Var,Q,18,6;19,28,15,8.0,4739.0--,
1199,Grb 3042,20 3. 36.00,+52 52 0.00,,,+52˚2623.0,5.7,F5,12,5;21,31,,,0.00,
1201,S 749 B,20 22 18.00,-2 27 0.00,20 27 27.5,-02 06 11,-2˚5282.0,8,F8,-4,5;20,32,-1,6.0,4867.0A,
1202,S 749 A,20 22 18.00,-2 26 0.00,20 27 27.5,-02 06 11,-2˚5283.0,6.6,F8,-5,5;19,32,-1,6.0,4867.0A,
1203,WB 759,20 23 42.00,+18 26 0.00,20 28 18.6,+18 46 09,+18˚4505.0,6.8,G5,10,5;14,17,16,8.1,4870.0A,
1204,Gamma Equl,21 5. 30.00,+9 44 0.00,21 10 20.4,+10 07 53,+9˚4732.0,4.8,F0p,15,6;29,38,26,8.2,5091.0--,
1205,6 Equl,21 5. 42.00,+9 38 0.00,21 10 31.2,+10 02 56,+9˚4735.0,6,A2,12,6;26,38,7,8.2,5093.0--,
1206,Lal 43372,22 8. 36.00,+25 27 0.00,,,+25˚4691.0,6.8,G5,3,6;15,16,,,0.00,
1207,33 Pegs,22 18 48.00,+20 21 0.00,22 23 39.6,+20 50 54,+20˚5139.0,6.1,F5,45,7;18,18,35,5.1,5416.0--,
1208,Lal 44356,22 35 54.00,+14 1 0.00,22 40 52.6,+14 32 56,+13˚4971.0,5.8,G5,21,6;25,34,27,4.6,5490.0--,
1209,Grb 3930,22 52 0.00,+49 12 0.00,22 56 25.9,+49 44 01,+48˚3887.0,5.1,K0,-3,5;14,20,-3,7.5,5564.0--,
1210,51 Pegs,22 52 36.00,+20 14 0.00,22 57 27.9,+20 46 07,+19˚5036.0,5.6,G0,69,7;19,18,57,5.1,5568.0--,
1211,Brad 3084,23 12 6.00,+52 40 0.00,23 16 42.3,+53 12 49,+52˚3410.0,5.6,F8,20,5;17,19,38,6.4,5633.0--,
1212,Omega Sigma 507 C,23 43 48.00,+64 20 0.00,23 48 39.1,+64 52 36,+64˚1860.0,8.5,,6,7;20,15,9,11.1,5761.0--,
1213,Sigma 3048 B,23 53 0.00,+23 47 0.00,23 58 03.4,+24 20 33,+23˚4830.0,9.3,,26,7;29,27,31,7.3,5791.0A,
1213a,Sigma 3048 A,23 53 0.00,+23 47 0.00,23 58 03.4,+24 20 33,+23˚4830.0,8.2,G5,27,6;22,28,31,7.3,5791.0A,
1214,Lal 1405,00 46 6.00,-5 35 0.00,00 51 10.8,-05 02 21,-5˚138.0,6.8,G0,22,5;20,30,31,7.3,171.0--,
1215,Lal 5140,02 41 0.00,-5 23 0.00,02 45 59.5,-04 57 23,-5˚514.0,7.9,F2,-2,5;20,28,1,8.4,562.0--,
1216,32 Pers,03 14 42.00,+42 58 0.00,03 21 26.5,+43 19 46,+42˚750.0,5,A2,18,4;16,30,22,7.2,696.0--,
1217,4 Taur,03 24 54.00,+11 0 0.00,03 30 24.4,+11 20 10,+10˚452.0,5.1,A0,-6,5;22,29,,8.4,732.0--,
1218,Lal 7892,04 8. 42.00,+12 6 0.00,,,+11˚583.0,6.9,G0,23,5;21,31,,,0.00,
1219,Beta Erid,05 2. 54.00,-5 13 0.00,05 07 50.9,-05 05 11,-5˚1162.0,2.9,A3,30,5;23,34,46,5.6,1158.0--,
1220,51 Orio,05 37 18.00,+1 26 0.00,05 42 28.5,+01 28 28,+1˚1105.0,5.2,G5,14,5;23,30,12,2.6,1310.0--,
1221,Omega Gemi,06 56 18.00,+24 21 0.00,07 02 24.7,+24 12 55,+24˚1502.0,5.2,K0,10,4;17,30,12,7.2,1645.0--,
1222,21 Lync,07 19 12.00,+49 25 0.00,07 26 42.8,+49 12 41,+49˚1623.0,4.4,A0,10,5;23,30,12,7.3,1741.0--,
1223,28 Mono,07 56 6.00,-1 7 0.00,08 01 13.3,-01 23 33,+0˚1882.0,4.9,K0,3,6;25,29,8,7.3,1904.0--,
1224,Zeta Mono,08 3. 36.00,-2 42 0.00,08 08 35.6,-02 59 01,-2˚2450.0,4.4,G0,-4,4;18,29,,6.0,1932.0--,
1225,Chi U Maj,08 56 48.00,+47 33 0.00,09 03 37.4,+47 09 23,+47˚1633.0,3.7,A0,5,7;29,34,11,5.7,2162.0--,
1226,43 Lync,09 35 48.00,+40 13 0.00,09 42 00.3,+39 45 28,+40˚2241.0,5.5,K0,15,5;21,29,18,8.4,2297.0--,
1227,Lal 21008,10 50 54.00,+28 17 0.00,10 56 16.4,+27 44 21,+28˚1952.0,8.6,K0,28,5;22,31,31,8.4,2548.0--,
1228,Tau Leon,11 22 48.00,+3 24 0.00,11 27 56.2,+02 51 22,+3˚2504.0,5.2,K0,30,7;28,30,32,9.4,2650.0--,
1229,95 Leon,11 50 30.00,+16 12 0.00,11 55 40.5,+15 38 47,+16˚2319.0,5.5,A2,-9,7;28,29,-4,11.1,2758.0--,
1230,7 Virg,11 54 48.00,+4 13 0.00,11 59 56.9,+03 39 18,+4˚2556.0,5.2,A0,13,6;23,30,14,8.2,2766.0--,
1231,10 Virg,12 4. 36.00,+2 28 0.00,12 09 41.2,+01 53 52,+2˚2517.0,6.1,K0,-3,7;26,29,11,8.7,2801.0--,
1232,5 C Ven,12 19 12.00,+52 7 0.00,12 24 01.4,+51 33 44,+52˚1626.0,5,K0,32,6;22,29,36,9.8,2854.0--,
