Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
64,27 Lyncis,08 1 0.00,+51 48 0.00,08 08 27.4,+51 30 24,+51˚1391,4.9,A2,25,11;32,,-11,16.8,1920.0--,
65,31 Lyncis,08 16 0.00,+43 30 0.00,08 22 50.1,+43 11 17,+43˚1815,4.4,K0,25,7;22,,19,8.9,1984.0--,
66,Sigma Hydrae,08 34 0.00,+3 42 0.00,08 38 45.4,+03 20 29,+3˚2026,4.5,K5,14,12;32,,34,11.5,2059.0--,
67,Gamma Cancri,08 38 0.00,+21 50 0.00,08 43 17.1,+21 28 06,+21˚1895,4.7,A0,6,6;15,,12,9.8,2080.0--,
68,Delta Cancri,08 39 0.00,+18 31 0.00,08 44 41.1,+18 09 15,+18˚2027,4.2,K0,-12,12;32,,22,6.7,2086.0--,
69,Theta Hydrae,09 9 0.00,+2 44 0.00,09 14 21.8,+02 18 51,+2˚2167,3.8,A0,12,7;20,,24,7.6,2200.0--,
70,Kappa Leonis,09 19 0.00,+26 37 0.00,09 24 39.2,+26 10 56,+26˚1939,4.6,K0,-9,5;15,,-4,7.5,2235.0--,
71,Sigma 2725 (brighter),20 42 0.00,+15 32 0.00,,,+15˚4251,7.3,,25,9;22,,,,0.00,
72,Sigma 2725 (fainter),20 42 0.00,+15 32 0.00,,,+15˚4251,8,,-2,11;28,,,,0.00,
,Mean,,,,,,,,14,7;--,,,,0.00,
73,Xi Cygni,21 1 0.00,+43 32 0.00,21 04 55.8,+43 55 40,+43˚3800,3.9,K5,-8,6;16,,5,5.9,5074.0--,
74,Tau Cygni,21 11 0.00,+37 37 0.00,21 14 47.4,+38 02 44,+37˚4240,3.8,F0,58,10;29,,55,5.0,5114.0A,
75,Iota Pegasi,22 2 0.00,+24 51 0.00,22 07 00.6,+25 20 41,+24˚4533,4,F5,67,8;26,,88,5.1,5345.0--,
