No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1492,Lal 34575,18,33,33,23,33,3154,5.5,B8,0.02,-0.02,-0.005,0.002,5;20,12.6,31
1493,Lal 35383,18,50.7,50,35,50,2686,5,G5,0.033,0.005,0.011,0.021,4;16,12.2,31
1494,12 Lyra,18,51,36,46,36,3319,4.5,Mb,0.007,-0.004,-0.003,-0.005,5;21,12.1,31
1495,Lal 35421,18,53.8,17,14,17,3799,5.4,F5,0.009,0.001,0.005,-0.01,3;13,12.2,31
1496,29 Aqil,19,15.2,11,21,11,3802,6,A2,0.041,0.036,0.051,-0.001,6;21,12.3,30
1497,Bo 12989,19,23.6,49,14,49,3009,8,K0,0.845,0.461,0.47,0.045,5;19,12.4,31
1498,Rho Drac,20,2.4,67,35,67,1222,4.7,K0,0.051,0.02,0.02,0.024,5;20,12.1,31
1499,Lal 39176,20,18.2,5,1,4,4434,5.4,K0,0.053,-0.027,-0.026,0,6;24,12.4,31
1500,73 Drac,20,32.8,74,37,74,872,5.2,A2p,0.019,0.014,-0.001,0.008,5;20,12,32
1501,16 Aqar,21,15.8,-4,59,-5,5524,6,K0,0.023,-0.022,-0.016,0.013,6;23,12.4,31
1502,Lal 41808,21,23.5,52,28,52,2939,6,B8,0.028,0.027,0.017,0.015,5;19,12.3,30
1503,25 Aqar,21,34.5,1,48,1,4517,5.3,K0,0.089,-0.027,-0.05,0.001,5;17,12.1,29
1504,16 Pegs,21,48.5,25,27,25,4635,5,B3,0.004,0.004,0.002,-0.003,7;26,12.1,32
1505,Gamma Aqar,22,16.5,-1,53,-2,5741,4,A0,0.126,0.126,-0.12,0.034,5;19,12.2,29
1506,RZ Ceph,22,35.7,64,20,64,1694,Var,A,0.197,0.083,0.09,-0.005,6;22,12.2,32
1507,Lal 44708,22,46.4,13,26,13,5006,8,K0,0.476,0.426,0.399,0.04,6;24,12,30
1508,Lal 44920,22,53.5,8,50,8,4973,6.5,G0,0.425,0.396,0.374,0.04,6;20,12.3,31
1509,8 Andr,23,13.1,48,28,48,3991,5,Ma,0.04,0.04,0.033,0.01,6;22,12.3,30
1510,Psi Andr,23,41.1,45,52,45,4321,5.1,K0p,0.025,0.015,0.033,-0.001,6;22,12.5,30
1511,Lal 595,0,22.9,43,50,43,92,5.2,A2,0.104,0.102,0.093,0.007,4;14,12.2,30
1512,45 Andr,1,5.5,37,12,36,201,5.75,B8,0.021,-0.02,-0.012,-0.001,4;16,11.9,29
1513,Xi Andr,1,16.4,45,0,44,287,5,1C0,0.043,0.043,0.036,0.021,4;16,12.4,30
1514,62 Andr,2,12.8,46,55,46,552,5.1,A0,0.057,-0.056,-0.059,0.01,4;19,12.1,31
1515,Lal 6109,3,14.8,48,43,48,893,6.2,F5,0.21,0.199,0.18,0.013,5;22,12,30
1516,Lal 6723,3,37.3,63,2,62,604,5,F5,0.015,0.004,-0.003,-0.004,6;27,12.2,32
1517,122 Taur,5,31.3,16,59,16,822,5.4,A5,0.066,0.056,0.046,0.026,4;19,12.3,30
1518,55 Auri,6,35.8,44,37,44,1518,5.2,K5,0.054,-0.037,-0.042,0.016,4;19,12.4,30
1519,Lal 14028,7,10.9,49,39,49,1612,4.8,A2,0.009,-0.005,-0.006,0.007,4;19,12.3,31
1520,63 Gemi,7,21.8,21,39,21,1602,5.3,F5,0.131,-0.051,-0.044,0.028,4;18,12.3,30
1521,Pi Gemi,7,41.1,33,40,33,1585,5.3,K2,0.039,0.006,-0.018,0.01,4;18,12.4,31
1522,85 Gemi,7,49.8,20,9,20,1946,5.4,A0,0.046,-0.008,-0.004,0.004,4;19,12.2,32
1523,19 Pupp,8,6.6,-12,38,-12,2385,4.7,K0,0.024,-0.021,-0.021,0.026,5;22,12.3,30
1524,20 Canc,8,17.6,18,39,18,1930,5.9,F0,0.061,-0.053,-0.052,0.008,4;17,12.8,30
1525,81 U Maj,13,30.3,55,52,56,1667,5.5,A0p,0.017,-0.015,-0.006,0.008,4;15,12.1,30
1526,86 U Maj,13,50.2,54,13,54,1630,5.6,A0,0.022,-0.017,-0.008,0.007,5;20,12.2,30
1527,13 Boot,14,4.6,49,56,50,2047,5.4,Ma,0.067,-0.047,-0.034,0.019,6;22,12.2,30
1528,Lal 26031,14,7.2,2,53,3,2867,4.9,A0p,0.056,-0.028,-0.033,0.007,6;21,12.1,29
1529,33 Boot,14,35.1,44,50,45,2204,5.4,A0,0.075,-0.07,-0.054,0.006,7;25,12.6,30
1530,47 Boot,15,2.1,48,32,48,2262,5.6,A0,0.06,-0.058,-0.037,0.021,6;21,12.2,30
1531,Pi 136,15,29.5,64,33,64,1074,5.9,G5,0.131,-0.106,-0.094,0,5;19,12.1,30
1532,Pi Serp,15,58,23,5,23,2886,4.8,A2,0.019,0.011,0.027,0.005,5;18,12.1,30
1533,Grb 2328,16,16.5,39,57,40,3005,5.5,F2,0.107,-0.106,-0.125,0.038,6;20,12.3,30
1534,W B 394,16,23.5,0,53,0,3529,5.5,K2,0.075,0,0.008,0.004,7;25,12.3,35
1535,Grb 2377,16,43.4,56,58,57,1702,4.9,F0,0.065,0.031,0.037,0.04,7;25,12.2,30
1536,Nu Serp,17,15.2,-12,45,-12,4722,4.4,A0,0.04,0.04,0.045,0.021,7;25,11.8,30
1537,Lal 31568,17,15.9,18,10,18,3351,5.2,Ma,0.052,0.011,0.015,0.005,6;24,12.5,31
1538,Lal 32012,17,29,19,20,19,3354,5.6,F5,0.094,-0.023,-0.013,0.029,6;21,12.2,32
1539,Grb 2444,17,29.9,41,19,41,2850,5.8,K0,0.104,-0.075,-0.063,0.014,5;21,12.4,31
1540,82 Herc,17,34,48,39,48,2542,5.5,K0,0.059,0.027,0.025,0.016,4;18,12.1,32
1541,93 Herc,17,55.6,16,45,16,3335,4.7,K0,0.01,-0.003,0,0,5;18,11.9,30
1542,98 Herc,18,1.8,22,13,22,3273,5.3,Ma,0.02,-0.014,-0.014,0.013,5;20,12.1,30
1543,Lal 33402,18,4.6,36,23,36,3027,5.7,K0,0.211,-0.083,-0.094,0.008,5;19,12.3,31
1544,108 Herc,18,17.1,29,49,29,3241,5.5,A2,0.058,0.011,-0.003,0.009,4;16,12.2,31
1545,Lal 34817,18,35.9,65,24,65,1283,6,A3,0.083,0.014,0.023,0.006,4;16,12.1,30
1546,Lal 34853,18,40.1,31,50,31,3348,5.5,F0,0.145,-0.029,-0.031,0.023,5;18,12.2,30
1547,Lal 37334,19,33.5,44,28,44,3185,5.2,G5,0.142,-0.088,-0.098,0.016,4;17,11.9,32
1548,29 Cygn,20,10.8,36,30,36,3955,5,A0,0.096,0.069,0.067,0.031,5;20,12.2,31
1549,17 Dlph,20,50.9,13,20,13,4572,5.4,K0,0.027,0.017,0.015,0.015,4;16,12.4,30
1550,Lal 41541,21,17.1,39,56,39,4529,6.5,F8,0.21,-0.012,0.004,0.034,4;16,12.4,31
1551,76 Cygn,21,37.5,40,21,40,4611,6,A0,0.049,-0.007,-0.004,0.011,6;21,12.2,32
1552,15 Pegs,21,48,28,20,28,4215,5.6,F5,0.094,-0.056,-0.048,0.037,4;17,12.2,32
1553,27 Pegs,22,4.8,32,41,32,4349,5.6,K0,0.092,-0.054,-0.079,0.005,5;18,12.6,30
1554,Grb 3719,22,8.4,69,38,69,1228,5.5,F2,0.055,-0.053,-0.126,0.034,4;16,12.3,30
1555,Omicron Pegs,22,37.1,28,47,28,4436,4.8,A0,0.037,-0.004,0.004,0.017,7;27,12.2,30
1556,Grb 3904p,,,,,,,7.1,,,,0.07,0.026,4;16,,30
1557,Grb 3904f,,,,,,,7.1,,,,0.074,0.002,6;24,,30
,Mean,22,45.6,68,2,67,1468,6.4,F5,0.126,0.108,,0.014,4,12.4,
1558,15 Lacr,22,47.5,42,47,42,4521,5.2,K5,0.109,0.108,0.105,0.02,5;21,12.4,31
1559,Lal 45193,23,1.3,17,59,17,4866,6.1,F2,0.234,0.228,0.225,0.014,5;20,12.3,32
1560,4 Cass,23,20.4,61,44,61,2444,5.2,K5,0.017,0.014,0.011,0.007,5;21,12.4,30
1561,Chi Andr,1,33.3,43,53,43,343,5.2,G5,0.026,-0.022,-0.028,0.006,6;25,12.6,30
1562,Tau Pers,2,47.2,52,21,52,641,4.1,G0,0.004,0.002,0.003,0.008,4;19,12,31
1563,Lal 6119,3,14.3,28,41,28,516,4.7,K5,0.014,0.001,-0.023,-0.011,5;20,12.5,30
1564,5 Taur,3,25.4,12,36,12,486,4.3,K0,0.022,0.022,0.023,-0.017,5;20,12.6,32
1565,Lal 7820,4,8.9,53,22,53,750,5.1,A2,0.009,-0.009,-0.013,0.006,4;19,12.1,32
1566,Mu Auri,5,6.6,38,22,38,1063,4.8,A3,0.078,-0.016,-0.019,0.017,4;20,12.1,30
1567,39 Gemi,6,52.6,26,13,26,1405,6.1,F5,0.187,-0.164,-0.163,0.022,5;21,12.1,30
1568,Beta L Min,10,22.1,37,13,37,2080,4.4,K0,0.162,-0.119,-0.103,0.024,7;27,12,30
1569,Fed 2135,12,39.7,52,19,52,1650,7,K0,0.437,-0.391,-0.359,0.06,4;17,12.2,32
1570,Lal 25135,13,30.5,23,0,23,2587,7,F5,0.278,-0.257,-0.235,0.029,6;21,12.6,29
1571,10 Boot,13,54,22,11,22,2650,5.4,A0,0.053,-0.011,0.033,0.008,8;27,12.2,30
1572,Cin 1913,14,28.7,9,47,10,2703,8.9,G5,0.542,0.164,0.161,0.024,5;19,12.3,29
1573,34 Boot,14,39,26,57,27,2413,4.9,Ma,0.023,-0.012,-0.009,0,7;24,12.5,30
1574,4 Serp,15,10.7,0,45,0,3327,5.6,A3,0.111,-0.111,-0.083,0.016,7;22,12.3,28
1575,50 Boot,15,17.8,33,17,33,2581,5.4,B9,0.056,-0.055,-0.037,-0.001,7;22,12.3,30
1576,14 Cor B,15,57.4,30,8,30,2738,4.9,A0,0.034,-0.031,-0.047,0.003,7;22,12.3,28
1577,Grb 2305,15,1.5,39,26,39,2947,6.8,G5,57.2,-0.57,-0.569,0.077,5;20,12.4,31
1578,18 Scor,16,10.2,-8,6,-7,4242,5.6,G0,0.556,0.227,0.236,0.047,7;24,11.9,30
1579,Pi 182,16,31.3,79,11,79,498,5.5,A3,0.156,-0.112,-0.09,0.017,5;19,12.2,30
1580,47 Herc,16,45.5,7,25,7,3256,5.5,A0,0.051,0.049,0.063,0.022,7;24,12.3,32
1581,Pi 71,17,16.1,25,38,25,3246,5.3,A2,0.027,0.018,0.027,0.006,5;20,12.2,30
1582,Br 2245,17,48.8,40,0,40,3228,6.1,K0,0.05,-0.017,-0.008,0.012,6;23,12.3,31
1583,68 Ophi,17,56.7,1,18,1,3560,4.4,A2,0.018,0.01,0.014,0.011,6;24,11.9,31
1584,Grb 2535,18,12.7,45,10,45,2684,6.3,G0,0.135,-0.072,-0.069,0.044,6;25,12.5,32
1585,105 Herc,18,15.1,24,24,24,3381,5.5,K5,0.009,0.008,0.015,-0.013,6;22,12.5,31
1586,Lal 34288,18,26.4,20,45,20,3821,6.6,G5,0.261,0.006,0.03,0.026,5;19,12.4,31
1587,Lal 36715,19,21.8,12,49,12,3907,5.8,F5,0.059,0.006,0.011,0.032,6;22,12.6,29
1588,Grb 2935,19,41.3,57,46,57,2057,6.3,F8,0.148,0.134,0.129,0.043,5;20,12.2,31
1589,Grb 2961,19,49.5,38,30,38,3801,8,G5,0.342,-0.039,-0.042,0.017,5;21,12.4,32
1590,35 Cygn,20,14.8,34,40,34,3967,5.2,F5p,0.009,0.001,0,0.004,5;20,12.2,31
1591,Br 2726,20,54.7,44,5,43,3777,5.8,K0,0.126,0.103,0.093,0.015,5;18,12.6,31
1592,Grb 3409,21,5.8,71,2,70,1164,6,F2,0.122,-0.056,-0.042,0.028,6;22,12.5,32
1593,Pi 153,21,23.9,31,47,31,4462,5.7,F0,0.144,0.122,0.138,0.018,5;19,12.4,30
1594,Lal 42677,21,47.9,41,53,41,4291,7.8,G5,0.353,-0.163,-0.172,0.044,5;21,12.4,30
1595,20 Pegs,21,56.2,12,38,12,4737,5.7,F2,0.075,0.053,0.046,0.034,7;28,12.2,30
1596,Lal 43205,22,3.1,52,39,52,3112,7.9,K0,0.637,-0.543,-0.529,0.038,5;20,12.5,33
1597,Eta Aqar,22,30.2,0,38,0,4384,4.1,B8,0.096,0.087,0.087,0.022,6;22,12.1,30
1598,Grb 3858,22,37.1,41,1,40,4885,6.1,K0,0.159,0.145,0.135,-0.002,4;14,12.5,29
1599,64 Pegs,23,17,31,16,31,4897,5.4,B8,0.01,0.001,0.003,-0.005,5;21,12.3,29
1600,Psi Pegs,23,52.7,24,35,24,4865,4.8,Ma,0.049,-0.04,-0.039,0.003,5;21,12.1,32
1601,WB 1377,0,3.5,36,4,35,8,6.1,F5,0.179,-0.105,-0.111,0.044,4;16,12.4,31
1602,Psi Cas,1,18.9,67,36,67,123,5,K0,0.083,0.077,0.077,0.011,7;26,12.6,32
1603,12 Per,2,35.9,39,46,39,610,5,G0,0.187,-0.014,-0.019,0.042,4;17,12.4,32
1604,Rho Per,2,58.8,38,27,38,630,Var,Mb,0.169,0.132,0.126,-0.001,6;27,12.3,33
1605,Beta Cam,4,54.5,60,18,60,856,4.2,G0p,0.015,-0.002,-0.008,0.002,6;28,12,32
1606,Iota Tau,4,57.1,21,27,21,751,4.7,A5,0.08,0.067,0.065,0.02,6;29,12,34
1607,Lal. 10940,5,41.4,1,8,1,2226,6.1,G5,0.165,-0.073,-0.077,0.027,4;19,12.7,30
1608,31 Cam,5,46,59,52,59,920,5.3,A0,0.02,0.004,-0.001,0.007,4;18,12.3,32
1609,36 Cam,6,2.8,65,44,65,517,5.4,K0,0.031,0.11,0.006,0.001,5;23,12.2,30
1610,Lal. 11803,6,7.6,10,40,10,1050,6.5,G5,0.301,0.094,0.082,0.054,4;17,12,31
1611,Pi. 132,7,39.8,80,31,80,238,6.5,G5,0.482,-0.476,-0.478,0.075,5;24,12.2,32
1612,1 Hya,8,19.6,-3,26,-3,2333,5.7,F5,0.213,-0.211,-0.205,0.058,4;17,12.3,32
1613,34 Lyn,8,34.1,46,11,46,1422,5.5,K0,0.089,0.029,0.026,0.012,5;23,12.5,30
1614,19 LMi,9,51.6,41,32,41,2033,5.2,F5,0.121,-0.117,-0.095,0.035,6;24,12.2,31
1615,2 Dra,11,30.2,69,53,70,670,5.4,K0,0.17,0.109,0.112,0.018,5;21,12.4,32
1616,Pi. 255,12,57.9,64,9,64,927,6,F5,0.18,-0.178,-0.158,0.029,5;20,12.4,31
1617,Theta Vir,13,4.8,-5,0,-4,3430,4.4,A0,0.053,-0.036,-0.053,0.026,7;25,11.8,37
1618,Lal. 25653,13,51.8,32,31,32,2411,6.3,F2,0.139,-0.132,-0.105,0.012,8;28,12.6,30
1619,Lal. 25818,13,58.6,11,16,11,2625,6.4,G5,0.324,0.08,0.09,0.059,6;22,12.2,30
1620,Grb. 2196,14,57,82,55,83,431,5.7,G0,0.283,0.164,0.161,0.024,5;17,12.5,31
1621,Lal. 27957,15,15.6,-2,3,-1,3047,6.5,K2,0.314,-0.256,-0.257,0.027,6;23,12.8,31
1622,Lal. 28358,15,26.6,57,47,57,1590,6.9,F8,0.306,-0.266,-0.252,0.021,6;23,12.4,33
1623,16 Her,16,11,19,4,19,3075,5.9,K0,0.108,-0.067,-0.064,0.01,8;28,12.7,30
1624,Lal. 29752,16,13.9,32,2,32,2702,6.9,G0,0.327,0.153,0.187,0.022,6;21,12.3,32
1625,17 G Oph,16,22.3,-7,22,-7,4292,5.4,Ma,0.161,0.009,0.004,0.011,6;24,12.4,33
1626,Pi. 195,16,34.9,77,39,77,627,6.4,G5,0.289,-0.1,-0.09,0.016,5;20,12.4,30
1627,30 Oph,16,55.8,-4,4,-4,4215,5,K0,0.096,-0.049,-0.042,0.004,6;22,12.2,32
1628,Lal. 31693,17,17.9,48,17,48,2506,6.3,F2,0.19,0.188,0.207,0.007,7;24,12.5,31
1629,Lal. 32019,17,28.4,34,21,34,2989,6.5,G5,0.242,-0.238,-0.246,0.049,5;19,12.3,34
1630,Lal. 33085,17,56.8,29,34,29,3165,7.2,G5,0.213,-0.128,-0.14,0.037,4;17,12.9,31
1631,Phi Dra,18,22.2,71,17,71,889,4.2,A0p,0.038,-0.008,0.005,0.006,6;24,12,39
1632,Lal. 34528,18,31.4,34,22,34,3245,5.9,B5,0.001,0.001,0.001,-0.023,6;23,12.4,31
1633,Lal. 34852,18,41.5,23,29,23,3439,6.2,F2,0.09,0.004,0.019,0.019,4;16,12.3,31
1634,48 Dra,18,55.1,57,41,57,1922,5.7,K0,0.078,-0.037,-0.03,0.018,5;20,12.5,31
1635,Lal. 37161,19,29.4,49,57,49,3038,8.1,F8,0.308,-0.092,-0.084,0.023,4;17,12.4,35
1636,U Vul,19,32.3,20,7,20,4200,Var,G5,0.016,-0.008,-0.002,-0.018,6;24,12.4,39
1637,Lal. 37832,19,48.1,-3,22,-3,4742,5.6,F0p,0.018,0.009,0.019,0,5;20,12.1,32
1638,P Cyg,20,14.1,37,43,37,3871,4.9,B1p,0.01,-0.009,-0.003,0,5;19,11.9,37
1639,15 Del,20,44.9,12,10,12,4472,6,F5,0.111,0.053,0.037,0.029,4;16,12.4,36
1640,Pi. 391,20,50.4,54,8,53,2511,7.2,K0,0.179,0.02,0.019,0.004,4;16,12.8,34
1641,Epsilon Equ AB,20,54.1,3,55,,,5.3,F5,0.186,-0.115,-0.1,0.023,5;19,10.3,36
1642,Epsilon Equ C,20,54.1,3,55,,,7.4,F5,0.177,-0.118,-0.107,0.014,5;20,12.2,36
,Mean,,,,,3,4473,,,,,,0.019,4,,
1643,Pi. 114,21,19.5,23,51,23,4300,5.7,F0,0.133,0.131,0.13,0.025,5;21,12.3,34
1644,Lal. 42199,21,34.4,19,49,19,4754,5.8,F0,0.109,0.109,0.132,0.019,6;24,12.4,34
1645,Pi. 406,22,2.7,18,59,18,4930,5.8,F0,0.126,0.12,0.143,0.013,6;20,12.3,29
1646,Lal. 44541,22,40.9,29,56,29,4753,6.5,K0,0.441,-0.266,-0.249,0.02,5;18,12.3,33
1647,AG Chr. 3703,22,55.1,68,29,68,1345,8.4,K0,0.659,0.587,0.589,0.024,5;20,12.4,31
1648,Phi Aqr,23,9.1,-6,35,-6,6170,4.4,4.4 Ma,0.195,0.033,0.032,0.006,8;31,12.4,31
1649,11 And,23,14.8,47,5,47,4110,5.4,K0,0.058,0.015,0.014,0.016,4;16,12.4,31
1650,Grb. 4220,23,59.5,66,37,66,1679,5.8,K0,0.098,0.092,0.084,0.004,6;25,12.4,33
1651,Eta Psc,1,26.1,14,50,14,231,3.7,G5,0.027,0.026,0.026,0.017,5;21,12.3,38
1652,Delta Tri,2,10.9,33,46,33,395,5.1,G0,1.18,1.155,1.141,0.081,4;16,12.4,47
1653,37 Tau,3,58.8,21,49,21,585,4.5,K0,0.109,0.092,0.097,0.01,4;18,12.7,32
1654,Lal. 11196,5,50.3,13,55,13,1036,6.5,G5,0.609,0.389,0.371,0.038,4;18,12.3,37
1655,Mu Gem,6,16.9,22,34,22,1304,3.2,Ma,0.129,0.06,0.075,0.016,5;21,12.1,35
1656,Zeta Gem,6,58.2,20,43,20,1687,var,G0p,0.005,-0.004,-0.008,0.01,3;17,12.1,38
1657,Tau Gem,7,4.8,30,25,30,1439,4.5,K0,0.055,-0.026,-0.018,0.006,4;17,12.1,31
1658,Delta Cnc,8,39,18,31,18,2027,4.2,K0,0.236,-0.014,-0.015,0.024,6;24,12,33
1659,Iota Cnc,8,40.6,29,8,29,1824,4.2,G5,0.051,-0.02,-0.009,0.008,5;20,12.4,32
1660,7 Sex,9,47,2,55,3,2280,5.9,A0,0.203,-0.183,-0.168,0.004,5;21,12.3,37
1661,Lambda Boo,14,12.6,46,33,46,1949,4.3,A0,0.24,-0.184,-0.169,0.028,7;25,12.1,36
1662,Grb. 2152,14,45.2,38,13,38,2593,6,F0,0.28,-0.26,-0.25,0.014,7;24,12.1,31
1663,44 B00 A,15,0.5,48,3,48,2259,5.3,G0,0.409,-0.049,-0.438,0.095,7;23,12.4,32
1664,Grb. 2389,16,50.4,43,0,43,2659,6.7,G0,0.35,0.114,0.114,0.032,5;19,12.5,33
1665,Lal. 31132,16,59.8,47,12,47,2420,6.7,G0,0.85,0.123,0.127,0.058,4;16,12.7,37
1666,Lal. 31174,17,3.4,4,34,4,3336,7.2,G0,0.215,-0.058,-0.053,0.011,6;23,12.4,32
1667,72 Her,17,16.9,32,36,32,2896,5.4,G0,1.054,0.126,0.134,0.073,4;21,12.3,58
1668,Fed 2895,17,25.3,67,23,67,1014,6.3,K0,0.529,-0.529,-0.538,0.08,6;21,13.1,32
1669,Mu Her,17,42.5,27,47,27,2888,3.5,G5,0.812,-0.313,-0.348,0.131,6;28,12.3,52
1670,Xi Her,17,53.9,29,16,29,3156,3.8,K0,0.087,0.085,0.088,0.013,6;23,12.2,32
1671,35 Dra,17,53.9,76,59,76,667,5,F5,0.245,0.038,0.048,0.028,7;23,12.5,31
1672,Lal. 33439,18,6.3,38,27,38,3095,6.4,K0,0.567,-0.31,-0.316,0.085,4;18,12.6,42
1673,109 Her,18,19.4,21,43,21,3411,3.9,K0,0.316,0.194,0.19,0.026,6;26,12.3,47
1674,110 Her,18,41.4,20,27,20,3926,4.3,F5,0.338,-0.014,-0.011,0.044,4;20,12.3,51
1675,111 Her,18,42.6,18,4,18,3823,4.4,A3,0.129,0.067,0.067,0.018,5;21,12.2,37
1676,Grb. 2699,18,49.3,52,51,52,2294,5.6,G5,0.272,-0.047,-0.008,0.035,5;19,12.4,32
1677,Br. 2388,18,53.3,32,46,32,3267,5.2,G0,0.231,0.165,0.196,0.052,4;16,12.4,32
1678,Theta Lyr,19,12.9,37,57,37,3398,4.5,K0,0.005,-0.005,0.001,0.02,5;19,12.5,31
1679,Kappa Cyg,19,14.8,53,11,53,2216,4,K0,0.135,0.057,0.062,0.017,4;17,12.4,33
1680,Beta 1 Cyg,19,26.7,27,45,27,3410,3.2,cmp,0.009,-0.003,0.004,0.013,5;22,12.4,33
1681,Beta 2 Cyg,19,26.7,27,45,27,3411,5.4,B9,0.013,-0.013,0.003,0.016,5;21,12.4,32
,mean,,,,,,,,,,,,0.015,4,,
1682,Theta Cyg,19,33.8,49,59,49,3062,4.6,F5,0.252,-0.028,-0.006,0.044,4;17,12.5,34
1683,Beta Sge,19,36.6,17,15,17,4048,4.4,K0,0.37,0.004,0.007,0.003,4;20,12.4,49
1684,Beta Aql,19,50.4,6,9,6,4357,3.9,K0,0.485,0.039,0.042,0.068,5;21,12.3,38
1685,15 Sge,19,59.6,16,48,16,4121,5.9,G0,0.578,-0.402,-0.392,0.059,4;20,12.4,49
1686,27 Cyg,20,2.6,35,42,35,3959,5.5,K0,0.496,-0.232,-0.235,0.032,4;18,12.5,32
1687,24 Vul,20,12.5,24,22,24,4075,5.4,K0,0.021,0.011,0.013,0,4;15,12.6,34
1688,Grb. 3215,20,29.3,41,33,41,3799,7,G5,0.476,-0.164,-0.146,0.056,4;15,12.4,31
1689,56 Cyg,20,46.5,43,41,43,3739,5.1,A5,0.181,0.122,0.109,0.01,6;22,12.4,37
1690,Xi Cyg,21,1.3,43,32,43,3800,3.9,K5,0.004,0.003,0.006,0.036,5;19,12.3,32
1691,Alpha Equ,21,10.8,4,50,4,4635,4.1,F8p,0.102,0.054,0.052,0.018,5;18,12.6,34
1692,Br. 2792,21,21.7,46,17,46,3305,5.5,F0,0.198,0.192,0.187,0.038,4;15,12.2,32
1693,71 Cyg,21,25.8,46,6,45,3558,5.3,K0,0.111,0.045,0.046,0.018,3;13,12.3,31
1694,Mu Cep,21,40.4,58,19,58,2316,var,Ma,0.002,0,0.008,-0.003,4;16,12.4,35
1695,Iota Peg,22,2.4,24,51,24,4533,4,F5,0.296,0.295,0.272,0.072,5;18,12.2,33
1696,Epsilon Cep,22,11.4,56,33,56,2741,4.2,F0,0.447,0.444,0.462,0.029,5;19,12.3,31
1697,Lal. 43492,22,12.3,12,24,12,4797,6.9,G0,0.851,0.845,0.839,0.03,4;17,12.5,33
1698,Delta Cep,22,25.5,57,54,57,2548,var,G0,0.012,0.012,-0.022,0.007,6;25,12.1,36
1699,Tau Peg,23,15.7,23,12,22,4810,4.6,A5,0.029,0.028,0.026,0.027,7;28,12.2,35
1700,27 Psc,23,53.6,-4,7,-4,5996,5.1,K0,0.086,-0.052,-0.068,0.025,4;17,12.5,35
1701,23 And,0,8.3,4,29,40,29,5.7,A5,0.196,0.124,-0.125,0.022,7;22,12.3,31
1702,41 And,1,2.3,43,25,43,234,5.2,A2,0.175,0.168,0.163,0.026,6;22,12.2,30
1703,Mayer 136,3,47.4,17,2,16,523,6,F0,0.151,0.147,0.137,0.028,5;21,12,32
1704,59 Per,4,35.8,43,10,43,1043,5.2,A0,0.069,0.046,0.044,0.014,5;21,12.2,30
1705,Phi Aur,5,21,34,23,34,1048,5.3,K0,0.056,0.006,-0.005,0.009,5;21,12.3,30
1706,W Gem,6,29.2,15,25,15,1246,Var,G5,0.012,0.012,0.002,0.01,5;22,12.3,32
1707,6 Hya,8,35.3,-12,7,-11,2420,5.2,K2,0.083,-0.083,-0.075,0.017,5;20,12,31
1708,Br 1306,9,13.8,51,41,51,1495,6.1,F2,0.142,-0.037,-0.027,0.034,6;25,12.5,32
1709,Lal 22632,11,57.4,43,39,43,2182,6.8,K0,0.626,-0.351,-0.337,0.011,6;24,12.6,32
1710,Lal 22810,12,4.6,40,49,41,2276,7.4,K0,0.323,-0.315,-0.303,0.032,8;29,11.8,31
1711,Lal 24587,13,9.2,40,41,40,2633,5,K0,0.041,-0.041,-0.065,0.002,6;21,12.2,31
1712,Grb 2116,14,25.7,42,15,42,2508,6.4,G0,0.262,0.157,0.151,0.031,7;24,12.4,32
1713,Chi Ser,15,37.1,13,10,13,2982,5.3,A0p,0.047,0.04,0.044,0.027,6;21,11.9,30
1714,20 Oph,16,44.3,-10,36,-10,4394,4.7,F5,0.135,0.089,0.107,0.011,8;28,12.7,30
1715,AOe 17415,17,37,68,26,68,946,9.1,M3,1.334,-0.376,-0.324,0.218,6;21,12.3,31
1716,Zeta Sct,18,18.2,-8,59,-9,4712,4.8,G5,0.064,0.046,0.051,0.01,6;21,12.2,29
1717,Bon 12845,19,15.7,41,28,41,3306,8.8,K1,0.66,0.056,0.121,0.036,6;22,12.7,32
1718,70 Aql,20,31.5,-2,54,-3,4961,5.2,K5,0.013,0.01,0.017,0.015,6;24,12.4,31
1719,Mu Cyg,21,39.7,28,17,28,4169,4.4,F5,0.374,0.285,0.294,0.044,5;17,12.3,31
1720,40 Peg,22,34,19,0,18,5014,5.8,G5,0.115,-0.045,-0.054,0.01,7;27,12.2,31
1721,41 H Cep,23,43.1,67,15,67,1562,5,A0,0.012,0.012,0.016,0.005,7;25,12,31
1722,12 Cas,0,19.3,61,17,61,69,5.4,B9,0.012,0.011,0.011,0.012,7;25,12.4,34
1723,Pi Cas,0,37.9,46,29,46,146,5,A5,0.041,-0.024,-0.021,0.018,5;20,12.2,31
1724,40 Cas,1,30.5,72,32,72,86,5.5,K0,0.014,-0.008,-0.019,0.016,6;23,12.1,32
1725,AOe 1867,1,36.8,63,20,63,229,8.2,K2,0.702,-0.395,-0.394,0.077,5;18,11.9,38
1726,Lal 6436,3,24.7,19,46,19,547,7.9,G5,0.17,0.161,0.15,0.033,5;25,12.3,36
1727,19 Cam,5,27.6,64,5,64,536,6,B9,0.068,0.008,0.002,0.006,5;24,12.4,30
