No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
840,Epsilon Aqil,18,55.1,14,56,18h59m32.6854s,+15d04m15.7679s,14,3736.0,4.2,K0,0.098,-0.06,-0.058,0.024,7; 28,10.8,29
841,21 Aqil,19,8.7,2,7,19h13m02.492s,+02d17m07.1565s,2,3824.0,5.1,B8,0.007,0,0.006,0.002,6; 23,10.8,27
842,53 Drac,19,9.8,56,41,19h10m52.844s,+56d51m02.3315s,56,2209.0,5.2,K0,0.058,0.043,0.038,0.007,6; 25,10.2,30
843,26 Aqil,19,15.2,-5,36,19h20m19.5397s,-05d24m53.6129s,-5,4936.0,5.1,G5,0.113,0.106,0.113,0.026,5; 21,10.4,30
844,36 Aqil,19,25.4,-3,0,19h30m13.6598s,-02d47m32.1787s,-3,4612.0,5.2,Ma,0.018,0.012,0.02,0.025,6; 25,10.4,29
845,Lal 37728,19,43.9,27,37,19h47m04.3591s,+27d51m46.9154s,27,3516.0,6.8,G5,0.23,-0.04,-0.007,0.023,5; 19,11,27
846,68 Drac,20,9.9,61,47,20h10m35.8898s,+62d04m55.6336s,61,1983.0,5.7,F5,0.158,0.137,0.119,0.024,5; 18,10,27
847,T Vulp,20,47.2,27,53,20h51m14.6585s,+28d15m28.6279s,27,3890.0,Var,F8p,0.019,0.011,0.009,0.0,4; 18,11.5,30
848,Mu Aqar,20,47.3,-9,22,20h52m23.3273s,-08d59m27.6755s,-9,5598.0,4.8,A3,0.054,0.04,0.027,0.011,5; 21,10.1,29
849,Beta Ceph,21,27.4,70,7,21h28m16.6802s,+70d33m17.7581s,69,1173.0,3.3,B1,0.013,0.013,0.012,0.003,6; 24,10.3,33
850,Xi Aqar,21,32.4,-8,19,21h37m18.6457s,-07d52m05.1842s,-8,5701.0,4.8,A5,0.117,0.114,0.099,-0.005,5; 20,10.2,28
851,9 Pegs,21,39.8,16,53,21h43m43.9893s,+17d20m28.8994s,16,4582.0,4.5,G5,0.033,0.021,0.003,-0.001,5; 20,10.3,28
852,Lamda Ceph,22,8.1,58,55,22h11m23.7613s,+59d24m36.8883s,58,2402.0,5.2,Od,0.027,0.026,-0.009,0.001,4; 17,10.5,29
853,Epsilon 2923,22,30.5,69,51,22h32m48.1409s,+70d21m56.6795s,69,1263.0,6.3,A0,0.064,0.06,0.041,-0.011,7; 27,10.3,27
854,Theta Pisc,23,22.9,5,50,23h27m05.1834s,+06d23m00.6413s,5,5173.0,4.4,G5,0.136,-0.128,-0.144,0.015,5; 18,12.8,29
855,15 Andr,23,29.7,39,41,23h33m53.4729s,+40d14m09.0442s,39,5114.0,5.5,A0,0.043,0.01,-0.03,0.008,5; 19,10.5,28
856,Lal 47226,0,0.2,8,14,00h05m07.6109s,+08d47m24.4539s,7,5128.0,8.2,K0,0.272,0.265,0.261,-0.006,5; 21,11.7,31
857,Grb 410,1,52.9,75,1,02h01m14.8639s,+75d30m10.6563s,74,91.0,6.6,A0,0.027,0.023,0.017,0.004,5; 23,12,30
858,Comp Gamma Ceti,2,37.3,2,57,02h42m12.1251s,+03d22m37.8287s,2,418.0,10.2,Mb,0.22,,-0.154,0.039,5; 24,10.8,30
859,Gamma Ceti,2,38.1,2,49,02h43m11.9475s,+03d14m32.2119s,2,422.0,3.6,A2,0.209,-0.144,-0.156,0.045,5; 23,10.8,30
860,63 Arie,3,17.0,20,23,03h22m45.7739s,+20d44m29.3035s,20,551.0,5.2,K0,0.048,-0.044,-0.047,0.004,5;21,11,27
861,88 Taur,4,30.2,9,57,04h35m29.3835s,+10d09m24.8691s,9,607.0,4.4,A3,0.069,0.047,0.016,0.027,7; 32,10.5,28
862,90 Taur,4,32.6,12,19,04h37m34.8027s,+12d31m08.2323s,12,618.0,4.3,A3,0.108,0.107,0.077,0.015,5; 22,10.9,27
863,29 Orio,5,19.1,-7,54,05h23m49.2145s,-07d48m24.0803s,-7,1064.0,4.2,K0,0.041,-0.015,-0.024,0.003,7; 32,11.2,28
864,1 Lync,6,8.7,61,33,06h17m13.5064s,+61d31m09.7112s,61,869.0,5.3,Ma,0.005,0.004,-0.012,0.002,5; 21,11,29
865,66 Auri,7,17.2,40,52,07h23m55.5937s,+40d40m30.5564s,40,1852.0,5.3,K0,0.023,0.002,0.001,0.002,3; 14,10.9,26
866,Eta C Min,7,22.7,7,9,07h27m22.7974s,+06d56m55.9666s,7,1729.0,5.3,A5,0.044,0 . 000,-0.001,0.008,4; 16,10.7,26
867,Lal 16904,8,33.1,56,2,08h40m40.0852s,+55d40m52.7738s,56,1322.0,8.1,G0,0.47,-0.284,-0.263,0.005,7; 27,11.8,26
868,Lal 17081,8,36.2,34,33,08h42m17.6277s,+34d11m37.1791s,34,1885.0,7.4,F8,0.277,0.023,0.036,0.022,3; 15,11.7,29
869,75 Canc,9,2.9,27,3,09h07m54.1774s,+26d38m52.2348s,27,1715.0,6,G5,0.402,-0.114,-0.129,0.039,5; 21,12.5,29
870,Beta U Maj,10,55.8,56,55,11h01m01.6355s,+56d22m48.2835s,57,1302.0,2.4,A0,0.089,0.084,0.099,0.043,6; 24,9.9,30
871,Gamma U Maj,11,48.6,54,15,11h53m14.9s,+53d41m37.0966s,54,1475.0,2.5,A0,0.095,0.095,0.11,0.023,7; 26,10.8,23
872,12 Coma,12,17.5,26,24,12h22m01.8127s,+25d50m42.685s,26,2337.0,4.8,F5,0.013,-0.005,0.026,0.006,"5 , 20",10.8,29
873,Alpha 2  C Ven,12,51.4,38,51,12h55m42.7909s,+38d18m29.5045s,39,2580.0,2.9,A0p,0.233,-0.229,-0.243,0.022,6; 25,10.5,39
874,41 Coma,13,2.4,28,10,13h06m47.7651s,+27d37m54.0414s,28,2185.0,4.9,K5,0.088,0.028,0.074,-0.003,7; 26,10.9,30
875,Zeta Virg,13,29.6,0,5,13h34m07.5441s,-00d25m46.7095s,0,3076.0,3.4,A2,0.285,-0.283,-0.302,0.035,5; 19,11,28
876,109 Virg,14,41.2,2,19,14h46m04.1701s,+01d53m44.4672s,2,2862.0,3.8,A0,0.117,-0.111,-0.078,0.03,7; 26,10.1,30
877,Epsilon Libr,15,18.8,-9,58,15h23m25.7535s,-10d19m23.714s,-9,4138.0,5.1,F0,0.176,-0.077,-0.085,0.025,5; 20,10.2,30
878,Zeta 1 Cor B,15,35.6,36,58,15h38m46.2666s,+36d38m28.0194s,37,2665.0,6,B8,,,-0.012,0.029,7; 28,12.7,30
879,Zeta 2 Cor B,15,35.6,36,58,15h38m46.2666s,+36d38m28.0194s,,,5.1,B8,0.01,-0.007,-0.016,-0.001,6; 21,12.7,30
,Mean,,,,,0,0,,,,,,,,0.013,5,,
880,Eta U Min,16,20.4,75,59,16h17m07.8559s,+75d44m41.3567s,76,596.0,5,F0,0.264,-0.061,-0.047,0.034,5; 20,10.3,28
881,Omega Herc,16,20.8,14,16,16h24m36.7063s,+14d02m11.1637s,14,3049.0,4.5,A0p,0.08,0.048,0.031,0.03,5; 22,9.9,27
882,69 Herc,17,14.2,37,24,17h17m27.3055s,+37d17m35.1852s,37,2864.0,4.8,A2,0.064,-0.036,-0.049,0.009,5; 21,11.2,28
883,Nu Ophi,17,53.5,-9,46,17h58m30.399s,-09d46m37.1204s,-9,4632.0,3.5,K0,0.118,-0.009,0.006,0.016,5;21,11.2,29
884,59 Serp,18,22.1,0,8,18h27m07.0087s,+00d11m34.4158s,0,3936.0,5.3,A0,0.011,-0.009,-0.005,0.011,5; 21,10.9,30
885,Grb 2719,18,48.3,73,58,18h45m30.2789s,+74d04m46.1755s,73,835.0,5.4,G5,0.082,0.013,0.005,0.015,6; 24,10.4,30
886,Lal 35584,18,57.2,26,9,19h01m03.7389s,+26d17m30.6597s,26,3429.0,5.5,B3,0.008,0,-0.002,0.004,5; 20,10.6,28
887,Lambda Aqil,19,0.9,-5,2,19h05m18.5501s,-04d52m58.7594s,-5,4876.0,3.6,B9,0.094,-0.022,0.013,0.021,5;22,11,37
888,Tau Drac,19,17.5,73,10,19h15m07.3703s,+73d20m53.2366s,73,857.0,4.6,K0,0.173,-0.134,-0.14,0.011,5; 22,11.4,32
889,Lal 37508,19,37.8,45,17,19h40m04.2045s,+45d30m55.5755s,45,2949.0,5,F2,0.144,0.1,0.085,0.015,3; 14,10.6,29
890,Brad 2541,19,50.3,24,3,19h54m14.4196s,+24d18m42.0478s,23,3829.0,5.5,A0,0.028,0.026,0.003,0.008,4; 15,10,27
891,A G Camb,,,,,0,0,,,,,,,,,,,
,10646,19,53.2,29,33,19h57m00.6017s,+29d49m04.2466s,29,3820.0,8.2,G5,0.26,0.078,0.083,0.05,5; 18,10,29
892,Lal 38430,20,0.7,25,47,20h04m11.4268s,+26d03m58.1455s,25,4090.0,7.8,G5,0.4,0,0.052,0.026,6; 21,11.1,29
893,25 Vulp,20,17.8,24,8,20h21m17.849s,+24d27m03.6985s,23,3986.0,5.4,B8,0.016,-0.008,-0.009,-0.013,4; 16,11.1,27
894,Mayer 868,20,26.9,-10,12,20h31m26.2224s,-09d51m48.5769s,-10,5423.0,5.8,G5,0.319,0.306,0.311,0.019,7; 24,11.2,31
895,4 Ceph,20,41.9,66,18,20h42m13.5567s,+66d39m39.3639s,66,1318.0,5.6,A5,0.05,0.026,0.035,0.027,6; 21,10.7,28
896,Grb 3432,21,16.0,49,5,21h19m26.357s,+49d30m22.7301s,48,3345.0,5.6,B5,0.018,0.017,0.02,-0.004,5; 20,10.8,30
897,Beta Equl,21,17.9,6,23,21h21m57.4268s,+06d48m32.6806s,6,4811.0,5.1,A0,0.057,0.057,0.043,0.01,6; 22,10.7,30
898,75 Cygn,21,36.3,42,49,21h39m54.8916s,+43d16m11.7658s,42,4177.0,5.4,K5,0.056,0.055,0.054,0.0,6; 23,9.6,29
899,11 Pegs,21,42.2,2,13,21h47m04.2035s,+02d40m44.5004s,2,4414.0,5.5,A0,0.017,0.016,-0.009,-0.009,6; 22,10.5,31
900,Lal 43090,22,1.4,1,22,22h06m05.5596s,+01d51m11.3315s,1,4583.0,7.5,F8,0.372,0.309,0.334,0.012,5; 17,11.8,29
901,Sigma Aqar,22,25.4,-11,11,22h30m17.5046s,-10d40m15.9763s,-11,5850.0,4.9,A0,0.032,0.003,-0.03,0.006,6; 20,9.9,27
902,31 Ceph,22,33.3,73,7,22h35m23.7055s,+73d38m05.7716s,72,1049.0,5.2,F0,0.173,0.172,0.161,-0.007,6; 21,11.1,27
903,13 Lacr,22,39.6,41,18,22h43m27.4588s,+41d49m27.3486s,41,4594.0,5.2,K0,0.007,-0.006,-0.033,0.004,5; 18,10,27
904,66 Pegs,23,18.0,11,46,23h23m02.5011s,+12d18m54.9157s,11,4993.0,5.3,K0,0.034,0.027,0.013,-0.006,5; 18,10.5,27
905,67 Pegs,23,20.0,31,50,23h24m53.7089s,+32d22m57.7346s,31,4904.0,5.5,A0,0.009,0.008,0.015,-0.003,5; 18,10.8,29
906,Lal 158,0,9.3,-8,20,00h14m06.4337s,-07d46m37.9681s,-8,26.0,5.4,Ma,0.063,0.062,0.062,0.007,7; 26,11.1,29
907,Lal 1462,0,48.1,42,49,00h53m34.8655s,+43d21m35.5517s,42,195.0,7.2,G0,0.319,0.299,0.285,0.02,6; 24,11.6,27
908,Eta Ceti,1,3.6,-10,43,01h08m00.4378s,-10d10m56.7459s,-10,240.0,3.6,K0,0.25,0.211,0.216,0.029,5; 21,11.4,29
909,Eta Erid,2,51.5,-9,18,02h55m52.6942s,-08d53m42.5662s,-9,553.0,4,K0,0.233,0.084,0.083,0.019,6; 27,11.4,29
910,94 Ceti,3,7.7,-1,34,03h12m05.0209s,-01d11m22.7842s,-1,457.0,5.1,F8,0.213,0.205,0.197,0.06,4; 19,12,27
911,Nu Auri,5,44.2,37,17,05h50m49.0348s,+37d18m50.0565s,37,1336.0,5,Ma,0.053,0.037,0.033,-0.01,4; 19,10.7,23
912,Mu Ori,5,56.9,9,39,06h01m30.1137s,+09d39m10.9032s,9,1064.0,4.2,A2,0.036,0.021,0.024,0.019,4; 18,10,23
913,Phi Boot,15,34.2,40,41,15h37m35.043s,+40d21m20.2715s,40,2907.0,5.4,G5,0.082,0.066,0.029,0.015,6; 26,10.4,29
914,Lal 909,0,31.3,43,56,00h36m26.4466s,+44d29m02.9186s,43,113.0,5.4,K5,0.032,-0.021,-0.037,0.0,4; 15,11.6,27
915,89 Pisc,1,12.6,3,5,01h17m09.8859s,+03d36m39.3623s,2,185.0,5.3,A2,0.054,-0.048,-0.06,0.004,4; 19,11.3,31
916,64 Andr,2,17.8,49,33,02h23m38.2033s,+50d00m20.4573s,49,649.0,5.5,G5,0.049,0.025,0.033,-0.004,5; 23,11.5,28
917,36 H Cass,2,28.5,72,23,02h37m31.0868s,+72d49m15.5978s,72,140.0,5.3,K0,0.029,-0.023,-0.021,0.008,4; 19,11.6,29
918,Iota Pers,3,1.8,49,14,03h07m59.8881s,+49d37m09.3562s,49,857.0,4.2,G0,1.269,1.267,1.262,0.077,7; 31,11.2,32
919,Delta Arie,3,5.9,19,21,03h10m42.0539s,+19d43m48.0672s,19,477.0,4.5,K0,0.154,0.154,0.132,0.021,4; 21,11.5,30
920,W B 4h 580,4,29.4,-9,11,04h33m47.6091s,-08d58m24.1966s,-9,930.0,5.5,K2,0.119,-26,-0.05,0.008,4; 16,11,29
921,11 Orio,4,58.9,15,16,05h03m42.8276s,+15d24m31.5632s,15,732.0,4.6,B9,0.043,0.021,0.008,0.009,5; 23,10.6,28
922,19 H Caml,5,6.1,79,7,05h22m32.2956s,+79d13m37.4467s,79,169.0,5.2,F8,0.147,0.083,-0.094,0.048,4; 17,11.7,29
923,21 Orio,5,14.0,2,30,05h19m13.2379s,+02d36m17.2317s,2,916.0,5.4,F5,0.058,-0.012,-0.036,0.017,4; 16,11.1,26
924,77 Orio,6,22.1,0,22,06h27m08.1683s,+00d18m25.5001s,0,1426.0,5.3,K0,0.012,0.005,0.006,0.006,4; 18,10.5,27
925,57 Gemi,7,17.4,25,15,07h23m06.3542s,+25d03m33.9313s,25,1660.0,5.1,G5,0.071,-0.067,-0.07,0.019,4; 18,10.4,26
926,26 Mono,7,36.5,-9,19,07h40m47.2s,-09d32m54.4405s,-9,2172.0,4.1,K0,0.076,-0.072,-0.074,0.018,4; 16,10.3,29
927,2 U Maj,8,25.7,65,29,08h33m58.4469s,+65d08m43.1853s,65,638.0,5.4,A0,0.082,-0.053,-0.048,0.011,6; 23,11.4,27
928,Pi 167,8,42.2,-1,32,08h47m04.3707s,-01d53m58.6823s,-1,2130.0,5.2,A0,0.043,-0.043,-0.016,0.008,4; 19,10,30
929,Lal 19529,9,54.4,25,2,09h59m38.991s,+24d33m18.019s,25,2191.0,7.9,G5,0.242,-0.24,-0.24,0.027,5; 20,12.5,29
930,Lal 21081,10,54.0,36,38,10h59m34.1855s,+36d05m51.1855s,36,2139.0,6.2,Ma,0.096,0.079,0.076,0.01,6; 23,11.1,28
931,Grb 1830,11,47.2,38,26,11h52m12.1482s,+37d52m37.4824s,38,2285.0,6.5,G5,7.074,4.006,4.004,0.108,5; 19,12.6,27
932,6 C Ven,12,20.9,39,34,12h24m56.6815s,+39d00m45.0512s,39,2521.0,5.2,K0,0.082,-0.073,-0.065,0.024,4; 17,10.7,31
933,31 Coma,12,46.8,28,5,12h50m52.598s,+27d32m20.0296s,28,2156.0,5.1,G0,0.027,-0.013,0.036,0.005,7; 25,11.6,26
934,78 Virg,13,29.1,4,10,13h34m03.835s,+03d39m13.1853s,4,2764.0,4.9,A2p,0.054,0.045,0.049,0.006,7; 23,10.7,27
935,24 C Ven,13,30.4,49,32,13h34m06.6917s,+49d01m14.9672s,49,2227.0,4.6,A3,0.114,-0.113,-0.117,0.023,4; 14,10.7,28
936,Phi Virg,14,23.0,-1,47,14h28m10.1665s,-02d13m53.5445s,-1,2957.0,5,K0,0.131,-0.131,-0.149,0.044,6; 22,11.7,28
937,Chi Boot,15,10.3,29,32,15h14m11.5257s,+29d09m39.3065s,29,2640.0,5.3,A0,0.076,-0.072,-0.054,0.018,4; 17,10.5,28
938,Chi Serp,15,44.2,18,27,15h48m30.5117s,+18d08m35.4648s,18,3074.0,4.3,K5,0.108,-0.042,-0.055,0.024,7; 25,10.7,29
939,Paris 20211,16,4.6,-3,12,16h09m14.2351s,-03d27m51.7306s,-3,3884.0,5.4,K0,0.014,-0.003,-0.028,0.004,6; 23,11,28
940,Nu Herc,17,54.7,30,12,17h57m49.6346s,+30d11m24.2813s,30,3093.0,4.5,F0,0.006,0.005,-0.012,-0.002,4; 17,10.8,28
941,Brad 2329,18,29.5,-11,3,18h34m33.1422s,-10d58m22.9312s,-11,4681.0,5.2,G5,0.056,0.055,0.053,0.007,6; 23,11,30
