No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1108,Lal 39934,20,34.9,38,17,20h37m44.8618s,+38d38m00.6938s,38,4172.0,6.8,G0,0.259,0.17,0.189,0.045,6; 23,10.1,30
1109,Grb 3500,21,31.0,51,15,21h34m26.8002s,+51d41m44.7564s,51,3091.0,6,B9,0.01,0.01,0.005,-0.009,5; 18,10.7,30
1110,Grb 3847,22,34.7,56,17,22h37m54.8779s,+56d48m11.3187s,56,2821.0,5.5,Mb,0.058,0.053,0.06,-0.014,6; 22,11.1,31
1111,Sigma 3046Bt,,,,,0,0,,,8,G5,,,-0.302,0.008,7; 25,10.4,31
1112,Sigma 3046Ft,,,,,0,0,,,8.5,G5,,,-0.306,0.031,6; 23,10.4,30
,M-Lal 46916,23,51.3,-10,3,23h56m08.0327s,-09d29m36.2094s,-10,6203.0,,,0.281,-0.274,,0.02,5,,
1113,Lal 4718,23,57.7,1,35,00h02m07.3787s,+02d08m24.576s,1,4820.0,7.7,G0,,,0.034,0.015,7; 26,11.8,31
1114,Brad 3212,0,1.4,28,28,00h06m08.5299s,+29d01m24.3359s,28,4704.0,6.2,K0,0.417,0.376,0.36,0.071,5; 22,12.4,35
1115,Nu Andr,1,30.9,40,54,01h35m53.4731s,+41d24m41.9741s,40,332.0,4.2,G0,0.417,-0.175,-0.185,0.061,4; 10,10.7,14
1116,Lal 3137 A,1,36.8,-11,49,01h40m55.9968s,-11d18m37.613s,-12,315.0,5.8,F5,0.409,0.041,0.048,0.027,7; 29,10.1,26
1117,Lal 3137 B,1,36.8,-11,49,01h40m55.9968s,-11d18m37.613s,-12,315.0,7.5,F5,0.409,0.041,0.038,0.025,8; 31,10.1,24
1118,30 Arie B,2,31.2,24,13,02h36m45.1604s,+24d39m09.4661s,24,376.0,7.4,F5,0.145,0.145,0.141,0.009,4;19,11.2,30
1119,30 Arie A,2,31.2,24,13,02h36m45.1604s,+24d39m09.4661s,24,375.0,6.6,F5,0.138,0.138,0.13,0.011,5;21,11.2,30
1120,Beta 306,2,38.0,25,13,02h43m48.4221s,+25d38m30.498s,25,441.0,6.4,A2,0.003,-0.009,-0.003,-0.004,6;20,11,20
1121,Rho Arie,2,50.8,17,37,02h55m36.7947s,+18d01m21.2272s,17,458.0,5.6,F5,0.347,0.277,0.24,0.032,5;19,10.2,20
1122,47 Arie,2,52.4,20,16,02h57m41.8567s,+20d40m08.9417s,20,480.0,5.8,F0,0.234,0.232,0.175,0.027,5;17,11.9,23
1123,Algol,3,1.7,40,34,03h07m30.338s,+40d57m10.9027s,40,673.0,Var,B8,0.006,0.006,-0.01,0.035,8;35,10.4,33
1124,Alpha Pers,3,17.2,49,30,03h24m08.2625s,+49d51m24.705s,49,917.0,1.9,F5,0.035,0.025,0.023,0.004,4;22,9.8,34
1125,34 Pers,3,22.2,49,10,03h29m08.9763s,+49d30m50.7897s,49,645.0,4.7,B8,0.039,0.027,0.007,0.009,5;15,10.1,13
1126,WB 811,3,44.4,1,4,03h49m09.7638s,+01d22m22.1455s,0,659.0,8.6,G5,0.657,0.252,0.239,0.019,5;22,10.7,29
1127,Grb 745,3,38.4,75,53,03h50m33.4226s,+76d11m39.0613s,75,154.0,8.3,K5,0.627,0.351,0.332,0.043,5;18,11.2,21
1128,46 Taur,3,8.2,7,28,03h13m20.6641s,+07d50m29.9235s,7,617.0,5.4,F0,0.009,-0.001,-0.012,0.016,7;31,10.9,28
1129,Alpha Taur,4,30.2,16,18,04h35m43.9187s,+16d30m23.8858s,16,629.0,1.1,K5,0.202,0.069,0.077,0.037,5;28,10.5,39
1130,Sigma 612 B,4,48.8,7,13,04h53m23.729s,+07d22m56.949s,7,754.0,7.9,K0,0.3,0.226,0.242,0.028,3;17,11,33
1131,Sigma 612 A,4,48.8,7,13,04h53m23.729s,+07d22m56.949s,7,754.0,7.6,K0,0.323,0.253,0.245,0.03,3;14,11,33
1132,WB 1189,4,55.9,-5,52,04h59m54.3337s,-05d42m59.7058s,-5,1123.0,6.5,K0,1.223,0.557,0.546,0.1,4;14,10.6,22
1133,Capella,5,9.3,45,54,05h16m22.6346s,+46d00m50.8688s,45,1077.0,0.2,G0,0.435,0.084,0.074,0.067,4;20,11.5,35
1134,Capella H,5,10.0,45,44,05h17m21.965s,+45d50m42.3516s,,,10.5,M1,0.435,0.084,0.063,0.079,3;16,11.5,35
1135,Lal 9913,5,13.3,44,2,05h20m14.5173s,+44d08m17.1442s,19,893.0,6.2,K0,0.045,0.035,-0.017,0.009,6;19,11,17
1136,Beta Auri,5,52.2,11,56,05h57m35.6386s,+11d56m45.4834s,44,1328.0,2.1,A0p,0.051,-0.051,-0.062,0.036,4;23,9.5,44
1137,Lal 12494,6,26.2,11,37,06h31m34.5592s,+11d32m48.84s,11,1209.0,5.1,A2,0.15,0.015,-0.018,0.008,5;20,11.1,26
1138,23 H Caml,6,29.2,79,40,06h46m07.3577s,+79d34m32.7977s,79,212.0,5.6,F8,0.616,-0.084,-0.069,0.047,4;18,11.7,24
1139,Sirius,6,40.7,-16,35,06h44m28.1361s,-16d41m07.3466s,-16,1591.0,-1.6,A0,1.324,-0.537,-0.471,0.367,4;20,10.4,37
1140,Lal 13427,6,54.0,48,32,07h01m33.4788s,+48d23m39.9332s,48,1469.0,8.2,K0,0.709,0.553,0.551,0.035,6;22,11.3,20
1141,Lal 13972,7,7.8,25,11,07h13m07.0848s,+25d00m56.6922s,25,1613.0,8.4,K0,0.426,-0.414,-0.402,0.027,6;23,10.5,21
1142,Procyon,7,34.1,5,29,07h39m18.8469s,+05d15m19.3918s,5,1739.0,0.5,F5,1.25,-0.706,-0.705,0.293,6;30,10.3,34
1143,Pollux,7,39.2,28,16,07h45m11.9055s,+28d01m36.1954s,28,1463.0,1.2,K0,0.625,-0.623,-0.634,0.094,5;25,10.4,39
1144,Lal 15333,7,48.3,34,53,07h54m29.3974s,+34d37m24.7136s,34,1705.0,7.7,G0,0.218,-0.127,-0.114,0.02,6;16,10.1,15
1145,WB 181,8,12.0,30,56,08h18m13.5476s,+30d37m25.4669s,31,1781.0,8.5,F5,0.874,-0.291,-0.295,0.043,5;18,11.1,20
1146,Grb 1450,8,26.4,38,22,08h32m31.0191s,+38d01m44.812s,38,1920.0,6,K5,0.194,-0.095,-0.102,0.01,6;20,11.5,21
1147,Lal 18522,9,19.5,30,56,09h24m57.9007s,+30d30m13.293s,31,1978.0,7.8,G0,0.198,0.075,0.072,0.004,6;20,10,23
1148,Epsilon Leon,9,40.2,24,14,09h45m40.9128s,+23d46m23.8008s,24,2129.0,3.1,G0p,0.015,-0.044,-0.02,-0.002,7;20,10.7,20
1149,15 L Min,9,42.1,46,29,09h48m24.8442s,+46d01m12.2248s,46,1551.0,5.2,G0,0.245,0.224,0.228,0.062,5;21,11.2,28
1150,39 Leon,10,11.7,23,36,10h16m33.1803s,+23d06m06.8926s,23,2207.0,5.8,F5,0.422,-0.408,-0.407,0.056,5;18,10.5,28
1151,Mu U Maj,10,16.4,42,0,10h21m58.2697s,+41d29m46.9865s,42,2115.0,3.2,K5,0.086,-0.082,-0.082,0.029,7;23,10,22
1152,Grb 1646,10,21.9,49,19,10h27m10.0014s,+48d48m28.413s,49,1961.0,6.5,G0,0.896,0.081,0.096,0.05,4;17,11.4,32
1153,38 L Min,10,33.4,38,26,10h38m45.0906s,+37d54m48.942s,38,2166.0,5.8,G5p,0.224,-0.219,-0.216,0.034,5;19,11.4,30
1154,46 L Min,10,47.7,34,45,10h52m35.0687s,+34d13m08.7368s,34,2172.0,3.9,K0,0.3,0.09,0.118,0.007,6;17,11.2,17
1155,51 L Min,10,59.9,25,45,11h04m23.4143s,+25d12m39.9336s,25,2335.0,7.5,G0,0.408,-0.401,-0.388,0.008,4;15,11.7,30
1156,Delta Leon,11,8.8,21,4,11h13m18.23s,+20d31m21.7052s,21,2298.0,2.6,A3,0.201,0.146,0.149,0.026,5;25,11,47
1157,Chi U Maj,11,40.8,48,18,11h45m18.6162s,+47d44m41.1565s,48,1966.0,3.8,K0,0.139,-0.138,-0.08,0.008,7;19,10.8,18
1158,Delta U Maj,12,10.5,57,35,12h14m56.0641s,+57d01m38.3866s,57,1363.0,3.4,A2,0.106,0.106,0.139,0.046,5;24,11,39
1159,7 C Ven,12,25.3,52,5,12h29m47.1303s,+51d31m49.7238s,52,1631.0,6.2,F8,0.289,-0.289,-0.279,0.033,6;20,12.1,20
1160,Mizar A,13,19.9,55,27,13h23m00.8549s,+54d55m39.3427s,55,1598.0,2.4,A2p,0.127,0.124,0.142,0.037,6;19,10.6,21
1161,Lal 25087,13,29.2,0,12,13h34m07.4383s,-00d18m46.7125s,0,3075.0,7.4,K0,0.24,-0.24,-0.225,0.011,6;24,11.1,35
1162,84 Virg,13,38.0,4,3,13h43m03.6191s,+03d32m45.2052s,4,2775.0,5.6,K0,0.303,-0.293,-0.248,0.005,4;19,11.3,39
1163,Eta Boot,13,49.9,18,54,13h53m46.3134s,+18d24m27.5528s,19,2725.0,2.8,G0,0.37,-0.063,-0.06,0.087,7;30,11,39
1164,Alpha Drac,14,1.7,64,51,14h03m44.0846s,+64d22m14.413s,65,975.0,3.6,A0p,0.055,-0.053,0.021,0.006,5;25,11.1,41
1165,Alpha Boot,14,11.1,19,42,14h15m41.4264s,+19d14m05.2626s,19,2777.0,0.2,K0,2.284,-1.098,-1.097,0.086,6;26,11.6,42
1166,Lal 26196,14,14.4,-4,41,14h19m13.8374s,-05d08m38.8482s,-4,3665.0,7.6,K0,0.675,-0.115,-0.623,0.044,6;20,11.8,24
1167,Gamma Boot,14,28.1,38,45,14h32m02.598s,+38d18m29.7796s,38,2565.0,3,F0,0.186,0.071,-0.109,0.009,5;24,11.5,42
1168,Grb 2146,14,39.6,64,41,14h41m07.4696s,+64d15m24.7292s,61,1451.0,6.2,F2,0.08,0.071,0.103,0.014,4;18,10.8,33
1169,Pi 235,14,53.1,50,2,14h56m18.0795s,+49d37m49.8509s,50,2126.0,5.7,F5,0.255,0.108,0.109,0.021,5;24,11.1,37
1170,Lal 27744,15,8.8,0,58,15h13m06.0442s,+00d35m29.2891s,0,2944.0,6.7,K0,1.376,-1.284,-1.214,0.056,4;17,10.9,37
1171,6 Serp,15,15.9,1,5,15h20m05.7896s,+00d43m15.1383s,1,3067.0,5.5,K0,0.121,-0.046,-0.041,-0.001,6;15,10.7,15
1172,53 Boot,15,28.2,41,14,15h31m35.0785s,+40d53m38.2531s,41,2611.0,5,A2,0.026,-0.02,0.0,0.012,6;20,11.4,23
1173,Grb 2270,15,40.1,52,41,15h42m43.9969s,+52d22m00.0289s,52,1898.0,5.5,A0p,0.069,-0.064,-0.054,0.003,4;16,10.7,30
1174,Theta Drac,16,0.0,58,50,16h01m56.6052s,+58d33m25.0689s,58,1608.0,4.1,F8,0.461,-0.318,-0.315,0.043,5;22,12.1,37
1175,Lal 30338,16,35.9,-2,39,16h40m13.3914s,-02d50m45.1841s,-2,4230.0,7.1,G0,0.443,-0.027,-0.023,0.037,5;16,11.5,20
1176,Lal 30664,16,45.1,37,12,16h48m31.3888s,+37d01m30.2705s,37,2804.0,8.2,K0,0.392,-0.071,-0.053,0.042,5;16,11.3,16
1177,52 Herc,16,46.3,46,9,16h48m55.5805s,+45d58m36.0961s,46,2220.0,4.9,A2p,0.066,0.023,0.047,0.001,5;22,10.5,32
1178,Lal 31055,16,59.8,-4,54,17h04m18.6342s,-05d02m24.8077s,-4,4225.0,7.9,K5p,1.463,-0.929,-0.926,0.095,6;19,11.8,20
1179,Sigma 2146,17,10.9,54,14,17h12m06.4699s,+54d06m55.1428s,54,1869.0,7,F0,0.1,-0.024,0.021,0.001,7;21,10.6,16
1180,Brad 2228,17,37.0,24,34,17h41m06.6222s,+24d30m57.0783s,24,3225.0,6.5,K0,0.059,-0.023,-0.033,-0.009,6;19,11,20
1180a,Berl 6083,17,37.1,24,30,17h41m06.8091s,+24d26m57.0919s,24,3226.0,8.9,K0,0.014,0.004,-0.01,-0.015,7;20,11,20
1181,95 Herc B,17,57.3,21,36,18h01m14.4785s,+21d35m52.3305s,21,3280.0,5.2,G5,0.028,0.007,0.008,0.001,5;24,10.8,38
1182,95 Herc A,17,57.3,21,36,18h01m14.4785s,+21d35m52.3305s,21,3280.0,5.1,A3,0.031,0.008,0.01,0.001,5;24,10.8,39
1183,Lal 33640,18,10.9,29,11,18h13m52.8062s,+29d12m44.411s,29,3213.0,6.5,G0,0.252,0.009,0.028,0.01,6;18,10.9,20
1184,39 Drac,18,22.5,58,45,18h23m27.9981s,+58d48m18.5436s,58,1809.0,4.8,A2,0.072,-0.04,-0.055,0.028,7;19,11.4,19
1185,Alpha Scut,18,29.8,-8,19,18h34m26.6451s,-08d14m23.4003s,-8,4638.0,4.1,K0,0.315,-0.018,-0.024,0.006,5;20,10.6,29
1186,Vega,18,33.6,38,41,18h36m21.4489s,+38d46m02.1921s,38,3238.0,0.1,A0,0.345,0.2,0.212,0.117,5;22,10.9,35
1187,Lal 34968,18,38.5,67,2,18h37m55.657s,+67d07m30.5842s,67,1087.0,8.1,G5,0.235,-0.132,-0.122,0.007,5;18,11.5,22
1188,N3 Aqil,18,43.8,0,28,18h48m06.1942s,+00d34m35.8295s,,,Var,Pec,,,0.012,-0.001,8;25,11.3,24
1189,19 Aqil,19,4.1,5,55,19h08m53.9357s,+06d04m33.1248s,5,4040.0,5.4,F2,0.079,-0.015,-0.032,0.027,7;22,11.3,24
1190,Grb 2781,19,6.3,55,10,19h08m02.9459s,+55d19m37.9561s,55,2152.0,7.3,A3,0.025,0.004,0.025,0.008,6;16,11.2,14
1191,Fed 3124,19,10.4,57,29,19h11m47.0446s,+57d39m10.2667s,57,1961.0,7,K0,0.45,0.211,0.219,0.041,7;18,12,16
1192,Lal 36546,19,16.0,49,23,19h18m39.8661s,+49d34m03.6686s,49,2977.0,6.3,K0,0.05,0.006,0.033,-0.001,8;23,11.3,19
1193,RR Lyra,19,22.2,42,36,19h25m12.1849s,+42d47m55.1539s,42,3338.0,Var,F5,0.224,-0.122,-0.108,0.008,5;17,10.9,26
1194,Grb 2877,19,31.4,42,12,19h34m15.545s,+42d25m08.3492s,42,3386.0,5.3,A2,0.025,-0.009,0.001,-0.005,4;13,10.7,19
1195,Lal 37513,19,38.9,24,22,19h42m12.2414s,+24d36m08.0075s,24,3849.0,6.8,F8,0.283,0.074,0.089,0.035,6;21,10.2,23
1196,Sigma 2576m,19,41.8,33,22,19h44m47.7374s,+33d36m30.1039s,33,3582.0,8.5,K0,0.435,0.015,0.016,0.049,6;24,10.6,34
1197,17 Cygn B,19,42.7,33,30,19h45m47.4994s,+33d44m37.9598s,33,3589.0,8.5,K4,0.443,0.025,0.021,0.042,4;18,10.3,35
1198,N3 Cygn,19,55.9,53,21,19h57m29.6069s,+53d37m13.7673s,,,Var,Q,,,0.009,0.018,6;19,12.5,28
1199,Grb 3042,20,3.6,52,52,20h05m35.4327s,+53d09m14.6882s,52,2623.0,5.7,F5,0.335,0.215,0.206,0.012,5;21,9.7,31
1200,Brad 2618,20,14.6,40,25,20h17m32.4564s,+40d43m39.3126s,40,4103.0,5.8,B2p,0.005,-0.003,-0.001,0.0,5;22,9.6,33
1201,S 749 B,20,22.3,-2,27,20h27m11.6943s,-02d07m17.4903s,-2,5282.0,8,F8,0.102,-0.084,-0.062,-0.004,5;20,11.5,32
1202,S 749 A,20,22.3,-2,26,20h27m11.6629s,-02d06m17.4921s,-2,5283.0,6.6,F8,0.102,-0.081,-0.069,-0.005,5;19,11.5,32
1203,WB 759,20,23.7,18,26,20h27m31.1515s,+18d45m47.1823s,18,4505.0,6.8,G5,0.343,0.336,0.346,0.01,5;14,10.5,17
1204,Gamma Equl,21,5.5,9,44,21h09m51.3779s,+10d08m22.6615s,9,4732.0,4.8,F0p,0.165,0.058,0.056,0.015,6;29,11.2,38
1205,6 Equl,21,5.7,9,38,21h09m51.5423s,+10d02m22.6697s,9,4735.0,6,A2,0.021,-0.013,0.004,0.012,6;26,11.2,38
1206,Lal 43372,22,8.6,25,27,22h12m37.7718s,+25d56m39.3675s,25,4691.0,6.8,G5,0.154,-0.049,-0.052,0.003,6;15,10.8,16
1207,33 Pegs,22,18.8,20,21,22h22m46.2323s,+20d51m18.1999s,20,5139.0,6.1,F5,0.333,0.333,0.318,0.045,7;18,9.8,18
1208,Lal 44356,22,35.9,14,1,22h39m55.4028s,+14d32m15.9896s,13,4971.0,5.8,G5,0.3,0.263,0.254,0.021,6;25,11.6,34
1209,Grb 3930,22,52.0,49,12,22h56m23.126s,+49d44m02.5184s,48,3887.0,5.1,K0,0.002,-0.001,-0.024,-0.003,5;14,9,20
1210,51 Pegs,22,52.6,20,14,22h56m53.289s,+20d46m03.1376s,19,5036.0,5.6,G0,0.209,0.2,0.228,0.069,7;19,11.4,18
1211,Brad 3084,23,12.1,52,40,23h16m32.3131s,+53d12m44.8118s,52,3410.0,5.6,F8,0.262,0.111,0.11,0.02,5;17,10.4,19
1212,Omega Sigma 507 C,23,43.8,64,20,23h47m49.479s,+64d53m20.5221s,64,1860.0,8.5,,0.006,-0.004,-0.001,0.006,7;20,10.3,15
1213,Sigma 3048 B,23,53.0,23,47,23h58m06.2296s,+24d20m24.2025s,23,4830.0,9.3,,0.208,-0.09,-0.077,0.026,7;29,10.2,27
1213a,Sigma 3048 A,23,53.0,23,47,23h58m06.2296s,+24d20m24.2025s,23,4830.0,8.2,G5,0.197,-0.055,-0.088,0.027,6;22,10.2,28
1214,Lal 1405,0,46.1,-5,35,00h51m04.7753s,-05d02m20.2163s,-5,138.0,6.8,G0,0.309,0.282,0.252,0.022,5;20,11.3,30
1215,Lal 5140,2,41.0,-5,23,02h45m59.4699s,-04d57m44.2429s,-5,514.0,7.9,F2,,,0.039,-0.002,5;20,12,28
1216,32 Pers,3,14.7,42,58,03h20m42.413s,+43d19m46.1625s,42,750.0,5,A2,0.057,-0.056,-0.061,0.018,4;16,10.8,30
1217,4 Taur,3,24.9,11,0,03h29m28.0967s,+11d20m42.8376s,10,452.0,5.1,A0,0.021,-0.006,-0.018,-0.006,5;22,10.9,29
1218,Lal 7892,4,8.7,12,6,04h13m33.1215s,+12d21m19.5726s,11,583.0,6.9,G0,0.345,0.339,0.327,0.023,5;21,11.9,31
1219,Beta Erid,5,2.9,-5,13,05h06m55.6946s,-05d04m59.0058s,-5,1162.0,2.9,A3,0.117,-0.085,-0.086,0.03,5;23,10.9,34
1220,51 Orio,5,37.3,1,26,05h42m10.7752s,+01d28m58.2642s,1,1105.0,5.2,G5,0.052,-0.049,-0.054,0.014,5;23,10.6,30
1221,Omega Gemi,6,56.3,24,21,07h02m05.679s,+24d12m29.2038s,24,1502.0,5.2,K0,0.013,-0.002,-0.001,0.01,4;17,11.2,30
1222,21 Lync,7,19.2,49,25,07h26m32.8276s,+49d13m11.6126s,49,1623.0,4.4,A0,0.048,-0.006,-0.005,0.01,5;23,10.8,30
1223,28 Mono,7,56.1,-1,7,08h01m04.8436s,-01d23m31.238s,0,1882.0,4.9,K0,0.098,0.059,0.072,0.003,6;25,10.9,29
1224,Zeta Mono,8,3.6,-2,42,08h08m01.7171s,-02d59m23.7901s,-2,2450.0,4.4,G0,0.022,-0.021,0.001,-0.004,4;18,10,29
1225,Chi U Maj,8,56.8,47,33,09h02m50.2445s,+47d09m26.117s,47,1633.0,3.7,A0,0.07,-0.029,-0.039,0.005,7;29,11.8,34
1226,43 Lync,9,35.8,40,13,09h41m12.4398s,+39d45m47.4927s,40,2241.0,5.5,K0,0.073,-0.056,-0.03,0.015,5;21,11.3,29
1227,Lal 21008,10,50.9,28,17,10h55m27.9586s,+27d45m01.1382s,28,1952.0,8.6,K0,0.472,-0.452,-0.431,0.028,5;22,12.2,31
1228,Tau Leon,11,22.8,3,24,11h27m08.5103s,+02d50m59.3214s,3,2504.0,5.2,K0,0.028,0.022,0.047,0.03,7;28,11.2,30
1229,95 Leon,11,50.5,16,12,11h55m08.622s,+15d38m36.4725s,16,2319.0,5.5,A2,0.027,0.027,0.007,-0.009,7;28,11.6,29
1230,7 Virg,11,54.8,4,13,11h59m07.5249s,+03d39m35.6455s,4,2556.0,5.2,A0,0.021,-0.013,0.015,0.013,6;23,11.6,30
1231,10 Virg,12,4.6,2,28,12h09m07.2408s,+01d54m36.2422s,2,2517.0,6.1,K0,0.188,0.048,0.051,-0.003,7;26,11.9,29
1232,5 C Ven,12,19.2,52,7,12h23m51.5066s,+51d33m44.1784s,52,1626.0,5,K0,0.014,0.011,0.037,0.032,6;22,11.6,29
1233,16 Coma,12,22.0,27,23,12h27m00.0873s,+26d49m46.8664s,27,2134.0,5,A2,0.012,0.004,-0.015,0.016,4;16,11.1,28
1234,49 Virg,13,2.7,-10,12,13h07m14.2568s,-10d44m05.4218s,-9,3628.0,5.3,K,0.024,0.018,0.021,0.013,8;30,10.8,27
1235,Lal 25538,13,47.4,34,56,13h51m24.9636s,+34d26m18.7332s,35,2496.0,5,Ma,0.04,-0.02,-0.019,0.022,5;18,11.3,30
1236,10 Drac,13,48.5,65,13,13h50m55.8276s,+64d43m19.748s,65,963.0,4.8,Ma,0.005,0.005,0.005,0.018,6;24,11.9,31
1237,Pi 1 Boot,14,36.0,16,51,14h40m41.9413s,+16d25m15.1718s,,,4.9,,0.02,0.02,0.028,-0.014,5;20,,30
1238,Pi 2 Boot,14,36.0,16,51,14h40m41.9413s,+16d25m15.1718s,,,5.8,,0.02,-0.018,0.02,0.008,6;23,,30
,Sigma 1864 mean,,,,,0,0,17,2768.0,,A0,,,,-0.003,4,12.1,30
1239,10    Serp,15,23.6,2,11,15h28m03.7232s,+01d50m08.9233s,2,2965.0,5.1,A5,0.091,-0.079,-0.067,0.025,5;18,10.7,30
1240,16    Serp,15,31.7,10,21,15h35m48.1264s,+10d01m03.4344s,10,2884.0,5.4,K0,0.139,0.034,0.061,0.026,6;22,11.6,30
1241,Pi 15h198,15,45.1,62,55,15h46m31.0413s,+62d36m31.8168s,63,1225.0,5.1,A2,0.07,0.038,0.05,0.01,4;18,10.9,30
1242,Lal 30540,16,39.8,50,8,16h41m37.4466s,+49d56m36.9645s,50,2319.0,6.6,F5,0.168,0.138,0.139,0.032,5;19,12.1,
1243,Gr 2612,18,31.7,52,16,18h33m16.139s,+52d20m40.1777s,52,2238.0,5.4,K0,0.007,0.001,0.0,0.0,4;17,10.7,28
1244,Lal 34931,18,42.0,26,33,18h46m01.6866s,+26d39m22.638s,26,3349.0,4.9,K0,0.031,0.016,0.015,0.018,5;19,10.9,28
1245,Lal 35511,18,55.7,26,6,18h59m03.742s,+26d14m13.7244s,26,3418.0,5.3,K0,0.095,0.093,0.084,-0.005,8;31,10.5,30
1246,16 Lyra,18,58.6,46,48,19h00m49.4863s,+46d56m33.8885s,46,2602.0,5.1,A5,0.093,0.024,0.012,0.028,4;19,10.2,28
1247,Lal 35836,19,2.7,28,28,19h05m57.5098s,+28d37m12.3894s,28,3193.0,5.5,A5,0.101,0.075,0.091,0.02,3;12,10.6,28
1248,20 Cygn,19,48.1,52,44,19h50m30.6063s,+52d59m19.8675s,52,2547.0,5.2,K2,0.072,-0.013,-0.015,0.009,5;20,10,28
1249,Phi Aqil,19,51.5,11,9,19h55m43.9222s,+11d24m51.6512s,11,4055.0,5.3,A2,0.024,0.023,0.03,0.016,5;20,10.4,29
1250,Lal 38100,19,54.4,-10,13,19h59m28.1299s,-09d56m42.522s,-10,5238.0,5.9,F8,0.486,-0.283,-0.289,0.034,8;30,11.6,30
1251,26 Cygn,19,58.5,49,50,20h00m49.3926s,+50d06m37.867s,49,3158.0,5.3,K0,0.022,0.022,0.019,0.011,6;23,11.1,29
1252,Eta Sgte,20,0.7,19,42,20h04m25.8602s,+19d58m59.0506s,19,4277.0,5.3,K0,0.083,0.027,0.025,0.028,5;21,10.5,29
1253,22 Vuip,20,11.2,23,12,20h15m19.1553s,+23d30m20.2908s,23,3944.0,5.4,G5,0.015,-0.006,-0.002,0.0,6;23,10.4,29
1254,4 Aqar,20,46.1,-6,0,20h51m17.4721s,-05d37m34.4612s,-6,5604.0,6,F2,0.093,0.092,0.097,0.021,7;24,10.9,30
1255,Lal 40484,20,51.7,1,20,20h56m04.8021s,+01d42m56.962s,1,4397.0,7.1,K0,0.215,-0.033,0.008,0.005,6;23,12,33
1256,3 Equl,20,59.6,5,6,21h03m58.681s,+05d29m46.652s,4,4606.0,5.9,K2,0.022,0.022,0.023,0.006,7;27,10.5,30
1257,Nu Aqar,21,4.1,-11,47,21h09m26.1754s,-11d22m41.592s,-11,5538.0,4.5,K0,0.097,0.096,0.096,0.008,5;17,11.1,30
1258,78 Drac,21,41.9,71,52,21h42m12.5032s,+72d19m30.14s,71,1082.0,5.4,K0,0.055,-0.044,-0.064,0.011,6;21,11.2,26
1259,Theta Pegs,22,5.2,5,42,22h10m00.8268s,+06d11m27.9232s,5,4961.0,3.7,A2,0.28,0.278,0.276,0.046,6;22,11.2,31
1260,30 Ceph,22,35.1,63,4,22h38m32.8944s,+63d35m13.8728s,62,2102.0,5.2,A2,0.021,0.001,0.002,0.003,6;22,11.7,31
1261,11 Lacr,22,36.1,43,45,22h40m22.2733s,+44d16m18.2139s,43,4266.0,4.6,K0,0.101,0.101,0.081,0.005,6;21,10.9,28
1262,82 Pegs,23,47.5,10,23,23h52m06.2408s,+10d56m22.498s,10,5004.0,5.4,A3,0.029,-0.029,-0.07,0.012,6;24,12.1,30
1263,Lal 46867,23,49.9,28,5,23h54m04.7251s,+28d38m23.2146s,27,4642.0,7.3,K0,0.573,0.573,0.569,0.036,5;20,11.8,30
1264,Lal 34,0,6.2,29,54,00h11m10.2985s,+30d27m23.1723s,29,14.0,8.7,G5,0.212,0.211,0.197,0.028,5;20,11.8,30
1265,Lal 2999,1,32.6,-9,55,01h36m58.2706s,-09d24m23.3842s,-10,343.0,6.4,F5,0.262,0.249,0.266,0.022,6;24,12.2,31
1266,Sigma 226 A,2,6.6,23,30,02h11m38.7057s,+23d58m16.1497s,23,296.0,7.8,G5,0.192,0.117,0.122,0.031,6;24,11.3,28
1267,Lal 6310,3,22.4,55,6,03h29m38.1882s,+55d26m49.1316s,54,684.0,5,A2,0.034,-0.034,-0.049,0.015,3;13,9.3,28
1268,Pi Erid,3,41.4,-12,25,03h45m43.3559s,-12d06m14.4379s,-12,707.0,4.6,Ma,0.07,0.039,0.051,-0.004,4;19,11.4,29
1269,9 Caml,4,44.1,66,10,04h53m56.6647s,+66d20m11.3736s,66,358.0,4.4,B0,0.007,0.006,-0.013,-0.015,5;23,11.1,30
1270,4 Orio,4,46.9,14,5,04h51m39.511s,+14d15m12.5309s,14,777.0,5.2,Ma,0.06,0.003,-0.017,0.002,4;18,11.8,28
1271,27 Orio,5,19.4,0,59,05h24m09.7555s,+01d04m34.4435s,-1,886.0,5.2,G5,0.125,-0.001,-0.017,0.014,5;23,9.4,27
1272,5 Lync,6,18.1,58,28,06h26m43.9183s,+58d24m44.6541s,58,927.0,5.5,K2,0.011,0.003,-0.009,0.002,3;16,11.2,29
1273,Gamma C Min,7,22.7,9,8,07h27m27.1963s,+08d55m55.6675s,9,1660.0,4.6,K0,0.062,-0.061,-0.057,0.015,4;18,10.8,27
1274,25 Mono,7,32.3,-3,53,07h36m58.8361s,-04d06m23.2806s,-3,1979.0,5.2,F5,0.07,-0.067,-0.061,0.025,4;17,10.8,30
1275,Zeta Canc AB,8,6.5,17,57,08h11m43.6914s,+17d39m11.3073s,,,5,F8,0.155,0.068,0.075,0.037,3;18,11.1,38
