Thaw Number,Thaw Name,YPC Number,YPC Component,Delta Pi
404,Eta Persei (Br),573.0,,
405,Kappa Ceti,691.0,,
406,Sigma 422,751.0,A,
,,751.0,B,
407,Sigma 422,751.0,A,
,,751.0,B,
,Mean,0.0,,
408,Pi 3 Orionis,1077.0,,
409,i Tauri.,1083.0,,
410,Iota Aurigae,1100.0,,
411,Epsilon Aurigae,1122.0,A,
,,1122.0,C,
412,P. M. 572,1241.0,A,
,,1241.0,B,
413,Psi 7 Aurigae,1593.0,,
414,Psi 8 Aurigae,1602.0,M,
415,Rumk 2024,1616.0,A,
,,1616.0,B,
,,1618.0,,
416,B.D. + 40  1759,1616.0,A,
,,1616.0,B,
,,1618.0,,
417,Lal 13784,0.0,,
418,Lal 13791,0.0,,
,Mean,0.0,,
419,20 1 Lyncis,1721.0,A,
,,1721.0,B,
420,20 2 Lyncis,1721.0,A,
,,1721.0,B,
,Mean (Sigma 1065),0.0,,
421,Sigma 1093,1759.0,M,
422,14 Can. Min,1884.0,,
423,Lal 15547,1886.0,,
424,Fed 1217,1901.0,,
425,Groom 1437,2001.0,,
426,Lal 16616,2018.0,,
427,Iota Cancri,2091.0,A,
,,2091.0,B,
428,Iota Cancri,2091.0,A,
,,2091.0,B,
,Mean (Sigma 1268),0.0,,
429,Lal 17480,2118.0,,
430,Lal 18397,2230.0,,
431,h 23 Urs. Maj,2253.0,,
432,Lal 20881,2525.0,,
433,Groom 1930,2946.0,,
434,Lal 25288,3128.0,,
435,Lal 26289,3264.0,,
436,A 570 (Mean),3293.0,,
437,H 2752 (Br),3362.0,,
438,Lal 27742,0.0,,
439,Lal 27743,0.0,,
,Mean (Sigma 1919).,0.0,,
440,Mu 1 Bootis,3483.0,A,
,,3483.0,B,
441,Delta Serpentis,3517.0,A,
,,3517.0,B,
442,Delta Serpentis,3517.0,A,
,,3517.0,B,
,Mean (Sigma 1954),0.0,,
443,Chi Herculis,3596.0,,
444,m1 36 Herculis,3788.0,A,
,,3788.0,B,
445,m2 37 Herculis,3788.0,A,
,,3788.0,B,
,"Mean(Sigma 31, Ap1)",0.0,,
446,Epsilon Herculis,3865.0,,
447,Lal 31174,0.0,,
448,Psi 1 Draconis,4069.0,A,
,,4069.0,B,
449,Psi 2 Draconis,4069.0,A,
,,4069.0,B,
,Mean (Sigma 2241),0.0,,
450,Zeta 1 Lyrae,4327.0,A,
,,4327.0,D,
451,Zeta 2 Lyrae,4327.0,A,
,,4327.0,D,
,Mean,0.0,,
452,W2 18h 979,4296.0,,
453,Lal 35248,4381.0,,
454,3 Cygni,4545.0,,
455,Chi Aquilae (M),4629.0,M,
,,4629.0,A,
456,Gamma Aquilae,4645.0,A,
457,Delta Sagittae,4658.0,M,
,,4658.0,A,
458,Epsilon Draconis (Br),4689.0,A,
459,24 Vulpeculae,4828.0,,
460,Groom. 3196,4879.0,,
461,Lal 39956,4932.0,A,
,,4932.0,B,
462,Delta Equulei(Mean),0.0,,
463,Alpha Cephei,5139.0,,
464,B. D. +32  4134,5148.0,,
465,Omega Sigma 455 (Br),5303.0,A,
,,5303.0,B,
466,Zeta 1 Aquarii,0.0,,
467,Zeta 2 Aquarii,0.0,,
,Mean (Sigma 2909),0.0,,
468,55 Pegasi,5596.0,,
469,Gamma Cephei,5725.0,,
470,Sigma 16,44.0,A,
,,44.0,B,
471,10 Arietis,425.0,,
472,9H Camelop,859.0,,
473,55 Tauri,955.0,,
474,OmegaSigma 82,964.0,A,
475,Pi 256,1355.0,,
476,74 Orionis,1459.0,,
477,Gr. 1214,1566.0,A,
478,Theta Gem,1601.0,,
479,15 Lyncis,1611.0,,
480,Lal 15394,1869.0,,
481,7 Sextantis,2337.0,,
482,Zeta Leonis,2412.0,,
483,Gamma 1 Leonis,2420.0,,
,,2423.0,A,
,,2423.0,B,
484,Gamma 2 Leonis,2420.0,,
,,2423.0,A,
,,2423.0,B,
,Mean,0.0,,
485,88 Leonis,2665.0,A,
,,2665.0,B,
486,Lal 21947,2673.0,,
487,61 Urs. Maj.,2699.0,,
488,44 Bootis,3410.0,A,
,,3410.0,B,
489,44 Bootis,3410.0,A,
,,3410.0,B,
,Mean,0.0,,
490,Psi Serp,0.0,,
491,Sigma 2052,3745.0,M,
,,3745.0,A,
492,Mu Drac,0.0,,
493,Mu Drac,0.0,,
,Mean,0.0,,
494,Lal 34496,4277.0,,
495,Weisse 1339,4351.0,,
496,11 Aquilae,4403.0,,
497,Sigma 2481 B.C.,0.0,,
498,Sigma 2481 A,0.0,,
,Mean,0.0,,
499,Pi 233,4616.0,,
500,Omicron Aquilae,4670.0,A,
501,Pi 306,4678.0,,
502,Omega Sigma 389,4681.0,M,
,,4681.0,A,
,,4681.0,C,
503,Weisse 1190,4697.0,A,
,,4697.0,B,
504,Weisse 1196,4697.0,A,
,,4697.0,B,
505,Eta Cygni,4716.0,,
506,27 Cygni,4774.0,,
507,Lal 38613,0.0,,
508,Gr. 3150,4849.0,,
509,Iota Delph,4876.0,,
510,Kappa Delph,4912.0,,
,,4918.0,,
511,Gamma 1 Delph,4958.0,A,
,,4958.0,B,
512,Gamma 2 Delph,4958.0,A,
,,4958.0,B,
,Mean,0.0,,
513,Omega Sigma 447,5226.0,A,
,,5226.0,E,
514,Omega Sigma 447,5226.0,A,
,,5226.0,E,
,Mean,0.0,,
515,Omega Sigma (App.) 226,5297.0,B,
516,Omega Sigma (App.) 226,5297.0,B,
,Mean,0.0,,
517,Lal 43751,5417.0,,
518,Fed 4220,5478.0,M,
,,5478.0,A,
,,5478.0,B,
,,5478.0,D,
519,Fed 4221,5478.0,M,
,,5478.0,A,
,,5478.0,B,
,,5478.0,D,
,Mean,0.0,,
520,Omega Sigma 478,5507.0,A,
,,5507.0,B,
521,Omicron Pegasi,5539.0,A,
522,Pi Cephei,5607.0,,
523,70 Pegasi,5686.0,,
524,72 Pegasi,5698.0,,
525,Lamda Piscium,5734.0,,
526,Anonymous,5738.0,,
527,Lal 7116,846.0,,
528,Lal 8758,1035.0,,
529,Lal 11870,0.0,,
530,58 Cancri,2131.0,,
531,Mu Virginis,3325.0,,
532,Lal 33251,0.0,,
533,Theta Cass,241.0,,
534,33 Arietis,539.0,,
535,Rho Tauri,1003.0,,
536,Lal 10262,1240.0,A,
,,1240.0,B,
537,Gr. 1216,1568.0,,
538,Rad 1805,1574.0,A,
,,1574.0,B,
539,Rad 1806,1574.0,A,
,,1574.0,B,
,Mean Sigma 958,0.0,,
540,Lal 16469,0.0,,
541,Sigma 1311,0.0,,
542,Sigma 1311,0.0,,
,Mean,0.0,,
543,Lamda Leonis,2264.0,,
544,22 Leonis,2333.0,,
545,Nu Urs. Maj.,2626.0,,
546,Lambda Drac,2661.0,,
547,Nu Virginis,2720.0,,
548,Sigma 1678,2937.0,,
,,2938.0,,
549,Sigma 1678,2937.0,,
,,2938.0,,
550,Sigma 1788,3173.0,,
551,Beta 1270,3203.0,,
552,Beta 1085,3384.0,A,
,,3384.0,B,
553,W1 583,3532.0,,
554,L Bo 2294,3574.0,,
555,Xi 2 Scorpii,3636.0,M,
,,3636.0,A,
,,3636.0,B,
,,3636.0,C,
,,3637.0,M,
,,3637.0,A,
,,3637.0,B,
556,Phi Herc,3667.0,,
557,49 Serp,3681.0,M,
,,3681.0,A,
,,3681.0,B,
558,49 Serp,3681.0,M,
,,3681.0,A,
,,3681.0,B,
,Mean Sigma 2021,0.0,,
559,Eta Drac,3740.0,M,
,,3740.0,B,
560,W1 906,3844.0,,
,,3845.0,M,
,,3845.0,A,
,,3845.0,D,
561,c Herc,3894.0,,
562,Gr 2433,3937.0,,
563,Lal 32025,3963.0,,
564,Lal 31842,3966.0,,
565,Alpha Ophiuc,4000.0,,
566,Lal 32769,4066.0,,
567,Lal 32664,4079.0,,
568,Lal 33193,0.0,,
569,40 Drac,4176.0,A,
,,4176.0,B,
570,41 Drac,4176.0,A,
,,4176.0,B,
,Mean Sigma 2308,0.0,,
571,36 Drac,4200.0,,
572,Lal 34175,4254.0,,
573,Beta 971,4347.0,,
574,Beta 648,4399.0,M,
,,4399.0,A,
,,4399.0,B,
575,17 Lyrae,4458.0,,
576,Gr 2789,0.0,,
577,Dorpat 2258,0.0,,
,Mean Sigma 2486,0.0,,
578,Alpha Vulpec,4557.0,,
579,8 Vulpec,4558.0,,
580,Pi 182,0.0,,
581,15 Sagittae,4760.0,,
,,4761.0,A,
,,4761.0,B,
,,4761.0,C,
582,Theta Sagittae,4785.0,A,
,,4785.0,B,
,,4786.0,,
383,Sigma 2671,4847.0,A,
,,4847.0,B,
584,Sigma 2671,4847.0,A,
,,4847.0,B,
,Mean,0.0,,
585,39 Cygni,4860.0,,
586,Gr 3263,4936.0,,
587,4 Equulei,5071.0,,
588,Pulk 55 3131,5167.0,,
589,29 Pegasi,5197.0,A,
,,5197.0,B,
590,29 Pegasi,5197.0,A,
,,5197.0,B,
,Mean Sigma 2804,0.0,,
591,Brad 3077,0.0,,
592,Brad 3094,5645.0,,
593,Lal 1677,195.0,,
594,37 Ceti,253.0,A,
,,253.0,B,
595,Pi 171,375.0,,
596,48 Cass,412.0,,
597,64 Ceti,444.0,,
598,Lal 5490,627.0,A,
599,Sigma Aurigae,1223.0,,
600,75 Orionis,1461.0,A,
601,63 Aurigae,1675.0,,
602,51 Gem,1684.0,,
603,65 Aurigae,1728.0,,
604,65 Gem,1767.0,A,
605,68 Gem,1784.0,,
606,Lal 15307,1866.0,,
607,Lal 15882,0.0,,
608,Lal 16530,2000.0,,
609,Sigma 1245,2048.0,A,
,,2048.0,B,
610,7 Leonis,2281.0,,
611,Lal 19022,2304.0,,
612,Lal 19449,2354.0,A,
,,2354.0,B,
613,,2354.0,A,
,,2354.0,B,
,Mean,0.0,,
614,Nu Bootis,3506.0,,
615,Iota Serp,3548.0,,
616,Lal 29439,0.0,,
617,Lal 29917,3712.0,A,
,,3712.0,B,
618,Gr 2624,4300.0,,
619,Gr 2686,4359.0,,
620,"Pi 18h, 273",4376.0,,
621,Pi Drac,4540.0,,
622,Lal 37272,4600.0,,
623,Phi Cygni,4618.0,,
624,Alpha Sagittae,4619.0,,
