Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
696,e Ophiuc,17,13.9,10,58,17h17m42.1085s,+10d51m31.955s,11,3156,5.3,K5,0.001,0 .000,-0.005,7.0,26.0,3.8,23
697,Lambda Herc,17,26.7,26,11,17h30m02.426s,+26d06m21.2103s,26,3034,4.5,K0,0.019,-0.014,0.007,5.0,19.0,4.1,26
698,42 Drac,18,25.7,65,30,18h25m15.486s,+65d33m39.3901s,65,1271,5,K0,0.103,0.102,0.016,7.0,25.0,3.6,28
699,R Scuti,18,42.1,-5,49,18h47m20.6184s,-05d42m31.7172s,-5,4760,var.,K0p,-0.061,-0.043,-0.006,6.0,21.0,3.7,27
700,Lal 35346,18,51.7,23,26,18h55m10.8385s,+23d33m40.2451s,23,3500,8.4,K0,+ .124*,0.12,0.039,5.0,18.0,3.5,24
701,Lal 36268,19,11.9,14,22,19h15m34.6859s,+14d32m30.188s,14,3852,5.5,A0,0.016,0.001,0.016,6.0,23.0,3.6,25
702,4 Cygni,19,22.6,36,7,19h25m35.9894s,+36d18m56.7722s,36,3557,5.2,A0p,0.01,0.001,-0.014,7.0,24.0,3.5,22
703,Lal 36921,19,25.0,34,24,19h28m42.0461s,+34d36m21.6252s,34,3566,8.2,G5,+ .050*,0.05,0.002,5.0,18.0,3.4,20
704,"W2 19h, 721",19,25.5,31,25,19h28m51.2543s,+31d37m22.248s,31,3618,7,G5,- .023*,-0.025,0.046,6.0,22.0,3.7,26
705,Lal 37074,19,29.1,27,10,19h33m03.8505s,+27d22m55.4791s,27,3428,8.5,F5,- .083*,-0.07,0.003,5.0,19.0,3.5,23
706,9 Cygni,19,30.9,29,15,19h33m58.186s,+29d28m03.1578s,29,3651,5.4,F5**,0.021,0.014,0.016,4.0,16.0,4.0,27
707,Zeta Sagittae,19,44.5,18,53,19h48m26.2074s,+19d07m56.1744s,18,4254,5,A2,0.022,0.011,0.004,5.0,21.0,3.9,26
708,Eta Aquilae,19,47.4,0,45,19h52m05.5684s,+01d00m22.116s,0,4337,var.,G0p,0.011,0.01,0.003,6.0,20.0,3.5,27
709,T Cygni,20,43.2,34,0,20h46m59.1447s,+34d22m01.6907s,33,4028,5.2,K0,0.049,0.033,0.001,4.0,15.0,3.7,24
710,Lal 40604,20,53.1,42,30,20h56m38.2629s,+42d53m05.0768s,42,3915,7.9,K0,+ .186*,0.209,0.001,6.0,23.0,3.6,23
711,B.D. +3  4492,20,58.9,3,43,21h03m00.9361s,+04d06m40.61s,3,4492,8.5,K5,-0.009,0.004,0.014,6.0,22.0,3.5,26
712,"Weisse 20h, 1453",20,59.1,3,35,21h04m01.1825s,+03d58m46.7801s,3,4493,8.5,G5,- .093*,-0.076,0.008,6.0,20.0,3.6,27
713,35 Vulpec,21,23.3,27,10,21h27m24.1055s,+27d36m04.4601s,26,4164,5.4,A0,0.039,0.044,0.01,5.0,18.0,3.8,27
714,Sigma 57,21,32.3,66,17,21h34m03.4676s,+66d43m46.3818s,66,1415,7,K0,-0.018,-0.035,0.0158,8.0,24.0,3.0,19
715,Sigma 57,21,32.5,66,20,21h34m03.0238s,+66d46m46.3626s,66,1416,7.2,K2,0.031,-0.018,0.002,6.0,20.0,3.1,20
,Mean,,,,,0,0,,,,,,,0.008,5.0,,,
716,"Pi 22h, 195",22,37.0,14,0,22h41m55.6949s,+14d31m22.0899s,13,4974,6.1,K0,0.096,0.073,-0.011,7.0,23.0,3.2,20
717,Brad 3054,22,59.7,66,40,23h02m47.3416s,+67d12m18.3002s,66,1575,5.5,K0,0.028,-0.006,-0.007,6.0,20.0,3.4,21
718,6 Andr,23,5.8,43,0,23h09m38.7255s,+43d32m31.868s,42,4592,5.8,F5,-0.198,-0.194,0.005,6.0,20.0,3.4,22
719,Mayer 968,23,24.4,-5,5,23h29m09.0204s,-04d31m56.6981s,-5,5999,6.4,K2,0.175,0.173,0.006,5.0,19.0,3.4,23
720,47 Piscium,0,22.8,17,20,00h27m11.9318s,+17d53m13.0413s,17,55,5.3,Mb,0.119,0.092,0.01,7.0,28.0,4.0,26
721,Alpha Cass,0,34.8,55,59,00h39m39.4006s,+56d31m58.7518s,55,139,2.5,K0,0.053,0.049,0.004,5.0,23.0,4.3,31
722,Phi Cass,1,13.8,57,42,01h19m17.0437s,+58d13m34.9629s,57,260,5.2,F5p,0.011,-0.001,-0.008,4.0,19.0,4.2,28
723,Lal 3972,2,5.9,56,44,02h11m56.6702s,+57d12m17.793s,56,449,7,G0,+ .266*,0.258,0.018,6.0,22.0,4.0,25
724,84 Ceti,2,36.1,-1,7,02h41m06.0444s,-00d41m16.2926s,-1,377,5.7,F5,0.213,211,0.032,5.0,22.0,4.4,27
725,Omega Persei,3,4.8,39,14,03h10m27.4865s,+39d36m52.0395s,39,724,4.8,K0,-0.02,-0.026,0.019,4.0,20.0,4.6,30
726,Gamma Camel,3,39.8,71,1,03h49m32.5878s,+71d19m39.0428s,70,259,4.7,A0,0.028,0.027,0.006,4.0,17.0,4.4,27
727,Mu Persei,4,7.6,48,9,04h14m20.533s,+48d24m20.3983s,48,1063,4.3,G0,0.014,0.005,0.005,5.0,20.0,4.5,27
728,58 Persei,4,29.8,41,4,04h35m55.8373s,+41d16m27.1442s,40,1000,4.5,G4p,-0.005,-0.021,0.016,4.0,17.0,4.5,28
729,111 Tauri,5,18.6,17,17,05h23m48.4842s,+17d22m40.2832s,17,920,5.1,G0,0.247,0.256,0.062,6.0,27.0,4.5,26
730,56 Orion,5,47.2,1,50,05h52m11.6897s,+01d51m30.9352s,1,1151,5,K0,0.003,-0.007,0.003,4.0,21.0,4.7,29
731,40 Aurigae,5,59.7,38,30,06h05m53.6717s,+38d29m38.5729s,38,1377,5.3,A3,0.014,0.004,-0.003,5.0,22.0,4.4,26
732,"W1 6h, 1500",6,51.4,1,18,06h56m10.1908s,+01d10m15.5464s,1,1600,7.7,G5,+ .000*,-0.002,0.031,4.0,20.0,4.5,27
733,64 Gem,7,23.1,28,19,07h29m14.0847s,+28d06m44.3365s,28,1396,5,A2,-0.03,-0.037,0.003,4.0,16.0,4.4,27
734,76 Gem,7,38.0,26,1,07h44m06.0669s,+25d46m44.4818s,26,1633,5.4,K5,-0.018,-0.008,0.002,4.0,20.0,4.5,28
735,Lal 17050,8,34.4,6,7,08h39m18.1694s,+05d45m54.0313s,6,2007,7.8,G5,+ .167*,0.185,0.034,6.0,24.0,4.3,29
736,Lal 17053,8,34.4,6,8,08h39m18.1999s,+05d46m54.0296s,,,,,+ .153*,0.187,-0.022,6.0,26.0,4.3,29
,Mean,,,,,0,0,,,,,,,0.006,0.004,,,
737,Fed 1466,9,12.0,65,26,09h20m17.1977s,+65d00m46.247s,65,703,7.6,G5,-0.141*,-0.139,0.02,5.0,0.004,4.2,27
738,Pi 96,10,27.7,49,42,10h33m07.1064s,+49d11m07.7969s,49,1966,7.6,F8,0.267,0.329,0.017,6.0,23.0,4.0,27
739,65 Leonis,11,1.8,2,30,11h06m08.6553s,+01d57m35.8675s,2,2387,5.7,G5,-0.373,-0.381,0.032,6.0,23.0,3.8,24
740,23 Comae,12,29.9,23,11,12h33m59.6497s,+22d37m54.3241s,23,2475,4.8,A0,-0.069,0.001,-0.003,6.0,23.0,3.7,26
741,82 Virginis,13,36.4,-8,12,13h41m15.673s,-08d42m21.789s,-7,3674,5.2,Ma,-0.099,-0.063,0.008,7.0,24.0,3.6,27
742,Mayer 576,14,31.7,-11,53,14h36m25.196s,-12d19m10.3698s,-11,3770,6.2,F8,-0.868,-0.863,0.031,5.0,20.0,3.9,27
743,Omicron Bootis,14,40.6,17,23,14h44m40.5205s,+16d57m37.6339s,17,2780,4.7,K0,-0.053,-0.032,0.039,5.0,19.0,4.1,29
744,110 Virginis,14,57.8,2,29,15h02m03.6223s,+02d05m19.6553s,2,2905,4.6,K0,-0.046,-0.047,0.016,6.0,25.0,4.1,32
745,Lal 28017,15,13.5,67,44,15h14m05.5879s,+67d21m48.7167s,67,876,5.2,G0,0.218,0.22,0.043,7.0,26.0,3.8,27
746,5 Herc,15,56.7,18,6,16h00m30.0401s,+17d49m04.4982s,18,3101,5.3,G5,-0.049,-0.053,-0.011,4.0,17.0,4.0,30
747,Delta Ophiuc,16,9.1,-3,26,16h14m14.7892s,-03d41m12.9813s,-3,3903,3,Ma,-0.046,-0.036,0.026,4.0,18.0,4.2,32
748,42 Herc,16,36.0,49,7,16h38m43.4435s,+48d55m12.7633s,49,2531,5.1,Ma,-0.031,-0.057,0.014,7.0,27.0,3.8,27
749,60 Herc,17,0.7,12,53,17h04m37.9481s,+12d44m40.7889s,12,3142,4.9,A3,0.057,0.064,0.015,5.0,20.0,4.1,30
750,Lal 31478,17,14.6,-7,55,17h19m25.7623s,-08d01m16.3352s,-7,4427,8,G0,- .009*,-0.005,0.007,6.0,23.0,4.1,34
751,Zeta Serp,17,55.2,-3,41,18h00m15.9963s,-03d41m20.6785s,-3,4217,4.6,F0,0.147,0.162,0.048,5.0,21.0,4.1,28
752,Omicron Herc,18,3.6,28,45,18h06m54.0685s,+28d45m43.3198s,28,2925,3.8,A0,0.007,0.001,-0.011,5.0,21.0,3.9,27
753,Brad 2293,18,11.6,-3,2,18h16m14.4176s,-03d00m00.917s,-3,4263,6.1,G5,0.016,0.031,0.002,6.0,27.0,4.8,40
754,Kappa Lyrae,18,16.4,36,1,18h19m30.4473s,+36d03m35.154s,36,3094,4.3,K0,-0.018,-0.014,0.007,5.0,18.0,3.8,26
755,45 Drac,18,30.8,56,58,18h31m43.4298s,+57d02m29.1538s,56,2113,5,F8p,0,-0.006,0.005,5.0,20.0,4.2,28
756,Lal 35488,18,55.0,30,2,18h58m52.2918s,+30d10m12.916s,29,3423,6.6,G0,+ .039*,0.048,0.038,4.0,18.0,4.1,30
757,Gamma Lyrae,18,55.2,32,33,18h58m44.4802s,+32d41m12.3645s,32,3286,3.3,A0p,0.001,-0.004,0.009,4.0,18.0,4.3,30
758,12 Aquilae,18,56.3,-5,53,19h01m20.5485s,-05d44m32.3865s,-5,4840,4.2,K0,-0.028,-0.028,0.014,6.0,21.0,3.8,27
759,23 Aquilae,19,13.5,0,54,19h18m05.2017s,+01d04m48.8747s,0,4168,5.3,K0,0.006,0.002,-0.007,6.0,21.0,3.6,24
760,Nu Aquilae,19,21.4,0,8,19h26m06.8801s,+00d19m54.7864s,0,4206,4.9,F0,-0.007,0.013,-0.009,7.0,25.0,3.8,29
761,Sigma Drac,19,32.6,69,29,19h31m36.6243s,+69d42m01.7649s,69,1053,4.8,K0,0.547,0.564,0.177,7.0,25.0,3.7,28
762,13 Vulpec,19,49.2,23,49,19h53m14.8777s,+24d04m34.3477s,23,3820,4.5,A0,0.033,0.008,0 .000,6.0,22.0,3.9,28
763,Lal 38683,20,6.6,15,53,20h10m34.8486s,+16d10m44.4439s,15,4074,7.3,K0,- .419*,-0.427,0.028,6.0,22.0,4.0,30
764,41 Cygni,20,25.3,30,2,20h29m05.0745s,+30d21m59.7123s,29,4057,4.1,F5p,0.013,0.005,0.011,6.0,23.0,4.0,27
765,52 Cygni,20,41.5,30,21,20h45m07.6908s,+30d42m48.9591s,30,4167,4.3,K0,-0.01,-0.022,0.009,5.0,19.0,4.0,28
766,Epsilon Aquarii,20,42.3,-9,52,20h47m24.5508s,-09d30m00.21s,-10,5506,3.8,A0,0.031,0.018,0.002,6.0,21.0,3.8,28
767,Alpha Equulei,21,10.8,4,50,21h14m59.5187s,+05d14m52.6122s,4,4635,4.1,F8,0.06,0.054,0.002,4.0,18.0,4.1,30
768,Gr 3436,21,16.8,52,33,21h19m12.9752s,+52d58m22.0985s,52,2916,6.9,G5,-0.002,0.006,-0.003,5.0,19.0,3.7,28
769,Gr 3436,21,16.8,52,33,21h19m12.9752s,+52d58m22.0985s,33,,,,,-0.001,-0.002,4.0,16.0,3.7,28
,Mean,,,,,0,0,,,,,,,-0.002,3.0,,,
770,12 Pegasi,21,41.5,22,29,21h45m35.9646s,+22d56m38.4563s,22,4472,5.4,K0,0.011,-0.004,0.002,5.0,18.0,3.8,26
771,Lal 42883,21,54.3,29,21,21h58m28.372s,+29d49m39.3408s,29,4550,6.8,F5,-0.383,-0.371,0.024,6.0,23.0,4.0,29
772,32 Aquarii,21,59.6,-1,23,22h04m08.7023s,-00d53m57.1328s,-1,4242,5.2,A3,-0.013,-0.037,0.004,6.0,21.0,3.7,28
773,Brad 2935,22,1.8,82,23,21h57m28.2058s,+82d51m52.985s,82,673,7.1,F5,-0.136,-0.132,0.007,7.0,25.0,3.8,29
774,Gr 3709,22,1.9,82,23,21h57m28.2058s,+82d51m52.985s,82,674,7.4,F5,-0.138,-0.139,0.007,6.0,22.0,3.8,29
,Mean,,,,,0,0,,,,,,,0.007,5.0,,,
775,37 Pegasi,22,24.9,3,55,22h29m03.5204s,+04d25m40.1721s,3,4713,5.5,F5,-0.028,-0.055,0.031,6.0,22.0,3.9,29
776,Lambda Aquarii,22,47.4,-8,7,22h52m12.9583s,-07d35m09.2243s,-8,5968,3.8,Ma,0.007,-0.003,0.009,5.0,19.0,3.8,28
777,56 Pegasi,23,2.2,24,56,23h06m52.2877s,+25d28m25.9599s,24,4716,5,K0,0.003,-0.026,-0.008,6.0,24.0,3.7,28
778,57 Pegasi,23,4.5,8,8,23h09m02.8219s,+08d40m30.2627s,7,4981,5.4,Mb,0.006,-0.029,0.007,5.0,21.0,4.1,29
779,59 Pegasi,23,6.7,8,11,23h11m02.963s,+08d43m34.2352s,7,4991,5.2,A3,-0.013,-0.023,0.019,6.0,22.0,4.0,27
