Number,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D Number 1,D Number 2,Mag.,Spectral Type,P.M. Catalog,P.M. AO,Rel. Parallax,P.E,P.E. Wt,sqrt(p pi),No. Plates
,Mean,,,,,0,0,,,,,,,0.03,6.0,,,
419,20 1 Lyncis,7,14.6,50,20,07h21m38.8455s,+50d08m52.2758s,50,1420,7.3,FO,-0.028,-0.009,-0.003,4.0,14.0,3.1,15
420,20 2 Lyncis,7,14.6,50,20,07h21m38.8455s,+50d08m52.2758s,50,1420,7.4,FO,-0.009,-0.011,0.004,6.0,18.0,3.1,15
,Mean (Sigma 1065),,,,,0,0,,,,,,,0.001,3.0,,,
421,Sigma 1093,7,22.7,50,12,07h29m36.1381s,+49d59m46.9016s,50,1436,8,F5,,0.023,-0.002,6.0,18.0,3.0,15
422,14 Can. Min,7,53.2,2,29,07h58m12.1858s,+02d12m51.1851s,2,1833,5.4,KO,-0.156,-0.153,0.024,8.0,23.0,3.1,16
423,Lal 15547,7,53.7,21,8,07h58m52.2576s,+20d51m48.6279s,21,1731,8.6,G5,+ .178*,0.198,0.038,8.0,24.0,3.1,13
424,Fed 1217,7,55.8,68,40,08h05m01.6053s,+68d23m17.5267s,68,518,7.6,F5,- .202*,-0.196,0.015,6.0,19.0,3.1,15
425,Groom 1437,8,20.6,45,59,08h26m58.8233s,+45d39m25.3146s,46,1398,6.3,GO,-0.03,-0.012,0.04,6.0,19.0,3.1,16
426,Lal 16616,8,24.6,50,58,08h31m18.396s,+50d37m55.9999s,51,1431,7.4,GO,- .094*,-0.075,0.014,6.0,22.0,3.6,21
427,Iota Cancri,8,40.6,29,8,08h46m03.3874s,+28d46m11.2789s,29,1823,6.6,A5,-0.018,0.029,0.028,8.0,21.0,2.6,15
428,Iota Cancri,8,40.6,29,8,08h46m03.3874s,+28d46m11.2789s,29,1824,4.2,G5,-0.018,0.041,0.007,6.0,20.0,3.3,17
,Mean (Sigma 1268),,,,,0,0,,,,,,,0.15,5.0,,,
429,Lal 17480,8,46.9,8,27,08h51m21.7711s,+08d04m34.2289s,8,2134,6.6,GO,+ .178*,0.181,0.014,7.0,22.0,3.2,19
430,Lal 18397,9,16.1,40,38,09h22m20.8618s,+40d12m29.0331s,40,2197,7.7,K2,- .347*,-0.34,0.028,5.0,15.0,3.1,15
431,h 23 Urs. Maj,9,23.7,63,30,09h30m51.8161s,+63d03m46.0927s,63,845,3.8,FO,0.114,0.12,0.028,6.0,18.0,3.2,19
432,Lal 20881,10,46.1,20,49,10h51m22.7258s,+20d17m11.6685s,21,2247,8.1,F5,- .241*,-0.255,0.021,9.0,25.0,2.6,15
433,Groom 1930,12,44.3,60,52,12h48m19.9432s,+60d19m15.9541s,61,1320,5.9,F5,+ .096*,0.126,0.034,11.0,32.0,2.8,17
434,Lal 25288,13,37.3,8,54,13h41m58.8384s,+08d23m41.361s,9,2798,6.1,F5,- .378*,-0.368,0.032,9.0,25.0,2.7,19
435,Lal 26289,14,18.1,1,43,14h23m05.3877s,+01d15m40.6912s,1,2920,6.3,GO,+ .201*,0.16,0.061,7.0,16.0,2.3,15
436,A 570 (Mean),14,27.9,27,7,14h31m26.3048s,+26d40m25.5188s,27,2388,5.9,A2,-0.07,-0.047,0.006,8.0,22.0,2.8,17
437,H 2752 (Br),14,47.8,45,1,14h50m38.2014s,+44d36m15.1076s,45,2228,8,F5,,0.041,-0.034,10.0,28.0,2.8,16
438,Lal 27742,15,8.3,19,39,15h12m32.531s,+19d16m27.4841s,,,6.8,G6,-0.599*,-0.569,0.026,7.0,17.0,2.5,16
439,Lal 27743,15,8.3,19,40,15h12m32.4988s,+19d17m27.4823s,,,7.6,G7,- .591*,-0.572,0.024,7.0,15.0,2.3,16
,Mean (Sigma 1919).,,,,,0,0,19,2939,6.4,G5,,,0.025,5.0,,,
