Entry Number,Field Name,Magnitude,RA,Dec,Equinox,TSC No.,TSC Name,RA1950,Dec1950
141,38_Ceti,5.8,01 12 16,-01 14 27,1950,,,,
142,39_Ceti,5.5,01 14 04,-02 45 47,1950,,,,
143,89_Piscium,5.3,01 15 13,+03 21 06,1950,,,,
144,Wolf_1516,14.0,01 15 20,+15 55 00,1950,,,,
145,nu_Piscium,4.7,01 16 43,+27 00 07,1950,,,,
146,34_Cass,5.2,01 16 55,+57 58 10,1950,,,,
147,46_Andr.,5.0,01 19 23,45 16 03,1950,,,,
148,Lal_2450,8.0,01 19 34,+18 25 17,1950,,,,
,Piazzi_56,6.3,"01,01 20,21 47,00","+33,+33 59,59 00,00","1950,2000",,,,
150,45_Ceti,3.8,01 21 31,-08 26 27,1950,,,,
151,psi_Cass,5.0,01 22 22,+67 52 12,1950,,,,
152,delta_Cass,2.8,01 22 31,+59 58 34,1950,,,,
,,,,,,,,,
154,94_Piscium,5.6,01 23 59,+18 58 55,1950,,,,
155,48_Andr.,5.0,01 24 39,+45 08 57,1950,,,,
156,49_Andr.,5.3,01 27 05,+46 45 00,1950,,,,
157,38_Cass,6.0,01 27 28,+70 00 30,1950,,,,
158,98_Pisc.,5.1,01 27 34,+05 53 12,1950,,,,
159,eta_Piscium,3.7,01 28 49,+15 05 19,1950,,,,
160,chi_Cass,4.9,01 30 39,+58 58 35,1950,,,,
161,Sigma_138,7.3,01 33 25,+07 23 24,1950,,,,
162,50_Andr.,4.2,01 33 51,+41 09 22,1950,,,,
163,40_Cass,5.5,01 34 29,+72 47 10,1950,,,,
164,upsilon_Persei,3.8,01 34 55,+48 22 33,1950,,,,
165,Porter_125,6.4,01 35 08,-09 39 34,1950,,,,
166,L_870-2,12.8,01 35 30,=05 16 00,1950,,,,
167,Lal_2975,8.7,01 35 33,+29 18 59,_,,,,
168,52_Andr.,5.2,01 36 20,+44 07 57,1950,,,,
169,L726-8,11.9,01 36 26,-18 12 48,1950,,,,
170,103_Pisc.,6.,01 36 33,+16 22 20,1950,,,,
171,Sigma_145,6.5,01 38 31,+25 29 38,1950,,,,
172,Amb_427,5.3,01 38 44,+42 21 49,1950,,,,
173,nu_Piscium,4.7,01 38 50,+05 14 07,1950,,,,
174,L726-8,12.5/13.0,01 39 02,-17 57 06,2000,,,,
175,Sigma_147,"5.8/7.5<3""",01 39 17,-11 34 15,1950,,,,
176,107_Pisc,5.3,01 39 47,+20 01 34,1950,,,,
177,AOe_1867-8,8.2,01 40 12,+63 34 50,1950,,,,
178,G_3-14,10.9/12.5,01 40 41,+04 04 54,1950,,,,
179,+4o302,11.2,01 40 54,+04 37 00,1950,,,,
,,,,,,,,,
181,G72-31,14.8,01 42 19,+31 17 54,1950,,,,
182,G34-48,14.6/17.2,01 42 31,+23 02 48,1950,,,,
183,o_Piscium,4.5,01 42 45,+08 54 25,1950,,,,
,tau_Ceti,"3.6,3.5","01,01 43,44 _,16","-16.1,-15 _,56 _,12","1950,2000",,,,
185,LT_962,5.6,01 44 _,+63 36 _,2000,,,,
186,HR_511,5.7,01 44 06,+63 36 24,1950,,,,
187,GC_2161,_,01 44 06,+63 36 24,1950,,,,
188,Amb_462,5.8,01 45 49,+32 26 16,1950,,,,
,,,,,,,,,
190,Sigma_174,"6.1/7.4<3""",01 47 22,+22 01 40,1950,,,,
191,Polaris,2.1,01 48 49,+89 01 44,1950,,,,
192,GD_279,13.0,01 48 56,+45 12 00,1950,,,,
193,55_Ceti,3.9,01 48 59,-10 34 52,1950,,,,
194,alpha_Triang.,3.6,01 50 13,+29 20 10,1950,,,,
195,gamma_Arietis,"4.8/4.8<9""",01 50 47,+19 03 06,1950,,,,
196,xi_Piscium,4.8,01 50 58,+02 56 29,1950,,,,
197,beta_Arietis,2.7,01 51 52,+20 33 52,1950,,,,
198,BD+37o395,7.8,01 52 33,+37 59 17,2000,,,,
,,,,,,,,,
200,Sigma_186,"7.2/7.2<1""",01 53 19,+01 36 10,1950,,,,
201,9_Arietis,"5.0/8.0<38""",01 55 08,+23 21 11,1950,,,,
202,Ross_15,12.1/13.3,01 55 55,+58 16 48,1950,,,,
203,Sigma_186,"7.0/8.5<1.""5",01 57 27,+75 15 40,1950,,,,
204,112_Pisc.,5.8,01 57 32,+02 51 32,1950,,,,
205,48_Cass,4.6/7.5,01 57 48,+70 39 57,1950,,,,
206,beta_513,4.6,01 57 49,+70 39 57,1950,,,,
207,alpha_Pisc.,"4.3/5.2<2""",01 59 27,+02 31 23,1950,,,,
208,epsilon_Triang.,5.4,02 00 02,+32 42 33,1950,,,,
209,LPM_96,10.1,02 00 06,-18 04 00,1950,,,,
210,gamma_422,11.9,02 00 09,05 28 24,1950,,,,
211,47_Cass,5.4,02 00.2 _,+73 14.11 _,1950,,,,
212,G3-33,12.28,02 00 13,+13 03 06,2000,,,,
213,Sigma_208,6.2,02 00 49,+25 41 44,1950,,,,
214,gamma_And,"2.3/5.1<10""",02 00 49,+42 05 26,1950,,,,
215,alpha_Arietis,2.2,02 04.1 _,+23 13.4 _,1950,,,,
216,58_Andr.,4.8,02 05.3 _,+37 37.2 _,1950,,,,
217,AC_25o6725,_,02 05 28,+14 54.4 _,1950,,,,
218,beta_Triang.,3.1,02 06.3 _,+34 45.1 _,1950,,,,
219,Sigma_227,"5.1/6.4<4""",02 08 _,+29 55 _,_,,,,
220,G_74-7,14.3,02 08 13,+39 41 30,1950,,,,
221,64_Ceti,5.7,02 08.4 _,+08 20.1 _,1950,,,,
222,Lal_3972,"7.0/8.0<66""",02 09 24,+56 28 24,1950,,,,
223,Sigma_226,"7.8/9.5<2"".2",02 09 25,+23 43 35,1950,,,,
224,+2o348,10.3,02 09 51,+03 22 00,1950,,,,
225,66_Ceti,"5.7/7.8<16""",02 10 14,-02 37 35,1950,,,,
226,6_Persei,5.4,02 10.2 _,+50 50.1 _,1950,,,,
227,Lal_3987,7.8,02 11 35,+67 26 38,1950,,,,
228,GD_25,19.8,02 13 13,+39 37 24,195-,,,,
229,Pi_2h_22,6.4,02 13 20,+56 49 24,1950,,,,
230,delta_Triang.,5.1,02 13 59,+33 59 47,1950,,,,
231,Porter_164,_,02 15 25,+01 31 20,1950,,,,
232,62_Andr.,5.1,02 16.0 _,+47 09 0,1950,,,,
233,omicron_Ceti,"2-9/10<0"".8",02 16 49,-03 12 12,1950,,,,
234,47o612,9.41,02 18 57,+47 49 06,1950,,,,
235,64_Andr.,5.5,02 21.1 _,+49 46.5 _,1950,,,,
236,65_Andr.,4.9,02 22.2 _,+50 03.1 _,1950,,,,
237,72_Ceti,4.9,02 23.3 _,-12 30.5 _,1950,,,,
238,66_Andr.,6.14,02 24 29,+50 20 54,1950,,,,
239,iota_Cass,4.6,02 24 54,+67 10 48,1950,,,,
240,A_2329,8.6,02 25 09,+04 12 21,1950,,,,
241,zeta_Ceti,4.3,02 25.3 _,+08 14.1 _,1950,,,,
242,+31o434,"10.0/10.3<.""3",02 25 46,+32 02 00,1950,,,,
243,F22,12.4,02 28 42,+05 03 00,1950,,,,
244,GD31,14.4,02 31 37,-05 24 36,1950,,,,
,,,,,,,,,
246,36_H.Cass.,5.3,02 33 13,+72 36 05,1950,,,,
247,Porter_174,6.1,02 33 20,+06 38 57,1950,,,,
248,6o398,"5.9/13.3<160""",02 33 20,+06 38 58,1950,,,,
,,,,,,,,,
250,31_Arietis,5.7,02 33.5 _,+12 13.5 _,1950,,,,
251,G_36-24,14.6,02 33 37,+24 55 36,2000,,,,
252,Lal_4784,5.9,02 33 49,+38 31 06,1950,,,,
253,30_Arietis,6.6/7.4<38”,02 34.1 _,+24 25.5 _,1950,,,,
254,Fiege_24,12.3,02 35 06,+03 44 06,2000,,,,
255,32_Arietis,5.4,02 35.6 _,+21 44.5 _,1950,,,,
256,Sigma_282,8.3/8.3<7”,02 36 53,+65 25 50,1950,,,,
257,epsilon_Ceti,5.0,02 37 08,-12 05 00,1950,,,,
258,33_Arietis,5.4,02 37.5 _,+26 50.5 _,1950,,,,
259,84_Ceti,6.2/8.8<4”,02 38 40,-00 54 26,1950,,,,
,12_Persei,"5.0,4.93","02,02 39,42 05,17","+39,+40 59,11 00,48","1950,2000",,,,
261,theta_Persei,4.2/10.0<15”,02 40.5 _,+49 01 _,1950,,,,
262,beta_306,6.4,02 40 56,+25 25 36,1950,,,,
263,Ross_556,10.5,02 41 18,+25 19 06,1950,,,,
264,mu_Ceti,4.4,02 42.1 _,+9 54.2 _,1950,,,,
265,38_Arietis,5.2,02 42.1 _,+12 14.1 _,1950,,,,
266,gamma_Ceti,3.6,02 42.4 _,+03 01 _,1950,,,,
267,beta_83,7.9,02 43 30,-05 09 58,1950,,,,
268,39_Arietis,4.6,02 44.5 _,+29 02.3 _,1950,,,,
269,Sigma_305,7.3/8.2<3”.4,02 44 37,+19 09 56,1950,,,,
270,Sigma_310,7.7/10.9<2”.5,02 46 22,+33 43 45,1950,,,,
271,eta_Persei,3.9,02 47.0 _,+55 41.2 _,1950,,,,
272,SU_Cass,5.9-6.3,02 47.3 _,+68 40.6 _,1950,,,,
273,16_Persei,4.3,02 47.3 _,+38 06.5 _,1950,,,,
274,17_Persei,4.7,02 48.3 _,+34 51.1 _,1950,,,,
275,HR_857,6.1,02 50 07,-12 58 18,1950,,,,
276,Tau_Persei,4.1,02 50.4 _,+52 33.3 _,150,,,,
277,omega_Psc.,4.0,02 50 41,+52 33 33,1950,,,,
278,G37-8,_,02 52 04,+34 24 00,2000,,,,
279,Sigma_326,7.5,02 52 41,+26 40 27,1950,,,,
280,46_Arietis,5.6,02 53.4 _,+17 49.3 _,1950,,,,
281,eta_Erid,4.0,02 53.6 _,-9 45.7 _,1950,,,,
282,21_Persei,5.2,02 54.1 _,+31 44.0 _,1950,,,,
283,47_Arietis,5.8,02 55.1 _,+20 28.1 _,1950,,,,
